lemma,rank,translation,original_lemma,pos
este,49,"The cardinal point of the horizon, where the sun rises in the days of equinox, conventionally located to the right of the maps, 90°",este,n
algo,50,Property and property of a person,algo,n
estoy,51,First person of the singular (me) of the present indicative of being or being,estar,v
vamos,52,"First person of plural (we, us) of the present indicative of going or leaving",ir,v
él,53,Nominative and prepositional of the personal pronoun of the third person of the singular in the male gender,él,pron
ser,54,"Having something a certain nature, property or stable quality",ser,v
bueno,55,"In examinations, higher than the pass note",bueno,n
nos,56,Personal pronoun of the first person in plural for the dative and the accusative,nos,pron
sus,57,"It is used to fuel, infuse spirits and incite rapid and vigorous action",sus,intj
fue,58,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of going",ir,v
tengo,59,First person of the singular (me) of the present indicative of having,tener,v
era,60,Long-term geological period,era,n
nada,61,"A phenomenon contrary to being, total absence of things",nada,n
tiene,62,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of having or having",tener,v
sé,63,First person of the singular (me) of the present indicative of knowing,saber,v
tú,64,Nominative and vocation of the personal pronoun of the second person of the singular,tú,pron
cómo,65,"Mode, shape or medium by which an end can be reached",cómo,n
vez,66,Change of things by turn or successive order,vez,n
estás,67,"Second person of the singular (you, you) of the present indicative of being or being",estar,v
sólo,68,"Alternative only (adverb) graph. Whenever you should understand as equivalent of only and confusion with the adjective homonym is possible, it is optional to",sólo,adv
ella,69,Nominative and prepositional of the personal pronoun of the third person of the singular in the female gender. Preposition also in oblique cases,ella,pron
son,70,Rhythmic sound,son,n
hacer,71,"Originating, creating, giving birth",hacer,v
he,72,First person of the singular (me) of the present indicative of having,haber,v
porque,73,Enter a sentence that explains the cause or motive,porque,conj
todos,74,Plural form of everything,todo,n
puedo,75,First person of the singular (me) of the present indicative power,poder,v
quiero,76,First person of the singular (me) of the present indicative of wanting,querer,v
gracias,77,Form of the plural of grace,gracia,n
puede,78,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of power",poder,v
dos,79,Sign or signs representing this amount1,dos,n
sin,80,"Indicates the absence, lack or lack of something",sin,prep
soy,81,First person of the singular (me) of the present indicative of being,ser,v
sobre,82,Wrapping of a letter of mail,sobre,n
ese,83,Name of letter s,ese,n
estaba,84,First person of the singular (me) of the imperfect preterite of indicative of being or being,estar,v
también,85,"Used to specify that one or more things are similar, or that they share attributes with another previously named",también,adv
tiempo,86,Basic physical magnitude that allows to measure the duration of events or processes of change. Its unit in the International System of Units is the second. Time,tiempo,n
tan,87,Sound emitted by drum or other percussion instrument,tan,n
entonces,88,Indicates that the action occurs at the time or time of which it is spoken,entonces,adv
creo,89,First person of the singular (me) of the present indicative of belief,creer,v
tienes,90,Second person of the singular (you) of the present indicative of having or having,tener,v
casa,91,Building for housing,casa,n
usted,92,"Form of second person, used as a treatment of respect, courtesy or distancing, both for the male and for the female in the nominative",usted,pron
esa,93,"It is used to indicate or point something or someone close to the speaker, or refer to something that he just mentioned. It also designates something less close",esa,pron
voy,94,First person of the singular (me) of the present indicative of going or leaving,ir,v
sabes,95,Second person of the singular (you) of the present indicative of knowledge,saber,v
eres,96,Second person of the singular (you) of the present subjunctive of the erar,erar,v
verdad,97,Conformity of things with the concept that forms the mind of them,verdad,n
hasta,98,obsolete asta graphia,hasta,n
solo,99,Piece or step that is danced without partner or company,solo,n
nunca,100,At no time or in any circumstances,nunca,adv
años,101,Day of the birthday of the,años,n
hace,102,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of doing",hacer,v
va,103,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of going",ir,v
hola,104,"Expression of greeting used between two or more people of family treatment, regardless of the time of day or circumstances",hola,intj
mucho,105,Abundant or greater or exceeding the ordinary,mucho,adj
quién,106,What a person,quién,pron
mejor,107,Irregular comparison of good,mejor,adj
vida,108,State that precedes death and follows the birth of organic beings,vida,n
decir,109,Manifesting thought with words,decir,v
mí,110,Personal first person pronoun of the singular after prepositions,mí,pron
dónde,111,Ask about the place of the fact or action,dónde,adv
ni,112,"Greek letter name number 13: ""v""",ni,n
están,113,"Third person of plural (they, them; you, 2nd person) of the present indicative of being or being",estar,v
favor,114,A charity that is offered to help someone,favor,n
señor,115,Person who possesses or enjoys authority over something,señor,n
hombre,116,"Individual of the human species, defined as primate mammal endowed with intelligence, walking in a vertical position, possessing prehensile hands and a bulky brain",hombre,n
oh,117,"Interjection used to manifest many and very different movements of the mood, and more commonly astonishment, sorrow or joy",oh,intj
siempre,118,It is said of an action that occurs in any or all the time,siempre,adv
ver,119,"To perceive something with the eyes through the light that, reflected in the objects, impacts them. It is one of the five senses traditionally recognized in the human",ver,v
uno,120,"First natural number, equivalent to the smallest quantity of the non-empty set possible",uno,n
quieres,121,Second person of the singular (you) of the present indicative of wanting,querer,v
siento,122,First person of the singular (me) of the present indicative of sitting,sentar,v
había,123,First person of the singular (me) of the imperfect preterite of indicative of having,haber,v
dios,124,Supernatural entity endowed with powers superior to those of man,dios,n
has,125,"Second person of the singular (you, you) of the present indicative of having",haber,v
antes,126,Indicates that something takes place first or previous in a sequence of space succession,antes,adv
día,127,"Time it takes Earth to turn around its axis, equivalent to 24 hours",día,n
desde,128,"Preposition indicating the origin or start of an activity, both in a locative sense and in a chronological sense",desde,prep
tenemos,129,"First person of plural (we, us) of the present indicative of having or having",tener,v
poco,130,"Short, small amount",poco,n
cosas,131,Second person of the singular (you) of the present of sewing or sewing subjunctive,coser,v
ti,132,Second person personal pronoun of the singular after prepositions,ti,pron
otra,133,Form of the female of another,otro,adj
mismo,134,That two or more things or people are one,mismo,adj
han,135,"Ethnic group of China: 92 per cent of the People's Republic of China, 98 per cent of Taiwan, 75 per cent of Singapore and approximately 20",han,n
hecho,136,Irregular participation,hecho,v
alguien,137,"Figure of face, reputation or importance in some aspect",alguien,n
puedes,138,Second person of the singular (you) of the present power indicative,poder,v
ahí,139,Indicates the place where the person with whom you communicate or speak is located,ahí,adv
dijo,140,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative to say",decir,v
estar,141,"Exist, find someone or something with a certain permanence and stability in this or that place, situation, condition or current way of being",estar,v
entre,142,"In a fight, assault or assault on a person",entre,n
noche,143,Time between two days that coincides with the moment during which the sun does not give its light,noche,n
trabajo,144,Action or effect of working (occupying in an activity),trabajo,n
ir,145,Moving from one place to another,ir,v
después,146,Indicates that it takes place behind another or another,después,adv
mis,147,,,
sea,148,First person of the singular (me) of the present subjunctive of being,ser,v
acuerdo,149,Resolution taken jointly by several parties or a collegial body,acuerdo,n
otro,150,Which is not the same one that had already been mentioned,otro,adj
parece,151,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of opinion or of appearance",parecer,v
donde,152,Indicates the site of the action or fact,donde,adv
ellos,153,"Nominative and dative of the personal pronoun of the third person of the plural. Prepositioned, it is also used in oblique cases",ellos,pron
estamos,154,"First person of plural (we, us) of the present indicative of being or being",estar,v
mundo,155,Total existing,mundo,n
gente,156,All persons,gente,n
nosotros,157,Nominative and dative male personal pronoun for the first person in the plural,nosotros,pron
padre,158,"Male, animal or human, who has been the father or adopted children",padre,n
estado,159,"Situation in which a person or a thing is present, and especially each of the successive ways of being of a person or thing subject to changes that influence his",estado,n
nadie,160,A person insignificant or ignored by society,nadie,n
tal,161,Prostitute,tal,n
les,162,Article determined neutral plural,les,art
parte,163,"What separates, separates, or is considered entirely isolated",parte,n
sido,164,Participation in the,sido,v
momento,165,Relatively short amount of time,momento,n
podría,166,First person of the singular (me) of the power conditional,poder,v
menos,167,"Used in front of a guarismo, indicates a negative amount in contrast to natural or positive guarismos",menos,n
mira,168,Any piece that on certain instruments serves to direct the view or pull visuals,mira,n
quiere,169,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of wanting",querer,v
fuera,170,First person of the singular (me) of the imperfect subjunctive preterit of being,ser,v
gran,171,Apocopic large,gran,adj
lugar,172,Space that can be occupied by an object,lugar,n
hablar,173,Express something using words of a loud voice,hablar,v
tener,174,"Owning, owning something",tener,v
tenía,175,First person of the singular (me) of the imperfect preterite indicative of having or having,tener,v
tres,176,Sign or signs used to represent the number that has three units,tres,n
nuevo,177,That has little time of existence,nuevo,adj
pasa,178,"Dried, partially dehydrated grape, whether natural or human in boiling heat",pasa,n
vas,179,"Second person of the singular (you, you) of the present indicative of going or leaving",ir,v
cada,180,"(Juniperus oxycedrus) A shrub that has two white bands on the underside of its acicular leaves, instead of one",cada,n
claro,181,Forest or forest portion without trees,claro,n
dinero,182,"Former Spanish coin, first coined with fleece and then silver between the 10th and 16th centuries until its replacement with maravedí",dinero,n
madre,183,Female progenitor,madre,n
mañana,184,A period of time from sunrise to noon,mañana,n
sr.,185,,,
tipo,186,Real or ideal element representing a class or category,tipo,n
hoy,187,On the current day,hoy,adv
días,188,Shape of the plural of day,día,n
luego,189,After,luego,adv
allí,190,Indicates a place far from those who speak or communicate,allí,adv
mujer,191,Female human being,mujer,n
nuestro,192,"Relating to the first plural person, what belongs to us or we possess",nuestro,adj
tanto,193,Certain amount or number of a thing,tanto,n
cosa,194,"Name by which a real or imaginary object, abstraction or concept can be designated without having to define or name it",cosa,n
sabe,195,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of knowing",saber,v
todas,196,Form of the plural female of everything,todo,adj
haciendo,197,Gerundius of doing,haciendo,v
hijo,198,Individual with respect to any parent,hijo,n
dice,199,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative to say",decir,v
seguro,200,First singular person of the present active indicative of the safer verb,seguro,v
podemos,201,"First person of plural (we, we) of the subjunctive present of pruning",podar,v
debe,202,Income received by an enterprise or increase in assets by the enterprise,debe,n
espera,203,Action or effect to wait,espera,n
vale,204,Payment document or replacement of something,vale,n
será,205,"Third person of the singular (he, she, it; you, 2nd person) of the future indicative of being",ser,v
estas,206,Form of the plural female of this2,este,adj
toda,207,Form of the female singular of everything,todo,adj
haber,208,"It is used with the infinitive to express a future action or the necessity, obligation or convenience of doing something",haber,v
tus,209,"It is used to call dogs, usually repeated",tus,intj
amigo,210,Person with whom you have a friendship,amigo,n
nuestra,211,Unique female form of our,nuestra,adj
buena,212,Hello,buena,intj
aún,213,"It indicates that the fact persists in the present, even if it may change in the future",aún,adv
quien,214,Refers to a person already referred to or overestimated,quien,pron
estos,215,Form of the plural of this2,este,adj
nombre,216,"In general, the word that designates an entity or condition",nombre,n
tienen,217,"Third person of plural (they, them; you, 2nd person) of the present indicative of having or having",tener,v
veces,218,Second person of the singular (you) of the subjunctive of the moment,vezar,v
mamá,219,Female or female animal who has conceived or had one or more children,mamá,n
mal,220,Lack of kindness,mal,n
buen,221,Option of good,buen,adj
durante,222,Indicates the course of time in which an action occurs,durante,prep
papá,223,A speaker used to spare someone,papá,n
quería,224,First person of the singular (me) of the imperfect preterite of the sign of desire,querer,v
dije,225,"Any ornament of those who put the children around the neck or earrings of the waist; and they were different, both in their form and in the matter of",dije,n
unos,226,Form of the plural of one,uno,n
pasado,227,Season before present,pasado,n
forma,228,"Appearance, figure, layout, configuration, silhouette or external and visible structure of something",forma,n
gusta,229,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of liking",gustar,v
hizo,230,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of doing or making",hacer,v
caso,231,"Each of several instances considered to belong to the same type of situations or things (such as cases of a disease, etc.)",caso,n
contra,232,Indicates opposition,contra,prep
tarde,233,Interval of time from mid-day to dusk,tarde,n
necesito,234,First person of the singular (me) of the present indicative of need,necesitar,v
oye,235,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of hearing",oír,v
alguna,236,Form of the female of any,alguno,adj
hemos,237,"First person of plural (we, us) of the present indicative of having",haber,v
cuenta,238,Action or count effect,cuenta,n
visto,239,Irregular participation in seeing,visto,v
conmigo,240,Combined form of preposition with and personal pronoun of first person singular me,conmigo,adv
mientras,241,"Meanwhile, as long as or in the meantime",mientras,adv
otros,242,Form of the plural male of another,otro,adj
realmente,243,"In fact, in a real, effective or truthful way",realmente,adv
hora,244,"Each of the 24 parts of the same duration in which the day is divided, in turn subdivided each of them in 60 minutes",hora,n
problema,245,Subject to be determined,problema,n
crees,246,Second person of the singular (you) of the present subjunctive of creating,crear,v
año,247,The time interval that takes the Earth to make a revolution around the Sun. The year consists of 365 days and a quarter. So every four years the calendar,año,n
razón,248,"The faculty of the human mind by which it is distinguished from the intelligence of other animals. Reason embraces conception, judgment, reasoning, and intuitive faculty",razón,n
primera,249,"Option, class or category that is better than others",primera,n
cierto,250,"That it is known real, true, that offers no doubt",cierto,adj
saber,251,Having knowledge of something,saber,v
dicho,252,Irregular participation,dicho,v
hacerlo,253,"Do, with the enclitic it (pronoun)",hacerlo,v
mierda,254,"Smelting waste from food eaten, which is expelled by anal route",mierda,n
pues,255,Second person of the singular (vos) of the present subjunctive of pear,puar,v
idea,256,Elementary knowledge that we make of something,idea,n
mío,257,A voice with which the cat is called,mío,n
e,258,Name of letter e1,e,n
aunque,259,"However, although, it denotes opposition between two propositions",aunque,conj
familia,260,"All persons, united by descent, marriage or other relationships — including, depending on cultures, adoption and even property — who form a domestic unit, sharing residence",familia,n
hacia,261,Indicates the direction of the movement in relation to its apparent or actual destination,hacia,prep
amor,262,"Affective feeling of attraction, union and affinity experienced towards a person, animal or thing",amor,n
esos,263,Form of the plural of that2,ese,adj
pueden,264,"Third person of plural (they, them; you, 2nd person) of the present indicative of power",poder,v
importa,265,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of import",importar,v
todavía,266,Up to a certain time from previous time,todavía,adv
personas,267,Second person of the singular (you) of the present person of person,personarse,v
policía,268,"Security forces responsible for imposing order within a State, investigating crimes and prosecuting and arresting persons accused of such crimes",policía,n
casi,269,"Which by little difference is not, which has much resemblance",casi,adv
contigo,270,Combined form of preposition with and personal pronoun of second person singular you,contigo,pron
cualquier,271,Variant of anyone,cualquier,adj
demasiado,272,Too much participation,demasiado,v
ven,273,Second person of the singular (you) of the affirmative imperative to come,venir,v
serio,274,Behaving with gravity and circumspection,serio,adj
algún,275,Variant of some,algún,adj
ve,276,Name of letter v,ve,n
nueva,277,The kind or news of something that has not been said or heard before,nueva,n
eh,278,Used to call upon oneself the attention of another person,eh,intj
lado,279,"Border, edge or end of something",lado,n
manera,280,The method of doing something,manera,n
cabeza,281,"Upper part of the human body and some animals, containing the brain, mouth, eyes, and other sensory organs",cabeza,n
hombres,282,Form of the plural of man,hombre,n
historia,283,Set of past events,historia,n
dentro,284,Inside,dentro,adv
sería,285,First person of the singular (me) of the conditional being,ser,v
salir,286,Go outside,salir,v
debería,287,First person of the singular (me) of the conditional duty,deber,v
van,288,"Vehicle, of elongated chassis and larger than that of a passenger car, which is used for loading or, as a small bus, for passengers",van,n
ciudad,289,"Large settlement and primarily industrial or service activity, rather than agricultural",ciudad,n
ustedes,290,Nominative pronoun of the second person in plural,ustedes,pron
muchas,291,Form of the feminine plural of much,mucho,adj
poder,292,Having the ability or faculty that allows you to do something,poder,v
algunos,293,Form of the plural male of some,alguno,adj
amigos,294,Friend plural shape,amigo,n
chica,295,In the mus: play in which you have the cards of lesser numbering,chica,n
mayor,296,"Military range, immediately below that of Lieutenant Colonel and immediately above that of Captain",mayor,n
sabía,297,First person of the singular (me) of the imperfect preterite of indicative knowledge,saber,v
chicos,298,Shape of the plural of boy,chico,n
hermano,299,"Person who, in respect of another, shares one or both parents",hermano,n
esas,300,"Vaguely re-iferate to a situation, argument or circumstance in which there is a negative, reprobatory or skeptical reaction",esas,pron
primer,301,"First variant (taking place one in a series, immediately before the second element)",primer,adj
país,302,"Large human community, organized in one territory, to defend its common interest in other communities of the same type",país,n
vaya,303,First person of the singular (me) of the present subjunctive of going or leaving,ir,v
agua,304,"Transparent, inodorant and insipid substance, which is in liquid state at standard temperature and pressure, and whose molecular composition is two hydrogen atom",agua,n
misma,305,Form of the female singular of it,mismo,adj
veo,306,First person of the singular (me) of the present indicative of seeing or seeing,ver,v
haces,307,Second person of the singular (you) of the present indicative of doing or doing,hacer,v
camino,308,Place of transit,camino,n
persona,309,Individual belonging to the human species,persona,n
iba,310,First person of the singular (me) of the imperfect preterite indicative of going or leaving,ir,v
realidad,311,"What man believes is true, individually, but according to a uniform form, external to the individual",realidad,n
fin,312,Purpose or purpose of an activity,fin,n
importante,313,Something or someone to consider,importante,adj
primero,314,"That is before all others in an orderly series (time, class, etc.)",primero,num
digo,315,First person of the singular (me) of the present indicative say,decir,v
horas,316,"Sacred book with prayers, illuminations and devotions to recite at certain times of the day",horas,n
semana,317,Seven consecutive days period usually considered to begin on Monday and end on Sunday,semana,n
puerta,318,"Opening in a construction, vehicle or other object, by which the same is accessed and abandoned",puerta,n
somos,319,"First person of plural (we, us) of the present indicative of being",ser,v
pensé,320,First person of the singular (me) of the perfect preterit simple of thought indicative,pensar,v
bajo,321,Deep place,bajo,n
muerte,322,"End of life, especially of a person",muerte,n
problemas,323,The plural form of problem,problema,n
punto,324,"Smaller portion of a space, without dimension",punto,n
ah,325,Denotes sadness or disappointment,ah,intj
pasó,326,"Third person of the singular (he, she, it; you, 2nd person) of the perfect preterit simple indicative of passing",pasar,v
quizá,327,"It expresses the belief that something can happen or is true, but is not sure about it",quizá,adv
buenas,328,"Used as a response to ""good afternoon"" equals this same phrase",buenas,intj
supuesto,329,Irregular participation,supuesto,v
cuatro,330,Sign or signs used to represent the number that has four units,cuatro,n
da,331,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of giving or giving",dar,v
mano,332,End of the arm of the anthropoids,mano,n
niños,333,Form of the plural of the child,niño,n
volver,334,Return (get to a place where you had left; reverse the direction you were moving forward; recover the state you had before),volver,v
además,335,"In addition, to add",además,adv
señora,336,Respectful way of referring to a woman. Commonly used for adult or mature women,señora,n
cariño,337,Feeling of affection or love,cariño,n
ayuda,338,Action or effect of helping,ayuda,n
ojos,339,Shape of the eye plural,ojo,n
cinco,340,Sign or signs used to represent the number that has five units,cinco,n
pasar,341,Take from place to place,pasar,v
general,342,"Military degree that is at the top of the military hierarchy, over the superior officers (commander, lieutenant colonel, colonel), the junior officers aferez",general,n
pronto,343,Sudden movement or outburst caused by the impulse of a passion,pronto,n
debo,344,First person of the singular (me) of the present indicative of duty,deber,v
minutos,345,Form of the plural minute,minuto,n
sino,346,"A situation that is supposedly inevitably reached, driven by an unknown and irresistible force",sino,n
gobierno,347,Action or effect of governing,gobierno,n
manos,348,Shape of the plural hand,mano,n
presidente,349,"In particular, head of state in some Republican systems of government",presidente,n
muerto,350,"A heavy weight block that is anchored in the sea and used as an anchor for floating boats or constructions, to prevent drifting",muerto,n
muchos,351,Shape of the plural of much,mucho,adj
chico,352,"Old measure of wine, equivalent to 168 milliliters",chico,n
guerra,353,"Armed conflict between many people (countries, camps) and with large numbers of victims (dead, injured, injured)",guerra,n
hice,354,First person of the singular (me) of the perfect preterit simple indicative of doing or becoming,hacer,v
incluso,355,Participation in including,incluso,v
medio,356,Mode or instrument facilitating the achievement or implementation of an objective,medio,n
cuál,357,Substitutes or indicates substantives for which you ask directly (interrogative) or indirectly (dubitative) to choose one or some from a,cuál,pron
hablando,358,Gerundius of speaking,hablando,v
adiós,359,Farewell,adiós,n
siquiera,360,At least,siquiera,conj
genial,361,The nature of an individual,genial,n
fueron,362,"Third person of plural (they, them; you, 2nd person) of the perfect preterit simple indicative of being",ser,v
ello,363,"Nominative of third person's personal pronoun in neutral gender. Preposition, also use in the oblique (or prepositional) case",ello,pron
rápido,364,Moving at high speed or speed,rápido,adj
equipo,365,Action or effect of equipping,equipo,n
dejar,366,Deposit or place a thing in place,dejar,v
significa,367,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of meaning",significar,v
jefe,368,Person who has the responsibility to lead and has authority over others,jefe,n
millones,369,Form of the plural of million,millón,n
suerte,370,Alleged cause of unforeseeable occurrences,suerte,n
otras,371,Form of the plural female of another,otro,adj
ayer,372,Day immediately preceding today,ayer,n
cuerpo,373,Material part of a human being or animal,cuerpo,n
llegar,374,Action to finish a trip or move because fate has been reached,llegar,v
mujeres,375,Form of the plural of women,mujer,n
posible,376,"Money or possessions available to a person; assets, financial resources",posible,n
según,377,"According to, according to",según,prep
nuestros,378,Form of the plural male of our,nuestro,adj
quizás,379,"It expresses the belief that something can happen or is true, but is not sure about it",quizás,adv
tierra,380,Surface of the planet Earth not covered by water,tierra,n
único,381,Tell yourself what there is one and only one copy,único,adj
hija,382,Form of the singular female child,hijo,n
ninguna,383,Form of the female of none,ninguno,adj
final,384,"Conclusion or conclusion of a work, of a piece of music, etc",final,n
cara,385,"In man and some animals, front of the head, where the eyes, nose and mouth are found",cara,n
niño,386,"A young human being, especially the one who has not reached puberty",niño,n
supongo,387,First person of the singular (me) of the present indicative of suppose,suponer,v
juntos,388,Form of the plural of the next,junto,adj
algunas,389,Form of the plural female of some,alguno,adj
entiendo,390,First person of the singular (me) of the present indicative of understanding or understanding,entender,v
número,391,Amount in relation to your unit,número,n
ningún,392,Variant of none,ningún,adj
deja,393,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of leaving or leaving",dejar,v
ves,394,"Second person of the singular (you, you) of the present indicative of seeing or seeing",ver,v
tío,395,Brother of a person's mother or father,tío,n
cerca,396,Wall or fence around a place,cerca,n
corazón,397,Organ of animals that is responsible for pumping blood,corazón,n
miedo,398,"Emotion of anxiety difficult to control caused by something that can cause some physical, emotional, property damage etc. Both the object that causes fear and the possibility",miedo,n
buenos,399,Shape of the plural of good,bueno,adj
eran,400,"Third person of plural (they, them; you, 2nd person) of imperfect preterite indicative of being",ser,v
haya,401,"(Fagus sylvatica) A tree of the family of the phagaceae, of thick trunk, grey bark, tall branches, and oval",haya,n
hubiera,402,First person of the singular (me) of the imperfect subjunctive preterit,haber,v
feliz,403,That feels happiness,feliz,adj
unas,404,Article indeterminate plural female,unas,art
espero,405,First person of the singular (me) of the present indicative of waiting or waiting,esperar,v
igual,406,Sign of equality (=),igual,n
viene,407,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of coming",venir,v
meses,408,Second person of the singular (you) of the present table subjunctive,mesar,v
sigue,409,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of follow",seguir,v
dar,410,Pass something on to someone else for free,dar,v
podía,411,First person of the singular (me) of the imperfect preterite of power indicative,poder,v
última,412,Form of the female singular last,último,adj
difícil,413,"Hard, expensive, complicated, not easy, which requires a lot of work or effort to be done",difícil,adj
os,414,"Accusative and dative case of the personal pronoun you, one of the forms of the second person plural in Spanish",os,pron
venir,415,Move over here,venir,v
vi,416,First person of the singular (me) of the perfect preterite simple indicative of seeing or seeing,ver,v
viejo,417,"Male, with respect to his children",viejo,n
bastante,418,That's enough,bastante,adj
tomar,419,Grab something with your hand,tomar,v
gustaría,420,First person of the singular (me) conditional to like,gustar,v
cuánto,421,What number of or what amount of,cuánto,adj
encontrar,422,"Suddenly one person meets another, or one person with an object",encontrar,v
adelante,423,First person of the singular (me) of the present subjunctive to advance,adelantar,v
justo,424,"Guided by reason, truth or justice",justo,adj
sentido,425,Physiological mechanism of sensational perception and stimuli,sentido,n
esposa,426,Married woman in respect of her spouse,esposa,n
segundo,427,"Time unit in the international system, defined as the duration of 9,192,631,770 radiation periods, corresponding to the transition between two levels of the ce",segundo,n
grande,428,Of noble dignity or similar that places him at the top of a certain hierarchy,grande,n
allá,429,"It indicates a place far from those who speak or communicate, more imprecisely than there. Because of this, contrary to there, it admit",allá,adv
clase,430,"Mark or type, often associated with “model”",clase,n
cual,431,Replaces or points out substantive and ideas that have been or will be mentioned,cual,pron
ante,432,Blind (initial mandatory bet),ante,n
juego,433,Action or effect of playing,juego,n
tenido,434,Participation in having or having,tenido,v
pensar,435,Exercising intellect to explain or imagine something or to conceive ideas,pensar,v
pueda,436,First person of the singular (me) of the present of subjunctive power,poder,v
hey,437,,,
doctor,438,Person who has received the highest academic degree awarded by a university or faculty,doctor,n
grupo,439,"Things, people or animals gathered in a particular place",grupo,n
cuidado,440,Care action or effect,cuidado,n
suficiente,441,Enough for what is needed or needed,suficiente,adj
sangre,442,"Viscous red fluid circulating through the veins and arteries of the upper animals, bringing oxygen to the body cells",sangre,n
pequeño,443,"Small, smaller than usual or normal",pequeño,adj
dijiste,444,"Second person of the singular (you, you) of the perfect preterit simple indicative to say",decir,v
trata,445,The illicit business of selling human beings as slaves,trata,n
haré,446,First person of the singular (me) of the future indicative of doing or becoming,hacer,v
último,447,"That, in a series of things or events, he has no other to follow",último,adj
frente,448,"Upper part of the face, between one temple and another, and from above the eyes until the skull begins to return",frente,n
grandes,449,Shape of the plural of large,grande,adj
venga,450,First person of the singular (me) of the present subjunctive to come,venir,v
llama,451,Light emitted by the excited electrons with the energy released in combustion processes within oxygen-rich atmospheres,llama,n
noches,452,Shape of the plural night,noche,n
toma,453,Action or effect to take (receive or take care of something),toma,n
necesita,454,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of need",necesitar,v
debes,455,Second person of the singular (you) of the present indicative of duty,deber,v
arriba,456,Top or previous,arriba,adv
vuelta,457,Movement that makes itself up to a reverse position,vuelta,n
