lemma,rank,translation,original_lemma,pos
creo,89,I believe; I think (creer),creer,v
tienes,90,you have (tener),tener,v
casa,91,house,casa,n
usted,92,second person formal,usted,pron
esa,93,that (fem.),ese,determiner
voy,94,I go (ir),ir,v
sabes,95,you know?,saber,v
eres,96,to be,ser,v
verdad,97,truth,verdad,n
hasta,98,until,hasta,prep
solo,99,sole,solo,adj
nunca,100,never,nunca,adv
años,101,years,año,n
hace,102,ago,hacer,v
va,103,goes (ir),ir,v
hola,104,hello; hi; hey,hola,interj
mucho,105,much; a lot of,mucho,determiner
quién,106,who?; whom?,quién,pron
mejor,107,better,mejor,adj
vida,108,life,vida,n
decir,109,to say; to tell,decir,v
mí,110,first-person singular pronoun in the nominative case,mí,pron
dónde,111,where?,dónde,adv
ni,112,neither... nor,ni,conj
están,113,are (estar),estar,v
favor,114,favor/favour,favor,n
señor,115,great big,señor,n
hombre,116,man;,hombre,n
oh,117,oh,oh,interj
siempre,118,always,siempre,adv
ver,119,to see; to spot,ver,v
uno,120,one,uno,num
quieres,121,you want (querer),querer,v
siento,122,I feel (sentir); I'm sorry,sentir,v
había,123,makes pluperfect to verbs as part of the auxiliary verb haber,haber,v
dios,124,god,Dios,prop
has,125,you have (haber),haber,v
antes,126,before (earlier than),antes,adv
día,127,day,día,n
desde,128,since,desde,prep
tenemos,129,we have (tener),tener,v
poco,130,little; not much,poco,adv
cosas,131,things,cosa,n
ti,132,you (prepositional),tú,pron
otra,133,another; other (fem.),otro,determiner
mismo,134,same,mismo,adj
han,135,have (haber),haber,v
hecho,136,done; made; fact,hecho,n
alguien,137,someone; somebody,alguien,pron
puedes,138,you can (poder),poder,v
ahí,139,there,ahí,adv
dijo,140,said (decir),decir,v
estar,141,to be,estar,v
entre,142,between,entre,prep
noche,143,after dark; (late) at night; nocturnally,noche,n
trabajo,144,work; job,trabajo,n
ir,145,to go,ir,v
después,146,later; afterwards; afterward; post,después,adv
mis,147,my (pl.),mi,n
sea,148,be (subjunctive of ser),ser,v
acuerdo,149,agreement,acuerdo,n
otro,150,another; other,otro,determiner
parece,151,seems (parecer),parecer,v
donde,152,because,donde,pron
ellos,153,they (masc.),él,pron
estamos,154,we are (estar),estar,v
mundo,155,world; earth,mundo,n
gente,156,people,gente,n
nosotros,157,we,nosotros,pron
padre,158,Father,padre,n
estado,159,country; land,Estado,prop
nadie,160,no one,nadie,pron
tal,161,such,tal,pron
les,162,them; you (formal pl.),ustedes,pron
parte,163,part,parte,n
sido,164,been (ser),ser,v
momento,165,moment; instant,momento,n
podría,166,could; might (poder),poder,v
menos,167,less; fewer,menos,adv
mira,168,target,mirar,v
quiere,169,wants (querer),querer,v
fuera,170,outside,fuera,adv
gran,171,big; large,grande,adj
lugar,172,place,lugar,n
hablar,173,to talk,hablar,v
tener,174,to have,tener,v
tenía,175,had (tener),tener,v
tres,176,three,tres,num
nuevo,177,new,nuevo,adj
pasa,178,raisin,pasar,v
vas,179,you go (ir),ir,v
cada,180,each,cada,determiner
claro,181,clear; easily understood,claro,adj
dinero,182,money,dinero,n
madre,183,mother,padre,n
mañana,184,tomorrow,mañana,n
sr.,185,abbreviation of Señor,sr.,none
tipo,186,dolled up; smartened up; dressed for a special occasion,tipo,n
hoy,187,today,hoy,adv
días,188,days,día,n
luego,189,therefore,luego,adv
allí,190,there (over there),allí,adv
mujer,191,woman,mujer,n
nuestro,192,ours,nuestro,determiner
tanto,193,so much,tanto,adv
cosa,194,thing,cosa,n
sabe,195,knows (saber),saber,v
todas,196,all; everyone (fem.),todo,determiner
haciendo,197,to do,hacer,v
hijo,198,son,hijo,n
dice,199,says (decir),decir,v
seguro,200,secure,seguro,adj
podemos,201,a Spanish left wing political party,poder,v
debe,202,to owe,deber,v
espera,203,wait,esperar,v
vale,204,a voucher,valer,v
será,205,to be,ser,v
estas,206,these (fem.),este,determiner
toda,207,all; every (fem.),todo,determiner
haber,208,have,haber,v
tus,209,initialism of Tren Urbano; the metro system used in San Juan; Puerto Rico,tuyo,determiner
amigo,210,friend,amigo,n
nuestra,211,ours,nuestro,determiner
buena,212,inheritance,bueno,adj
aún,213,still; yet,aún,adv
quien,214,who,quien,pron
estos,215,these,este,determiner
nombre,216,name,nombre,n
tienen,217,to have,tener,v
veces,218,by; times,vez,n
mamá,219,mum; mom,mamá,n
mal,220,bad; evil,mal,adv
buen,221,good,bueno,adj
durante,222,during; in; over,durante,prep
papá,223,dad,papá,n
quería,224,to desire; to want; to want to,querer,v
dije,225,pleasant; nice; likable,decir,v
unos,226,about; approximately,uno,determiner
pasado,227,past,pasado,n
forma,228,shape,forma,n
gusta,229,taste,gustar,v
hizo,230,to do,hacer,v
caso,231,case,caso,n
contra,232,against; versus,contra,prep
tarde,233,late,tarde,adv
necesito,234,to need,necesitar,v
oye,235,hey! listen!,oír,v
alguna,236,some; any,alguno,determiner
hemos,237,we have (haber),haber,v
cuenta,238,count; tally,cuenta,n
visto,239,seen,ver,v
conmigo,240,with me,conmigo,adv
mientras,241,while; whilst; as,mientras,conj
otros,242,others,otro,determiner
realmente,243,really; actually; genuinely,realmente,adv
hora,244,hour,hora,n
problema,245,problem; issue; challenge,problema,n
crees,246,to believe,creer,v
año,247,year,año,n
razón,248,reason,razón,n
primera,249,first gear,primero,adj
cierto,250,a certain; a specific,cierto,adj
saber,251,to know; to understand,saber,v
dicho,252,said,decir,v
hacerlo,253,to do,hacer,v
mierda,254,shit (solid excretory product evacuated from the bowels,mierda,n
pues,255,so; then,pues,conj
idea,256,idea,idea,n
mío,257,mine,mío,determiner
e,258,and,e,conj
aunque,259,though; although; even though; albeit,aunque,conj
familia,260,family,familia,n
hacia,261,toward; towards,hacia,prep
amor,262,love,amor,n
esos,263,those,ese,determiner
pueden,264,to be able to; can,poder,v
importa,265,to matter; to be important [+a (someone)],importar,v
todavía,266,still; yet,todavía,adv
personas,267,person (an individual,persona,n
policía,268,Civility; polity; public order; police; fineness; neatness; urbanity,policía,n
casi,269,almost,casi,adv
contigo,270,with you,contigo,adv
cualquier,271,anyone; whoever; whomever,cualquiera,determiner
demasiado,272,too much; too many; excessive,demasiado,adv
ven,273,to see; to spot,ver,v
serio,274,serious; earnest; sober; solemn,serio,adj
algún,275,some; any,alguno,determiner
ve,276,letter: v,ir,v
nueva,277,news; novelty,nuevo,adj
eh,278,hey!,,
lado,279,side,lado,n
manera,280,way,manera,n
cabeza,281,head,cabeza,n
hombres,282,man;,hombre,n
historia,283,history,historia,n
dentro,284,inside,dentro,adv
sería,285,to be,ser,v
salir,286,to go out; to leave; to depart; to head out,salir,v
debería,287,to owe,deber,v
van,288,they go (ir),ir,v
ciudad,289,city,ciudad,n
ustedes,290,you,usted,pron
muchas,291,much; a lot of,mucho,determiner
poder,292,to be able to; can,poder,n
algunos,293,some; any,alguno,determiner
amigos,294,friend,amigo,n
chica,295,female equivalent of chico: girl,chico,n
mayor,296,of age,mayor,adj
sabía,297,to know; to understand,saber,v
chicos,298,chic,chico,n
hermano,299,brother,hermano,n
esas,300,those (fem.),ese,determiner
primer,301,first; first up,primero,adj
país,302,country,país,n
vaya,303,joke,ir,v
agua,304,water,agua,n
misma,305,same,mismo,adj
veo,306,to see; to spot,ver,v
haces,307,to do,hacer,v
camino,308,way; route,camino,n
persona,309,person (an individual,persona,n
iba,310,was going (ir),ir,v
realidad,311,reality,realidad,n
fin,312,end,fin,n
importante,313,important; that cares; that matters,importante,adj
primero,314,first; first up,primero,adj
digo,315,I say (decir),decir,v
horas,316,hour,hora,n
semana,317,week,semana,n
puerta,318,door,puerta,n
somos,319,we are (ser),ser,v
pensé,320,to think; ponder,pensar,v
bajo,321,under,bajo,prep
muerte,322,death,muerte,n
problemas,323,problem; issue; challenge,problema,n
punto,324,point,punto,n
ah,325,ah,,
pasó,326,dried,pasar,v
quizá,327,perhaps; maybe,quizá,adv
buenas,328,hello; hi,bueno,adj
supuesto,329,supposed; self-styled; alleged,supuesto,n
cuatro,330,four,cuatro,num
da,331,to give; to give out,dar,v
mano,332,hand,mano,n
niños,333,child; boy,niño,n
volver,334,to return; to revert; to get back,volver,v
además,335,in addition; moreover; furthermore; further; also; additionally,además,adv
señora,336,lady,señor,n
cariño,337,affection; fondness,cariño,n
ayuda,338,help; aid,ayuda,n
ojos,339,eye,ojo,n
cinco,340,a five,cinco,num
pasar,341,to pass; to hand; to slip,pasar,v
general,342,general; overall,general,adj
pronto,343,prompt; on time,pronto,adv
debo,344,to owe,deber,v
minutos,345,minute,minuto,n
sino,346,but (rather),sino,conj
gobierno,347,government,gobierno,n
manos,348,man; guy; dude,mano,n
presidente,349,president,presidente,n
muerto,350,dead,muerto,adj
muchos,351,several,mucho,determiner
chico,352,small,chico,n
guerra,353,war; warfare,guerra,n
hice,354,to do,hacer,v
incluso,355,enclosed; included,incluso,adv
medio,356,half,medio,n
cuál,357,what,cuál,pron
hablando,358,to talk,hablar,v
adiós,359,farewell,adiós,n
siquiera,360,if only,siquiera,adv
genial,361,genial; pleasant,genial,adj
fueron,362,to be,ser,v
ello,363,it; neuter third-person subject and disjunctive pronoun,ello,pron
rápido,364,rapid; quick; fast,rápido,adj
equipo,365,team,equipo,n
dejar,366,to leave,dejar,v
significa,367,to signify,significar,v
jefe,368,chief,jefe,n
millones,369,million,millón,n
suerte,370,luck; fortune,suerte,n
otras,371,others (fem.),otro,determiner
ayer,372,yesterday,ayer,adv
cuerpo,373,body,cuerpo,n
llegar,374,to arrive; get,llegar,v
mujeres,375,surname,mujer,n
posible,376,possible,posible,adj
según,377,according to,según,prep
nuestros,378,ours,nuestro,determiner
quizás,379,maybe; perhaps,quizás,adv
tierra,380,land; ground,tierra,n
único,381,only,único,adj
hija,382,daughter,hijo,n
ninguna,383,no,ninguno,determiner
final,384,final,final,n
cara,385,face,cara,n
niño,386,child; boy,niño,n
supongo,387,to presume; to expect,suponer,v
juntos,388,next to; together with; alongside,junto,adj
algunas,389,some; any,alguno,determiner
entiendo,390,to understand; to fathom,entender,v
número,391,number,número,n
ningún,392,no,ninguno,determiner
deja,393,rest,dejar,v
ves,394,to see; to spot,ir,v
tío,395,uncle,tío,n
cerca,396,close; near; around; about; nearly; nigh,cerca,adv
corazón,397,heart,corazón,n
miedo,398,fear,miedo,n
buenos,399,good,bueno,adj
eran,400,to be,ser,v
haya,401,beech; beech tree,haber,v
hubiera,402,have,haber,v
feliz,403,happy; merry,feliz,adj
unas,404,one,uno,determiner
espero,405,to wait; to hold on,esperar,v
igual,406,equal; same,igual,adj
viene,407,to come,venir,v
meses,408,month,mes,n
sigue,409,to follow,seguir,v
dar,410,to give; to give out,dar,v
podía,411,to be able to; can,poder,v
última,412,final,último,adj
difícil,413,difficult; hard; tough; challenging; rough; tricky; trying; arduous; testing,difícil,adj
os,414,you; to you; for you,ox,interj
venir,415,to come,venir,v
vi,416,to see; to spot,ver,v
viejo,417,old,viejo,n
bastante,418,enough,bastante,adv
tomar,419,to take,tomar,v
gustaría,420,to taste; to try,gustar,v
cuánto,421,how much,cuánto,determiner
encontrar,422,to meet,encontrar,v
adelante,423,forward,adelante,adv
justo,424,just,justo,adj
sentido,425,deeply felt; heartfelt,sentido,n
esposa,426,wife,esposo,n
segundo,427,second,segundo,adj
grande,428,big; large,grande,adj
allá,429,there; over there; thither; yonder,allá,adv
clase,430,lecture,clase,n
cual,431,suchlike; like (which); such as,cual,pron
ante,432,in front of; before,ante,prep
juego,433,play,juego,n
tenido,434,to have,tener,v
pensar,435,to think; ponder,pensar,v
pueda,436,to be able to; can,poder,v
hey,437,hey!,,
doctor,438,doctor,doctor,n
grupo,439,group,grupo,n
cuidado,440,answerable,cuidado,n
suficiente,441,sufficient; enough,suficiente,adj
sangre,442,blood,sangre,n
pequeño,443,small,pequeño,adj
dijiste,444,to say; to tell,decir,v
trata,445,trafficking; trade; slave trade,tratar,v
haré,446,to do,hacer,v
último,447,final,último,adj
frente,448,forehead; brow,frente,n
grandes,449,big; large,grande,adj
venga,450,A cheer or expression of support; encouragement; etc.,venir,v
llama,451,flame,llamar,v
noches,452,after dark; (late) at night; nocturnally,noche,n
toma,453,conquest; capture; taking; takeover,tomar,v
necesita,454,to need,necesitar,v
debes,455,to owe,deber,v
arriba,456,above; over,arriba,adv
vuelta,457,turn,vuelta,n
coche,458,car; automobile,coche,n
tampoco,459,neither,tampoco,adv
trabajar,460,to work,trabajar,v
cuándo,461,when,cuándo,adv
fuerte,462,strong,fuerte,adj
seguridad,463,safety; security,seguridad,n
mas,464,but,,
entrar,465,to enter,entrar,v
vivir,466,to live,vivir,v
escucha,467,listening,escuchar,v
déjame,468,rest,dejar,v
pueblo,469,town; village,pueblo,n
hijos,470,son,hijo,n
joven,471,young; youthful,joven,adj
cuanto,472,whatever quantity; as much; however much,cuanto,adv
hago,473,to do,hacer,v
escuela,474,school,escuela,n
tras,475,after; following; in the wake of,tras,prep
cree,476,to believe,creer,v
cambio,477,change; shift,cambio,n
luz,478,light,luz,n
oportunidad,479,opportunity; chance; shot; break; occasion; time,oportunidad,n
fui,480,to be,ser,v
sistema,481,system,sistema,n
embargo,482,embargo,embargo,n
teléfono,483,telephone,teléfono,n
dices,484,to say; to tell,decir,v
seis,485,six,seis,num
alto,486,tall,alto,adj
habla,487,speech,hablar,v
fiesta,488,party,fiesta,n
loco,489,crazy; insane; mad; nuts,loco,n
atrás,490,behind,atrás,adv
debemos,491,to owe,deber,v
pregunta,492,question,pregunta,n
hacen,493,to do,hacer,v
seguir,494,to follow,seguir,v
quieren,495,to desire; to want; to want to,querer,v
dio,496,to give; to give out,dar,v
paso,497,dried,paso,n
falta,498,lack; shortage,falta,n
fácil,499,easy; facile; simple,fácil,adj
ido,500,away with the fairies,ir,v
padres,501,Father,padre,n
vino,502,wine,vino,n
hiciste,503,to do,hacer,v
estaban,504,to be,estar,v
situación,505,situation; scenario; picture,situación,n
abajo,506,down; downwards,abajo,adv
única,507,only,único,adj
siendo,508,to be,ser,v
modo,509,way; manner,modo,n
información,510,information,información,n
dólares,511,dollar,dólar,n
esté,512,to be,estar,v
hermana,513,sister,hermano,n
tuvo,514,to have,tener,v
dado,515,given; considering,dar,v
música,516,music,música,n
paz,517,peace,paz,n
culpa,518,fault,culpa,n
queda,519,curfew,quedar,v
real,520,real,real,adj
auto,521,car; automobile,,
palabra,522,word,palabra,n
deberías,523,to owe,deber,v
sola,524,surname,solo,adj
derecho,525,straight (not crooked or bent,derecho,n
lista,526,list; roll,lista,n
partido,527,broken,partido,n
orden,528,order,orden,n
exactamente,529,exactly,exactamente,adv
nacional,530,national; nationwide,nacional,adj
listo,531,clever; smart,listo,adj
comida,532,food,comida,n
necesitamos,533,to need,necesitar,v
habría,534,have,haber,v
libro,535,book,libro,n
capitán,536,captain,capitán,n
diciendo,537,to say; to tell,decir,v
comer,538,to eat,comer,v
sabemos,539,to know; to understand,saber,v
lejos,540,far,lejos,adv
pasando,541,to pass; to hand; to slip,pasar,v
morir,542,to die,morir,v
haga,543,to do,hacer,v
puesto,544,standing,puesto,n
calle,545,street,calle,n
dicen,546,to say; to tell,decir,v
estabas,547,to be,estar,v
par,548,even,par,n
política,549,politics,política,n
malo,550,bad,malo,n
habitación,551,room,habitación,n
probablemente,552,probably; likely,probablemente,adv
estuvo,553,to be,estar,v
éste,554,this one,éste,pron
plan,555,plan,plan,n
especial,556,special,especial,adj
palabras,557,word,palabra,n
pequeña,558,small,pequeño,adj
ok,559,OK,OK,adj
creer,560,to believe,creer,v
relación,561,relation,relación,n
chicas,562,female equivalent of chico: girl,chico,n
ley,563,law,ley,n
bebé,564,baby,bebé,n
pensando,565,to think; ponder,pensar,v
conozco,566,to know (a person or a place); to be familiar with; to be acquainted with,conocer,v
simplemente,567,simply,simplemente,adv
acerca,568,adjacent,acercar,v
diez,569,A,diez,num
esperar,570,to wait; to hold on,esperar,v
través,571,bend; turn,través,n
tuve,572,to have,tener,v
centro,573,center,centro,n
largo,574,long,largo,adj
buscando,575,to seek; search for; look for; try to find; to scour,buscar,v
cama,576,bed,cama,n
nuestras,577,ours,nuestro,determiner
recuerdo,578,memory,recuerdo,n
rey,579,king,rey,n
españa,580,Spain,España,prop
voz,581,voice,voz,n
demás,582,others; other ones,demás,pron
sra.,583,abbreviation of señora,sra.,none
saben,584,to know; to understand,saber,v
mil,585,thousand (1000 units of something),mil,num
lleva,586,to take; to take out,llevar,v
tenga,587,to have,tener,v
necesitas,588,to need,necesitar,v
conseguir,589,to achieve; succeed in; reach; accomplish; attain,conseguir,v
amo,590,master,amo,n
propia,591,own,propio,adj
propio,592,own,propio,adj
sitio,593,site; place,sitio,n
resto,594,rest; remainder,resto,n
oficina,595,office,oficina,n
libre,596,free,libre,adj
segura,597,Segura,seguro,adj
peor,598,bad,peor,adj
estará,599,to be,estar,v
poner,600,to put; to put up; to place; to lay,poner,v
fuerza,601,force,fuerza,n
marido,602,husband,marido,n
arma,603,weapon; arm,arma,n
puta,604,whore; slut; prostitute,puta,n
oído,605,hearing,oír,v
llevar,606,to take; to take out,llevar,v
podrías,607,to be able to; can,poder,v
ejemplo,608,example,ejemplo,n
mucha,609,much; a lot of,mucho,determiner
control,610,control; or running of a business,control,n
esperando,611,to wait; to hold on,esperar,v
atención,612,attention,atención,n
don,613,title of respect for a man: sir,don,n
fuego,614,fire,fuego,n
llamado,615,called,llamado,adj
madrid,616,Madrid,Madrid,prop
viaje,617,voyage,viaje,n
dormir,618,to sleep,dormir,v
cuarto,619,fourth,cuarto,n
dr.,620,abbreviation of doctor,dr.,none
siguiente,621,following,siguiente,adj
matar,622,to kill; slay,matar,v
habían,623,have,haber,v
hagas,624,to do,hacer,v
ambos,625,both,ambos,pron
habrá,626,have,haber,v
perdido,627,lost,perder,v
prueba,628,proof,prueba,n
futuro,629,future,futuro,n
campo,630,countryside; country,campo,n
deben,631,to owe,deber,v
hospital,632,hospital,hospital,n
di,633,to give; to give out,decir,v
ellas,634,they (fem.),ella,pron
vivo,635,alive; living,vivo,adj
piensa,636,to think; ponder,pensar,v
semanas,637,week,semana,n
edad,638,age,edad,n
ayudar,639,to help,ayudar,v
venido,640,to come,venir,v
murió,641,to die,morir,v
película,642,film,película,n
san,643,Saint,,
maldita,644,cursed,maldito,adj
estados,645,country; land,estado,n
niña,646,girl; female equivalent of niño,niño,n
vista,647,sight; vision; eyesight,vista,n
junto,648,next to; together with; alongside,junto,adj
correcto,649,correct; right,correcto,adj
llamar,650,to summon; to call,llamar,v
basta,651,as long as,bastar,v
john,652,john,john,none
aire,653,air,aire,n
encima,654,on top,encima,adv
cielo,655,sky,cielo,n
iré,656,to go,ir,v
buscar,657,to seek; search for; look for; try to find; to scour,buscar,v
programa,658,programme; program,programa,n
personal,659,personal,personal,adj
café,660,brown,café,n
detrás,661,behind; at the rear,detrás,adv
público,662,public,público,adj
minuto,663,minute,minuto,n
director,664,director,director,n
llegó,665,to arrive; get,llegar,v
demonios,666,the hell; on earth,demonio,n
pienso,667,animal feed,pensar,v
verte,668,to see; to spot,ver,v
acaba,669,synonym of acabamiento,acabar,v
boca,670,mouth; oral cavity,boca,n
diga,671,way to say hello on the telephone,decir,v
anoche,672,last night,anoche,adv
vuelve,673,to return; to revert; to get back,volver,v
dirección,674,direction,dirección,n
llamada,675,call,llamado,adj
ud.,676,abbreviation of usted,ud.,none
servicio,677,service,servicio,n
ésta,678,this one,éste,pron
idiota,679,idiotic,idiota,adj
jugar,680,to play,jugar,v
mala,681,female equivalent of malo,malo,adj
social,682,social,social,adj
médico,683,medical,médico,n
mes,684,month,mes,n
obra,685,work,obra,n
asunto,686,matter; issue; business,asunto,n
perder,687,to lose,perder,v
dejó,688,accent,dejar,v
armas,689,weapon; arm,arma,n
duro,690,hard,duro,adj
querido,691,dear,querer,v
preguntas,692,question,pregunta,n
queremos,693,to desire; to want; to want to,querer,v
perdón,694,pardon,perdón,n
pie,695,foot,pie,n
mayoría,696,majority,mayoría,n
unidos,697,united,unido,adj
segunda,698,second gear,segundo,adj
empezar,699,to start; begin; to get started,empezar,v
mía,700,a regiment of 100 soldiers in the Spanish protectorate of Morocco,mía,n
digas,701,to say; to tell,decir,v
hacemos,702,to do,hacer,v
perro,703,doggy or doggish,perro,n
señorita,704,young woman,señorito,n
ropa,705,garment; clothing; clothes; robes,ropa,n
hacía,706,toward; towards,hacer,v
papel,707,paper,papel,n
sueño,708,sleep; slumber,sueño,n
oficial,709,official,oficial,adj
extraño,710,foreign; alien; extraneous,extraño,adj
negro,711,black (absorbing all light and reflecting none,negro,adj
jamás,712,never,jamás,adv
hará,713,to do,hacer,v
afuera,714,out; outside,aforar,v
sol,715,sun,sol,n
media,716,half,medio,adj
diablos,717,the hell,diablo,n
necesario,718,necessary; requisite,necesario,adj
noticias,719,notice,noticia,n
increíble,720,incredible; unbelievable,increíble,adj
josé,721,Joseph; son of Jacob,José,prop
principio,722,beginning; start; outset; get-go,principio,n
respuesta,723,reply; response; answer,respuesta,n
llegado,724,arrived; received; delivered,llegar,v
universidad,725,college,universidad,n
maldito,726,cursed,maldito,n
juan,727,John,,
vemos,728,to see; to spot,ver,v
haría,729,to do,hacer,v
compañía,730,company,compañía,n
cambiar,731,to change; to shift; to switch; to alter,cambiar,v
dolor,732,pain; ache; aching soreness; tenderness,dolor,n
mesa,733,table,mesa,n
mensaje,734,message,mensaje,n
nivel,735,level; tier; height,nivel,n
pudo,736,to be able to; can,poder,v
s,737,letter,s,letter
decisión,738,decision,decisión,n
línea,739,line,línea,n
diferente,740,different,diferente,adj
aquel,741,that (over there),aquel,determiner
libertad,742,liberty; freedom,libertad,n
alrededor,743,around,alrededor,adv
vio,744,to see; to spot,ver,v
mitad,745,half,mitad,n
i,746,letter,i,n
espacio,747,space,espacio,n
respecto,748,respect; regard; connection; relation; relationship,respecto,n
pena,749,punishment,pena,n
trabajando,750,to work,trabajar,v
agente,751,agent,agente,n
sexo,752,sex,sexo,n
sociedad,753,society; social order,sociedad,n
salud,754,health,salud,n
investigación,755,investigation,investigación,n
suena,756,sound,sonar,v
proceso,757,process,proceso,n
aqui,758,here,aquí,adv
encontrado,759,found,encontrar,v
tratando,760,to treat,tratar,v
usar,761,to use,usar,v
trato,762,treatment,trato,n
querida,763,female equivalent of querido,querido,adj
siete,764,seven,siete,num
blanco,765,white,blanco,adj
supone,766,to presume; to expect,suponer,v
raro,767,rare,raro,adj
consejo,768,advice; counsel; piece of advice,consejo,n
diré,769,to say; to tell,decir,v
zona,770,zone; district; area,zona,n
jack,771,jack,jack,none
últimos,772,final,último,adj
error,773,error,error,n
mejores,774,better,mejor,adj
hubo,775,have,haber,v
perfecto,776,perfect,perfecto,adj
tema,777,theme,tema,n
reunión,778,meeting; session; appointment,reunión,n
piensas,779,to think; ponder,pensar,v
york,780,York,York,prop
sucede,781,to happen; to befall; to occur,suceder,v
podríamos,782,to rot,poder,v
carta,783,letter,carta,n
secreto,784,secret,secreto,n
siente,785,to feel,sentir,v
gusto,786,taste,gusto,n
decía,787,to say; to tell,decir,v
ganar,788,to gain,ganar,v
base,789,base,base,n
odio,790,hate; hatred; loathing (strong aversion,odio,n
decirle,791,to say; to tell,decir,v
ocurre,792,to happen; to occur,ocurrir,v
sean,793,to be,ser,v
maría,794,magpie,,
suelo,795,dirt,suelo,n
hotel,796,hotel,hotel,n
silencio,797,silence,silencio,n
daño,798,damage,daño,n
amiga,799,female equivalent of amigo; friend,amigo,n
pobre,800,poor,pobre,adj
partir,801,to divide; split,partir,v
asesino,802,murderous; homicidal,asesino,n
entiendes,803,to understand; to fathom,entender,v
encuentra,804,to meet,encontrar,v
quieras,805,to desire; to want; to want to,querer,v
fondo,806,bottom,fondo,n
pensaba,807,to think; ponder,pensar,v
existe,808,to exist,existir,v
srta.,809,abbreviation of señorita,srta.,none
darle,810,to give; to give out,dar,v
dan,811,dan,dar,v
baño,812,bath,baño,n
carrera,813,race,carrera,n
conoces,814,to know (a person or a place); to be familiar with; to be acquainted with,conocer,v
acción,815,action; act; deed,acción,n
duda,816,doubt,duda,n
vuelto,817,change,volver,v
partes,818,genitalia,parte,n
interior,819,inner; interior,interior,n
tendrá,820,to have,tener,v
imposible,821,impossible,imposible,adj
pagar,822,to pay,pagar,v
mente,823,mind; intellect,mente,n
divertido,824,entertaining; amusing; funny,divertido,adj
sala,825,room,sala,n
acabo,826,synonym of acabamiento,acabar,v
negocio,827,business; enterprise,negocio,n
apenas,828,barely; scarcely,apenas,adv
ocho,829,eight,ocho,num
próxima,830,near,próximo,adj
ejército,831,army,ejército,n
mar,832,sea,mar,n
estaré,833,to be,estar,v
cita,834,date,cita,n
pelo,835,hair,pelo,n
abogado,836,lawyer; solicitor; counsel,abogado,n
diferentes,837,different,diferente,adj
conoce,838,to know (a person or a place); to be familiar with; to be acquainted with,conocer,v
recuerda,839,to remember; to recollect,recordar,v
asesinato,840,assassination,asesinato,n
recuerdas,841,to remember; to recollect,recordar,v
