lemma,rank,translation_pass1,translation_pass2,translation_final,pos_final,flags_pass1,flags_pass2,pass,repaired
madrid,616,,,,,blank,blank,2,False
dr.,620,,,,,blank,blank,2,False
deben,631,they owe,,they owe,verb,suspicious_verb,suspicious_verb,2,False
hospital,632,,,,,blank,blank,2,False
di,633,I gave,you say,you say,verb,suspicious_verb,suspicious_verb,2,True
piensa,636,he thinks; she thinks; it thinks,you think,you think,verb,suspicious_verb,suspicious_verb,2,True
venido,640,come,,come,verb,suspicious_verb,suspicious_verb,2,False
murió,641,he died; she died; it died,,he died; she died; it died,verb,suspicious_verb,suspicious_verb,2,False
san,643,,holy; godly,holy; godly,adj,blank,,2,True
john,652,,,,,blank,blank,2,False
personal,659,,staff; personnel,staff; personnel,noun,blank,,2,True
director,664,,conductor,conductor,noun,blank,,2,True
llegó,665,he arrived; she arrived; it arrived,,he arrived; she arrived; it arrived,verb,suspicious_verb,suspicious_verb,2,False
acaba,669,he finishes; she finishes; it finishes,you finish,you finish,verb,suspicious_verb,suspicious_verb,2,True
vuelve,673,he returns; she returns; it returns,you return,you return,verb,suspicious_verb,suspicious_verb,2,True
ud.,676,,,,,blank,blank,2,False
social,682,,,,,blank,blank,2,False
dejó,688,he left; she left; it left,,he left; she left; it left,verb,suspicious_verb,suspicious_verb,2,False
queremos,693,we desire,,we desire,verb,suspicious_verb,suspicious_verb,2,False
digas,701,you say,,you say,verb,suspicious_verb,suspicious_verb,2,False
josé,721,,,,,blank,blank,2,False
juan,727,,,,,blank,blank,2,False
vemos,728,we see,,we see,verb,suspicious_verb,suspicious_verb,2,False
s,737,,,,,blank,blank,2,False
vio,744,he saw; she saw; it saw,,he saw; she saw; it saw,verb,suspicious_verb,suspicious_verb,2,False
i,746,,you go,you go,verb,blank,,2,True
trabajando,750,working,,working,verb,suspicious_verb,suspicious_verb,2,False
suena,756,he sounds; she sounds; it sounds,you sound,you sound,verb,suspicious_verb,suspicious_verb,2,True
aqui,758,,,,,blank,blank,2,False
tratando,760,treating,,treating,verb,suspicious_verb,suspicious_verb,2,False
supone,766,he supposes; she supposes; it supposes,,he supposes; she supposes; it supposes,verb,suspicious_verb,suspicious_verb,2,False
jack,771,,,,,blank,blank,2,False
error,773,,,,,blank,blank,2,False
piensas,779,you think,,you think,verb,suspicious_verb,suspicious_verb,2,False
york,780,,,,,blank,blank,2,False
sucede,781,he happens; she happens; it happens,you happen,you happen,verb,suspicious_verb,suspicious_verb,2,True
siente,785,I seat,he seats; she seats; it seats,he seats; she seats; it seats,verb,suspicious_verb,suspicious_verb,2,True
decía,787,I said,,I said,verb,suspicious_verb,suspicious_verb,2,False
base,789,,basis,basis,noun,blank,,2,True
ocurre,792,he happens; she happens; it happens,you happen,you happen,verb,suspicious_verb,suspicious_verb,2,True
hotel,796,,,,,blank,blank,2,False
entiendes,803,you understand,,you understand,verb,suspicious_verb,suspicious_verb,2,False
encuentra,804,he meets; she meets; it meets,you meet,you meet,verb,suspicious_verb,suspicious_verb,2,True
quieras,805,you desire,,you desire,verb,suspicious_verb,suspicious_verb,2,False
pensaba,807,I thought,,I thought,verb,suspicious_verb,suspicious_verb,2,False
existe,808,he exists; she exists; it exists,you exist,you exist,verb,suspicious_verb,suspicious_verb,2,True
srta.,809,,,,,blank,blank,2,False
dan,811,,they give,they give,verb,blank,suspicious_verb,2,True
conoces,814,you know,,you know,verb,suspicious_verb,suspicious_verb,2,False
conoce,838,he knows; she knows; it knows,you know,you know,verb,suspicious_verb,suspicious_verb,2,True
recuerda,839,he remembers; she remembers; it remembers,you remember,you remember,verb,suspicious_verb,suspicious_verb,2,True
recuerdas,841,you remember,,you remember,verb,suspicious_verb,suspicious_verb,2,False
vive,842,I applaud,he applauds; she applauds; it applauds,he applauds; she applauds; it applauds,verb,suspicious_verb,suspicious_verb,2,True
parecía,866,I seemed,,I seemed,verb,suspicious_verb,suspicious_verb,2,False
uh,872,,,,,blank,blank,2,False
club,884,,,,,blank,blank,2,False
encontré,887,I met,,I met,verb,suspicious_verb,suspicious_verb,2,False
quiera,892,I desire,he desires; she desires; it desires,he desires; she desires; it desires,verb,suspicious_verb,suspicious_verb,2,True
carlos,893,,,,,blank,blank,2,False
david,902,,,,,blank,blank,2,False
funciona,908,he works; she works; it works,you work,you work,verb,suspicious_verb,suspicious_verb,2,True
encanta,918,he charms; she charms; it charms,you charm,you charm,verb,suspicious_verb,suspicious_verb,2,True
llega,929,he arrives; she arrives; it arrives,you arrive,you arrive,verb,suspicious_verb,suspicious_verb,2,True
dijeron,937,they said,,they said,verb,suspicious_verb,suspicious_verb,2,False
mató,942,he killed; she killed; it killed,,he killed; she killed; it killed,verb,suspicious_verb,suspicious_verb,2,False
radio,943,,radius,radius,noun,blank,,2,True
pone,946,he puts; she puts; it puts,,he puts; she puts; it puts,verb,suspicious_verb,suspicious_verb,2,False
ex,950,,ex-; former,ex-; former,adj,blank,,2,True
llamo,951,I summon,,I summon,verb,suspicious_verb,suspicious_verb,2,False
puso,952,he put; she put; it put,,he put; she put; it put,verb,suspicious_verb,suspicious_verb,2,False
entra,953,he enters; she enters; it enters,you enter,you enter,verb,suspicious_verb,suspicious_verb,2,True
viste,962,,you saw,you saw,verb,blank,suspicious_verb,2,True
creí,971,I believed,,I believed,verb,suspicious_verb,suspicious_verb,2,False
sientes,973,you seat,you feel,you feel,verb,suspicious_verb,suspicious_verb,2,True
quisiera,981,I desired,,I desired,verb,suspicious_verb,suspicious_verb,2,False
michael,982,,,,,blank,blank,2,False
simple,998,,mere; ordinary,mere; ordinary,adj,blank,,2,True
llamó,1007,he summoned; she summoned; it summoned,,he summoned; she summoned; it summoned,verb,suspicious_verb,suspicious_verb,2,False
gustan,1010,they taste,,they taste,verb,suspicious_verb,suspicious_verb,2,False
asi,1019,,,,,blank,blank,2,False
joe,1021,,,,,blank,blank,2,False
george,1029,,,,,blank,blank,2,False
acabó,1059,he finished; she finished; it finished,,he finished; she finished; it finished,verb,suspicious_verb,suspicious_verb,2,False
c,1060,,,,,blank,blank,2,False
tom,1065,,,,,blank,blank,2,False
llevo,1068,I take,,I take,verb,suspicious_verb,suspicious_verb,2,False
resulta,1071,he results; she results; it results,you result,you result,verb,suspicious_verb,suspicious_verb,2,True
volvió,1072,he returned; she returned; it returned,,he returned; she returned; it returned,verb,suspicious_verb,suspicious_verb,2,False
central,1077,,headquarter,headquarter,noun,blank,,2,True
encontramos,1079,we met,,we met,verb,suspicious_verb,suspicious_verb,2,False
europa,1080,,,,,blank,blank,2,False
esperaba,1081,I hoped,,I hoped,verb,suspicious_verb,suspicious_verb,2,False
mirando,1084,looking at,,looking at,verb,suspicious_verb,suspicious_verb,2,False
llevó,1086,he took; she took; it took,,he took; she took; it took,verb,suspicious_verb,suspicious_verb,2,False
abre,1089,he opens; she opens; it opens,you open,you open,verb,suspicious_verb,suspicious_verb,2,True
intentando,1097,trying,,trying,verb,suspicious_verb,suspicious_verb,2,False
jesús,1098,,,,,blank,blank,2,False
honor,1102,,,,,blank,blank,2,False
méxico,1109,,,,,blank,blank,2,False
horrible,1112,,,,,blank,blank,2,False
vienen,1123,they come,,they come,verb,suspicious_verb,suspicious_verb,2,False
das,1136,you give,,you give,verb,suspicious_verb,suspicious_verb,2,False
detective,1138,,,,,blank,blank,2,False
mike,1140,,,,,blank,blank,2,False
debía,1141,I owed,,I owed,verb,suspicious_verb,suspicious_verb,2,False
ocurrió,1145,he happened; she happened; it happened,,he happened; she happened; it happened,verb,suspicious_verb,suspicious_verb,2,False
siéntate,1155,you seat,,you seat,verb,suspicious_verb,suspicious_verb,2,False
pensado,1156,thought,,thought,verb,suspicious_verb,suspicious_verb,2,False
encontró,1161,he met; she met; it met,,he met; she met; it met,verb,suspicious_verb,suspicious_verb,2,False
viendo,1162,seeing,,seeing,verb,suspicious_verb,suspicious_verb,2,False
parís,1164,you give birth,,you give birth,verb,suspicious_verb,suspicious_verb,2,False
prometo,1168,I promise,,I promise,verb,suspicious_verb,suspicious_verb,2,False
pidió,1169,,,,,blank,blank,2,False
antonio,1170,,,,,blank,blank,2,False
querías,1174,you desired,,you desired,verb,suspicious_verb,suspicious_verb,2,False
trabaja,1175,he works; she works; it works,you work,you work,verb,suspicious_verb,suspicious_verb,2,True
permite,1177,he allows; she allows; it allows,you allow,you allow,verb,suspicious_verb,suspicious_verb,2,True
animales,1180,,you inspire,you inspire,verb,blank,suspicious_verb,2,True
américa,1184,,,,,blank,blank,2,False
creía,1198,I believed,,I believed,verb,suspicious_verb,suspicious_verb,2,False
natural,1203,,native; indigenous,native; indigenous,adj,blank,,2,True
doy,1220,I give,,I give,verb,suspicious_verb,suspicious_verb,2,False
ideas,1224,,you devise,you devise,verb,blank,suspicious_verb,2,True
sucedió,1227,he happened; she happened; it happened,,he happened; she happened; it happened,verb,suspicious_verb,suspicious_verb,2,False
vine,1228,I came,,I came,verb,suspicious_verb,suspicious_verb,2,False
francia,1231,,,,,blank,blank,2,False
creen,1232,they create,they believe,they believe,verb,suspicious_verb,suspicious_verb,2,True
empezó,1236,he started; she started; it started,,he started; she started; it started,verb,suspicious_verb,suspicious_verb,2,False
peter,1245,,,,,blank,blank,2,False
pregunto,1253,I ask,,I ask,verb,suspicious_verb,suspicious_verb,2,False
alegro,1261,I make happy,,I make happy,verb,suspicious_verb,suspicious_verb,2,False
trae,1264,he brings; she brings; it brings,you bring,you bring,verb,suspicious_verb,suspicious_verb,2,True
capital,1279,,,,,blank,blank,2,False
dando,1284,giving,,giving,verb,suspicious_verb,suspicious_verb,2,False
necesitan,1291,they need,,they need,verb,suspicious_verb,suspicious_verb,2,False
hablo,1292,I talk,,I talk,verb,suspicious_verb,suspicious_verb,2,False
tomó,1294,he took; she took; it took,,he took; she took; it took,verb,suspicious_verb,suspicious_verb,2,False
londres,1301,,,,,blank,blank,2,False
crisis,1303,,fit; attack,fit; attack,noun,blank,,2,True
hablamos,1314,we talked,,we talked,verb,suspicious_verb,suspicious_verb,2,False
vuelva,1322,I return,he returns; she returns; it returns,he returns; she returns; it returns,verb,suspicious_verb,suspicious_verb,2,True
solía,1327,I tended to,,I tended to,verb,suspicious_verb,suspicious_verb,2,False
empieza,1334,he starts; she starts; it starts,you start,you start,verb,suspicious_verb,suspicious_verb,2,True
james,1336,,,,,blank,blank,2,False
pesetas,1340,,,,,blank,blank,2,False
b,1342,,,,,blank,blank,2,False
popular,1349,,Pertaining to PP; a Spanish political party,Pertaining to PP; a Spanish political party,adj,blank,,2,True
lee,1355,he reads; she reads; it reads,you read,you read,verb,suspicious_verb,suspicious_verb,2,True
sabías,1358,you knew,,you knew,verb,suspicious_verb,suspicious_verb,2,False
quise,1368,I desired,,I desired,verb,suspicious_verb,suspicious_verb,2,False
local,1376,,rooms; premises,rooms; premises,noun,blank,,2,True
fiscal,1401,,prosecuting,prosecuting,adj,blank,,2,True
corre,1402,he runs; she runs; it runs,you run,you run,verb,suspicious_verb,suspicious_verb,2,True
podamos,1403,we pruned,we are able to,we are able to,verb,suspicious_verb,,2,True
necesitaba,1405,I needed,,I needed,verb,suspicious_verb,suspicious_verb,2,False
comenzó,1412,he began; she began; it began,,he began; she began; it began,verb,suspicious_verb,suspicious_verb,2,False
planes,1413,,,,,blank,blank,2,False
dieron,1414,they gave,,they gave,verb,suspicious_verb,suspicious_verb,2,False
parecen,1416,they seem,,they seem,verb,suspicious_verb,suspicious_verb,2,False
vienes,1428,you come,,you come,verb,suspicious_verb,suspicious_verb,2,False
henry,1434,,,,,blank,blank,2,False
llaman,1435,they summon,,they summon,verb,suspicious_verb,suspicious_verb,2,False
depende,1442,he depends; she depends; it depends,you depend,you depend,verb,suspicious_verb,suspicious_verb,2,True
dejé,1446,I left,,I left,verb,suspicious_verb,suspicious_verb,2,False
civil,1450,,,,,blank,blank,2,False
jugando,1451,playing,,playing,verb,suspicious_verb,suspicious_verb,2,False
francisco,1453,,,,,blank,blank,2,False
entiende,1460,he understands; she understands; it understands,you understand,you understand,verb,suspicious_verb,suspicious_verb,2,True
sociales,1463,,,,,blank,blank,2,False
mary,1472,,,,,blank,blank,2,False
usa,1482,he uses; she uses; it uses,you use,you use,verb,suspicious_verb,suspicious_verb,2,True
escúchame,1486,I listen to,,I listen to,verb,suspicious_verb,suspicious_verb,2,False
llevaba,1490,I took,,I took,verb,suspicious_verb,suspicious_verb,2,False
terminó,1494,he finished; she finished; it finished,,he finished; she finished; it finished,verb,suspicious_verb,suspicious_verb,2,False
barcelona,1496,,,,,blank,blank,2,False
tí,1499,,,,,blank,blank,2,False
preocupa,1505,he worries; she worries; it worries,you worry,you worry,verb,suspicious_verb,suspicious_verb,2,True
intenta,1507,he tries; she tries; it tries,you try,you try,verb,suspicious_verb,suspicious_verb,2,True
vea,1511,I see,he sees; she sees; it sees,he sees; she sees; it sees,verb,suspicious_verb,suspicious_verb,2,True
bill,1517,,,,,blank,blank,2,False
harry,1518,,,,,blank,blank,2,False
sigo,1543,I follow,,I follow,verb,suspicious_verb,suspicious_verb,2,False
pedro,1551,,,,,blank,blank,2,False
sigues,1555,you follow,,you follow,verb,suspicious_verb,suspicious_verb,2,False
material,1572,,,,,blank,blank,2,False
existen,1577,they exist,,they exist,verb,suspicious_verb,suspicious_verb,2,False
llevas,1579,you take,,you take,verb,suspicious_verb,suspicious_verb,2,False
interesa,1582,he interests; she interests; it interests,you interest,you interest,verb,suspicious_verb,suspicious_verb,2,True
cierra,1591,he closes; she closes; it closes,you close,you close,verb,suspicious_verb,suspicious_verb,2,True
animal,1592,,,,,blank,blank,2,False
alegra,1600,he makes happy; she makes happy; it makes happy,you make happy,you make happy,verb,suspicious_verb,suspicious_verb,2,True
vuelvo,1601,I return,,I return,verb,suspicious_verb,suspicious_verb,2,False
tomando,1604,taking,,taking,verb,suspicious_verb,suspicious_verb,2,False
aparece,1609,he appears; she appears; it appears,you appear,you appear,verb,suspicious_verb,suspicious_verb,2,True
sentía,1613,I felt,,I felt,verb,suspicious_verb,suspicious_verb,2,False
bob,1614,,,,,blank,blank,2,False
perdió,1623,he lost; she lost; it lost,,he lost; she lost; it lost,verb,suspicious_verb,suspicious_verb,2,False
perdona,1624,he pardons; she pardons; it pardons,you pardon,you pardon,verb,suspicious_verb,suspicious_verb,2,True
conocí,1632,I knew,,I knew,verb,suspicious_verb,suspicious_verb,2,False
alex,1634,,,,,blank,blank,2,False
etc,1641,,,,,blank,blank,2,False
siguen,1646,they follow,,they follow,verb,suspicious_verb,suspicious_verb,2,False
ia,1649,,,,,blank,blank,2,False
cayó,1651,he fell; she fell; it fell,,he fell; she fell; it fell,verb,suspicious_verb,suspicious_verb,2,False
n,1664,,,,,blank,blank,2,False
pareces,1688,you seem,,you seem,verb,suspicious_verb,suspicious_verb,2,False
pido,1691,I ask for something,,I ask for something,verb,suspicious_verb,suspicious_verb,2,False
turno,1693,,turn,turn,noun,blank,,2,True
escuché,1698,I listened to,,I listened to,verb,suspicious_verb,suspicious_verb,2,False
daniel,1703,,,,,blank,blank,2,False
comienza,1707,he begins; she begins; it begins,you begin,you begin,verb,suspicious_verb,suspicious_verb,2,True
quiso,1708,he desired; she desired; it desired,,he desired; she desired; it desired,verb,suspicious_verb,suspicious_verb,2,False
perdí,1722,I lost,,I lost,verb,suspicious_verb,suspicious_verb,2,False
usando,1723,using,,using,verb,suspicious_verb,suspicious_verb,2,False
recibido,1726,received,,received,verb,suspicious_verb,suspicious_verb,2,False
bromeando,1733,joking,,joking,verb,suspicious_verb,suspicious_verb,2,False
sexual,1735,,,,,blank,blank,2,False
llevado,1736,taken,,taken,verb,suspicious_verb,suspicious_verb,2,False
gonzález,1741,,,,,blank,blank,2,False
llevan,1761,they take,,they take,verb,suspicious_verb,suspicious_verb,2,False
washington,1770,,,,,blank,blank,2,False
corriendo,1786,running,,running,verb,suspicious_verb,suspicious_verb,2,False
sentí,1787,I felt,you feel,you feel,verb,suspicious_verb,suspicious_verb,2,True
déjalo,1788,you leave,,you leave,verb,suspicious_verb,suspicious_verb,2,False
muere,1791,he dies; she dies; it dies,you die,you die,verb,suspicious_verb,suspicious_verb,2,True
desea,1793,he wishes; she wishes; it wishes,you wish,you wish,verb,suspicious_verb,suspicious_verb,2,True
richard,1797,,,,,blank,blank,2,False
p,1799,,,,,blank,blank,2,False
inglaterra,1800,,,,,blank,blank,2,False
come,1805,he eats; she eats; it eats,you eat,you eat,verb,suspicious_verb,suspicious_verb,2,True
garcía,1809,,,,,blank,blank,2,False
manuel,1812,,,,,blank,blank,2,False
conocía,1814,I knew,,I knew,verb,suspicious_verb,suspicious_verb,2,False
taxi,1820,,,,,blank,blank,2,False
habló,1821,he talked; she talked; it talked,,he talked; she talked; it talked,verb,suspicious_verb,suspicious_verb,2,False
robert,1822,,,,,blank,blank,2,False
debió,1826,he owed; she owed; it owed,,he owed; she owed; it owed,verb,suspicious_verb,suspicious_verb,2,False
entró,1831,he entered; she entered; it entered,,he entered; she entered; it entered,verb,suspicious_verb,suspicious_verb,2,False
preguntó,1840,he asked; she asked; it asked,,he asked; she asked; it asked,verb,suspicious_verb,suspicious_verb,2,False
fbi,1844,,,,,blank,blank,2,False
prefiero,1845,I prefer,,I prefer,verb,suspicious_verb,suspicious_verb,2,False
encontraron,1847,they met,,they met,verb,suspicious_verb,suspicious_verb,2,False
veía,1850,I saw,,I saw,verb,suspicious_verb,suspicious_verb,2,False
llegamos,1853,we arrived,,we arrived,verb,suspicious_verb,suspicious_verb,2,False
jane,1856,,,,,blank,blank,2,False
gustaba,1863,I tasted,,I tasted,verb,suspicious_verb,suspicious_verb,2,False
internet,1872,,,,,blank,blank,2,False
encuentran,1894,they meet,,they meet,verb,suspicious_verb,suspicious_verb,2,False
original,1913,,,,,blank,blank,2,False
termina,1918,he finishes; she finishes; it finishes,you finish,you finish,verb,suspicious_verb,suspicious_verb,2,True
alcohol,1920,,galena,galena,noun,blank,,2,True
ayúdame,1923,I help,,I help,verb,suspicious_verb,suspicious_verb,2,False
intereses,1933,,I interest,I interest,noun,blank,,2,True
llame,1941,I summon,he summons; she summons; it summons,he summons; she summons; it summons,verb,suspicious_verb,suspicious_verb,2,True
alemania,1942,,,,,blank,blank,2,False
pensó,1953,he thought; she thought; it thought,,he thought; she thought; it thought,verb,suspicious_verb,suspicious_verb,2,False
presenta,1967,he presents; she presents; it presents,you present,you present,verb,suspicious_verb,suspicious_verb,2,True
viviendo,1973,living,,living,verb,suspicious_verb,suspicious_verb,2,False
mark,1980,,,,,blank,blank,2,False
cálmate,1982,you calm,,you calm,verb,suspicious_verb,suspicious_verb,2,False
gas,1987,,,,,blank,blank,2,False
sube,1991,he raises; she raises; it raises,you raise,you raise,verb,suspicious_verb,suspicious_verb,2,True
vengan,1994,they avenge,they come,they come,verb,suspicious_verb,suspicious_verb,2,True
envió,1995,he sent; she sent; it sent,,he sent; she sent; it sent,verb,suspicious_verb,suspicious_verb,2,False
inspector,2004,,,,,blank,blank,2,False
pide,2008,he asks for something; she asks for something; it asks for something,you ask for something,you ask for something,verb,"long,suspicious_verb",suspicious_verb,2,True
vengo,2009,I avenge,I come,I come,verb,suspicious_verb,suspicious_verb,2,True
dé,2017,I give,he gives; she gives; it gives,he gives; she gives; it gives,verb,suspicious_verb,suspicious_verb,2,True
pareció,2018,he seemed; she seemed; it seemed,,he seemed; she seemed; it seemed,verb,suspicious_verb,suspicious_verb,2,False
pedí,2021,I asked for something,you ask for something,you ask for something,verb,suspicious_verb,suspicious_verb,2,True
puse,2023,I put,,I put,verb,suspicious_verb,suspicious_verb,2,False
merece,2025,he deserves; she deserves; it deserves,you deserve,you deserve,verb,suspicious_verb,suspicious_verb,2,True
detente,2040,,détente,détente,noun,blank,,2,True
llegaron,2042,they arrived,,they arrived,verb,suspicious_verb,suspicious_verb,2,False
cambia,2046,he changes; she changes; it changes,you change,you change,verb,suspicious_verb,suspicious_verb,2,True
trajo,2051,he brought; she brought; it brought,,he brought; she brought; it brought,verb,suspicious_verb,suspicious_verb,2,False
llegué,2074,I arrived,,I arrived,verb,suspicious_verb,suspicious_verb,2,False
legal,2079,,statutory,statutory,adj,blank,,2,True
siga,2080,I follow,he follows; she follows; it follows,he follows; she follows; it follows,verb,suspicious_verb,suspicious_verb,2,True
hablaba,2089,I talked,,I talked,verb,suspicious_verb,suspicious_verb,2,False
mírame,2098,I look at,,I look at,verb,suspicious_verb,suspicious_verb,2,False
federal,2104,,Amblyramphus holosericeus; the scarlet-headed blackbird,Amblyramphus holosericeus; the scarlet-headed blackbird,noun,blank,,2,True
llamaba,2105,I summoned,,I summoned,verb,suspicious_verb,suspicious_verb,2,False
supe,2109,I knew,,I knew,verb,suspicious_verb,suspicious_verb,2,False
déjeme,2119,I leave,,I leave,verb,suspicious_verb,suspicious_verb,2,False
debí,2120,I owed,,I owed,verb,suspicious_verb,suspicious_verb,2,False
considera,2122,he considers; she considers; it considers,you consider,you consider,verb,suspicious_verb,suspicious_verb,2,True
martin,2128,,,,,blank,blank,2,False
recibió,2130,he received; she received; it received,,he received; she received; it received,verb,suspicious_verb,suspicious_verb,2,False
contó,2143,he counted; she counted; it counted,,he counted; she counted; it counted,verb,suspicious_verb,suspicious_verb,2,False
escribió,2145,he wrote; she wrote; it wrote,,he wrote; she wrote; it wrote,verb,suspicious_verb,suspicious_verb,2,False
moral,2147,,morals; standard,morals; standard,noun,blank,,2,True
tv,2149,,,,,blank,blank,2,False
pertenece,2155,he belongs; she belongs; it belongs,you belong,you belong,verb,suspicious_verb,suspicious_verb,2,True
estan,2158,,,,,blank,blank,2,False
ponga,2162,I put,he puts; she puts; it puts,he puts; she puts; it puts,verb,suspicious_verb,suspicious_verb,2,True
trataba,2165,I treated,,I treated,verb,suspicious_verb,suspicious_verb,2,False
decidió,2170,he decided; she decided; it decided,,he decided; she decided; it decided,verb,suspicious_verb,suspicious_verb,2,False
venía,2171,I came,,I came,verb,suspicious_verb,suspicious_verb,2,False
errores,2174,,,,,blank,blank,2,False
produce,2178,he produces; she produces; it produces,,he produces; she produces; it produces,verb,suspicious_verb,suspicious_verb,2,False
leo,2180,,I read,I read,verb,blank,suspicious_verb,2,True
adn,2186,,,,,blank,blank,2,False
g,2193,,,,,blank,blank,2,False
regresa,2195,he returns; she returns; it returns,you return,you return,verb,suspicious_verb,suspicious_verb,2,True
italia,2198,,,,,blank,blank,2,False
uds.,2202,,,,,blank,blank,2,False
