lemma,rank,pos,translation,sentence,token_count,quality_flags,support_words,support_rank_max,support_rank_avg,pattern_ready
dónde,111,adv,where?,Dónde encuentras ayuda?,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,encuentras ayuda,422,380.00,false
dónde,111,adv,where?,Dónde guardas las llaves?,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,guardas las llaves,2976,1448.33,false
dónde,111,adv,where?,Dónde están mis gafas?,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,están mis gafas,4042,1365.00,false
dónde,111,adv,where?,Dónde sale el sol?,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,sale el sol,715,335.67,false
dónde,111,adv,where?,Dónde encuentro agua?,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,encuentro agua,422,363.00,false
dónde,111,adv,where?,Dónde dejas tus cosas?,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate,dejas tus cosas,366,178.00,false
poco,130,adv,little; not much,Tengo poco dinero.,3,grammatical_ok=1|natural_ok=1|learner_clear_ok=1|notes=teacher_candidate|rejection_reasons=teacher_candidate,tengo dinero,182,120.50,false
poco,130,adv,little; not much,Comí poco hoy.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,comí hoy,538,362.50,false
poco,130,adv,little; not much,Es una casa poco grande.,5,grammatical_ok=1|natural_ok=1|learner_clear_ok=1|notes=teacher_candidate|rejection_reasons=teacher_candidate,es una casa grande,171,70.25,false
poco,130,adv,little; not much,Hay poco tiempo.,3,grammatical_ok=1|natural_ok=1|learner_clear_ok=1|notes=teacher_candidate|rejection_reasons=teacher_candidate,hay tiempo,86,62.50,false
poco,130,adv,little; not much,Poco gente viene.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,gente viene,407,281.50,false
poco,130,adv,little; not much,Habla poco español.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,habla español,1105,639.00,false
poco,130,adv,little; not much,Necesito poco ayuda.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate,necesito ayuda,338,286.00,false
poco,130,adv,little; not much,Veo poco la tele.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,veo la tele,3430,1184.00,false
poco,130,adv,little; not much,Ella canta poco.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ella canta,1878,944.50,false
poco,130,adv,little; not much,Hay poco espacio.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,hay espacio,747,393.00,false
poco,130,adv,little; not much,No tengo poco sueño.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,tengo sueño,708,383.50,false
poco,130,adv,little; not much,Es un libro poco interesante.,5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,es un libro interesante,966,380.00,false
poco,130,adv,little; not much,Bebo poco café.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,bebo café,1243,951.50,false
poco,130,adv,little; not much,Llegué poco tarde.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate,llegué tarde,374,303.50,false
poco,130,adv,little; not much,Poco personas conocen.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,personas conocen,566,416.50,false
poco,130,adv,little; not much,Es una fiesta poco animada.,5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,es una fiesta animada,10579,2771.50,false
poco,130,adv,little; not much,Hay poco ruido.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,hay ruido,1585,812.00,false
poco,130,adv,little; not much,Poco luz entra.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,luz entra,478,471.50,false
poco,130,adv,little; not much,Es un día poco soleado.,5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,es un día soleado,14905,3762.75,false
poco,130,adv,little; not much,Poco gente entiende.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate,gente entiende,390,273.00,false
menos,167,adv,less; fewer,Tengo menos libros que tú.,5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,tengo libros que tú,535,154.50,false
menos,167,adv,less; fewer,Compro menos café esta semana.,5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,compro café esta semana,909,482.50,false
menos,167,adv,less; fewer,Hay menos gente en la fiesta.,6,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,hay gente en la fiesta,488,138.80,false
menos,167,adv,less; fewer,Veo menos televisión por la noche.,6,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,veo televisión por la noche,1041,263.60,false
menos,167,adv,less; fewer,Tomamos menos azúcar en el té.,6,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,tomamos azúcar en el té,2254,806.20,false
menos,167,adv,less; fewer,Ella canta menos canciones ahora.,5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ella canta canciones ahora,1878,735.00,false
menos,167,adv,less; fewer,Ellos gastan menos dinero hoy.,5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ellos gastan dinero hoy,5570,1487.50,false
menos,167,adv,less; fewer,Él duerme menos horas de lo normal.,7,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,él duerme horas de lo normal,849,289.00,false
menos,167,adv,less; fewer,Nosotros comemos menos carne.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,nosotros comemos carne,958,504.67,false
menos,167,adv,less; fewer,Ella estudia menos tiempo.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ella estudia tiempo,2191,762.67,false
menos,167,adv,less; fewer,Ellos trabajan menos días a la semana.,7,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ellos trabajan días a la semana,460,153.83,false
menos,167,adv,less; fewer,Yo como menos pizza que antes.,6,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,yo como que antes,126,44.00,false
menos,167,adv,less; fewer,Tú tienes menos amigos en redes sociales.,7,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,tú tienes amigos en redes sociales,1313,382.33,false
menos,167,adv,less; fewer,Ellos usan menos ropa en verano.,6,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ellos usan ropa en verano,1221,541.20,false
menos,167,adv,less; fewer,Ella lee menos libros este mes.,6,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ella lee libros este mes,1210,441.60,false
menos,167,adv,less; fewer,Ellos corren menos kilómetros.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ellos corren kilómetros,1643,1018.67,false
menos,167,adv,less; fewer,Yo bebo menos agua.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,yo bebo agua,1243,521.67,false
menos,167,adv,less; fewer,Tú comes menos frutas.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,tú comes frutas,4595,1718.33,false
menos,167,adv,less; fewer,Ellos van menos veces al cine.,6,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ellos van veces al cine,1016,234.60,false
menos,167,adv,less; fewer,Yo duermo menos en los fines de semana.,8,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,yo duermo en los fines de semana,618,182.86,false
fuera,170,adv,outside,Fuera hace frío.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=unlinked_finite_verbs|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; unlinked_finite_verbs; support_vocabulary_too_rare,hace frío,1047,559.00,false
fuera,170,adv,outside,No salgas fuera.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=unlinked_finite_verbs|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; unlinked_finite_verbs,salgas,286,286.00,false
fuera,170,adv,outside,Está nevando fuera.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=unlinked_finite_verbs|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; unlinked_finite_verbs; support_vocabulary_too_rare,está nevando,22219,11122.50,false
fuera,170,adv,outside,Espera fuera por favor.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=unlinked_finite_verbs|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; unlinked_finite_verbs,espera por favor,203,109.67,false
fuera,170,adv,outside,Lleva un abrigo si vas fuera.,6,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=unlinked_finite_verbs|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; unlinked_finite_verbs; support_vocabulary_too_rare; too_many_verbs,lleva un abrigo si vas,2927,720.00,false
fuera,170,adv,outside,El perro está jugando fuera.,5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=unlinked_finite_verbs|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; unlinked_finite_verbs; support_vocabulary_too_rare,el perro está jugando,703,353.75,false
fuera,170,adv,outside,No dejes la puerta abierta fuera.,6,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,dejes la puerta abierta,1089,444.00,false
fuera,170,adv,outside,Hay mucho ruido fuera.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,hay mucho ruido,1585,555.67,false
fuera,170,adv,outside,"Escucha música dentro, no fuera.",5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,escucha música dentro,516,422.33,false
fuera,170,adv,outside,Mira el cielo azul fuera.,5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,mira el cielo azul,1252,520.25,false
fuera,170,adv,outside,Veo gente corriendo fuera.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,veo gente corriendo,1402,559.00,false
fuera,170,adv,outside,"No fumes aquí, ve fuera.",5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=unlinked_finite_verbs|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; unlinked_finite_verbs; support_vocabulary_too_rare; too_many_verbs,fumes aquí ve,2926,1027.00,false
fuera,170,adv,outside,Canta una canción mientras estás fuera.,6,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=unlinked_finite_verbs|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; unlinked_finite_verbs; support_vocabulary_too_rare; too_many_verbs,canta una canción mientras estás,1878,632.20,false
fuera,170,adv,outside,Observa las estrellas desde fuera.,5,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,observa las estrellas desde,3907,1336.25,false
fuera,170,adv,outside,Cierra los ojos y respira aire fresco fuera.,8,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare; too_many_verbs,cierra los ojos y respira aire fresco,3018,1201.71,false
fuera,170,adv,outside,Juega al fútbol con tus amigos fuera.,7,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,juega al fútbol con tus amigos,1447,403.00,false
fuera,170,adv,outside,"Trae la bicicleta adentro, no la dejes fuera.",8,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=unlinked_finite_verbs|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; unlinked_finite_verbs; support_vocabulary_too_rare; too_many_verbs,trae la bicicleta adentro la dejes,3752,1102.33,false
fuera,170,adv,outside,"El gato se sienta en el balcón, fuera.",8,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,el gato se sienta en el balcón,6447,1195.14,false
fuera,170,adv,outside,"No tires la basura aquí, lleva fuera.",7,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=unlinked_finite_verbs|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; unlinked_finite_verbs; support_vocabulary_too_rare,la basura aquí lleva,1142,441.75,false
fuera,170,adv,outside,"Pasa tiempo bajo el sol, fuera.",6,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,pasa tiempo bajo el sol,715,261.20,false
tanto,193,adv,so much,Tengo tanto trabajo.,3,grammatical_ok=1|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=not_natural; not_learner_clear; teacher_candidate,tengo trabajo,144,101.50,false
tanto,193,adv,so much,Compré tanto pan.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,compré pan,1393,1151.00,false
tanto,193,adv,so much,No quiero tanto azúcar.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,quiero azúcar,2254,1165.00,false
tanto,193,adv,so much,Hay tanto ruido afuera.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,hay ruido afuera,1585,779.33,false
tanto,193,adv,so much,Ella come tanto chocolate.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ella come chocolate,2490,1013.00,false
tanto,193,adv,so much,Veo tanto en televisión.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,veo en televisión,1041,389.33,false
tanto,193,adv,so much,Escuchamos tanto música.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,escuchamos música,516,491.50,false
tanto,193,adv,so much,Necesito tanto descanso.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,necesito descanso,1865,1049.50,false
tanto,193,adv,so much,Tenemos tanto que hacer.,4,grammatical_ok=1|natural_ok=1|learner_clear_ok=1|notes=teacher_candidate|rejection_reasons=teacher_candidate,tenemos que hacer,71,44.00,false
tanto,193,adv,so much,Él gasta tanto dinero.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,él gasta dinero,5570,1921.00,false
tanto,193,adv,so much,No tengo tanto tiempo.,4,grammatical_ok=1|natural_ok=1|learner_clear_ok=1|notes=teacher_candidate|rejection_reasons=teacher_candidate,tengo tiempo,86,72.50,false
tanto,193,adv,so much,Ella lee tanto libros.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ella lee libros,1210,585.33,false
tanto,193,adv,so much,Hay tanto gente aquí.,4,grammatical_ok=1|natural_ok=0|learner_clear_ok=1|notes=teacher_candidate|rejection_reasons=not_natural; teacher_candidate,hay gente aquí,156,77.00,false
tanto,193,adv,so much,Quiero tanto viajar.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,quiero viajar,2668,1372.00,false
tanto,193,adv,so much,Tengo tanto hambre.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,tengo hambre,916,487.50,false
tanto,193,adv,so much,Ellos gastan tanto agua.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ellos gastan agua,5570,1961.67,false
tanto,193,adv,so much,No hay tanto espacio.,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,hay espacio,747,393.00,false
tanto,193,adv,so much,Ella canta tanto.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,ella canta,1878,944.50,false
tanto,193,adv,so much,Tengo tanto sueño.,3,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,tengo sueño,708,383.50,false
tanto,193,adv,so much,No necesitamos tanto.,3,grammatical_ok=1|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=not_natural; not_learner_clear; teacher_candidate,necesitamos,234,234.00,false
