lemma,rank,translation,pos
solo,99,only; alone,Adverb
nunca,100,never,Adverb
años,101,year,Noun
hace,102,ago (Note,Preposition
va,103,he goes; she goes; it goes,Verb
hola,104,hi; hey; hello,interjection
mucho,105,much; a lot,Adverb
quién,106,who; whom,Pronoun
mejor,107,better,Adjective
vida,108,life,Noun
decir,109,to say,Verb
mí,110,,
dónde,111,where,Adverb
ni,112,nor; neither,Conjunction
están,113,they are,Verb
favor,114,favour,Noun
señor,115,sir; lord; mister,Noun
hombre,116,man,Noun
oh,117,,
siempre,118,always,Adverb
ver,119,to see,Verb
uno,120,one,Number
quieres,121,you want,Verb
siento,122,I feel,Verb
había,123,there was; there were,Verb
dios,124,god,Noun
has,125,you have,Verb
antes,126,before; earlier,Adverb
día,127,day,Noun
desde,128,from; since,Preposition
tenemos,129,we have,Verb
poco,130,little; not much,Adverb
cosas,131,thing,Noun
ti,132,you,Pronoun
otra,133,other; another,Determiner
mismo,134,self,Adjective
han,135,they have,Verb
hecho,136,done; completed,Adjective
alguien,137,someone; somebody,Pronoun
puedes,138,you are able to,Verb
ahí,139,there,Adverb
dijo,140,he said; she said; it said,Verb
estar,141,to be,Verb
entre,142,between; among,Preposition
noche,143,night,Noun
trabajo,144,job; work,Noun
ir,145,to go,Verb
después,146,after; later,Adverb
mis,147,my,Determiner
sea,148,I am,Verb
acuerdo,149,agreement,Noun
otro,150,other; another,Determiner
parece,151,you seem,Verb
donde,152,where,Conjunction
ellos,153,they; them,Pronoun
estamos,154,we are,Verb
mundo,155,world; earth,Noun
gente,156,people,Noun
nosotros,157,we; us,Pronoun
padre,158,father,Noun
estado,159,land; country,Noun
nadie,160,nobody; no one,Pronoun
tal,161,such,Adjective
les,162,them,Pronoun
parte,163,part; share; section; portion,Noun
sido,164,been,Verb
momento,165,moment; instant,Noun
podría,166,I would be able to,Verb
menos,167,less,Adverb
mira,168,target,Noun
quiere,169,you want,Verb
fuera,170,outside,Adverb
gran,171,big; large,Adjective
lugar,172,place,Noun
hablar,173,to talk,Verb
tener,174,to have,Verb
tenía,175,I had,Verb
tres,176,three,Number
nuevo,177,new,Adjective
pasa,178,it happens,Noun
vas,179,you go,Verb
cada,180,each; every,Determiner
claro,181,clear; easily understood,Adjective
dinero,182,money,Noun
madre,183,mother,Noun
mañana,184,tomorrow,Adverb
sr.,185,,
tipo,186,kind; type; sort; manner,Noun
hoy,187,today,Adverb
días,188,day,Noun
luego,189,then,Adverb
allí,190,there; over there,Adverb
mujer,191,woman,Noun
nuestro,192,our,Determiner
tanto,193,so much; so many,Adverb
cosa,194,thing,Noun
sabe,195,you know,Verb
todas,196,all,Pronoun
haciendo,197,doing,Verb
hijo,198,son,Noun
dice,199,he says; she says; it says,Verb
seguro,200,safe; secure,Adjective
podemos,201,we are able to,Verb
debe,202,you owe,Verb
espera,203,wait,Noun
vale,204,OK; it's worth it,interjection
será,205,he will be; she will be; it will be,Verb
estas,206,these,Determiner
toda,207,all; every,Determiner
haber,208,to have,Verb
tus,209,your,Determiner
amigo,210,friend,Noun
nuestra,211,our,Determiner
buena,212,good,Adjective
aún,213,still; yet,Adverb
quien,214,who,Pronoun
estos,215,these,Determiner
nombre,216,name,Noun
tienen,217,they have,Verb
veces,218,by; times,Preposition
mamá,219,mum; mom,Noun
mal,220,badly; poorly,Adverb
buen,221,good,Adjective
durante,222,during,Preposition
papá,223,dad,Noun
quería,224,I desired,Verb
dije,225,adorns; locket,Noun
unos,226,some,Article
pasado,227,past,Adjective
forma,228,form; shape; figure,Noun
gusta,229,you taste,Verb
hizo,230,he did; she did; it did,Verb
caso,231,case,Noun
contra,232,against,Preposition
tarde,233,late,Adjective
necesito,234,I need,Verb
oye,235,hey! listen!,interjection
alguna,236,some; any,Determiner
hemos,237,heme,Noun
cuenta,238,count; tally,Noun
visto,239,seen,Adjective
conmigo,240,with me,Adverb
mientras,241,while; meanwhile,Conjunction
otros,242,other; another,Determiner
realmente,243,really; actually; genuinely,Adverb
hora,244,hour,Noun
problema,245,issue; problem; challenge,Noun
crees,246,you believe,Verb
año,247,year,Noun
razón,248,reason,Noun
primera,249,first gear,Noun
cierto,250,true,Adjective
saber,251,to know,Verb
dicho,252,said; mentioned; aforementioned,Adjective
hacerlo,253,to do,Verb
mierda,254,shit,Noun
pues,255,well; so; since,Conjunction
idea,256,he devises; she devises; it devises,Verb
mío,257,mine; of mine,Pronoun
e,258,and,Conjunction
aunque,259,although; even though,Conjunction
familia,260,family,Noun
hacia,261,toward; towards,Preposition
amor,262,love,Noun
esos,263,those,Determiner
pueden,264,they are able to,Verb
importa,265,you matter,Verb
todavía,266,still; yet,Adverb
personas,267,person,Noun
policía,268,polity; police; Civility; public order,Noun
casi,269,almost; nearly,Adverb
contigo,270,with you,Adverb
cualquier,271,anyone; whoever; whomever,Determiner
demasiado,272,too; too much,Adverb
ven,273,they see,Verb
serio,274,sober; solemn; serious; earnest,Adjective
algún,275,some; any,Determiner
ve,276,v,Noun
nueva,277,news; novelty,Noun
eh,278,hey!,interjection
lado,279,side,Noun
manera,280,way; style; manner; method,Noun
cabeza,281,head,Noun
hombres,282,man,Noun
historia,283,history,Noun
dentro,284,inside,Adverb
sería,285,I would be,Verb
salir,286,to go out,Verb
debería,287,I would owe,Verb
van,288,they go,Verb
ciudad,289,city,Noun
ustedes,290,you all,Pronoun
muchas,291,much; a lot of,Determiner
poder,292,to be able to,Verb
algunos,293,some,Determiner
amigos,294,friend,Noun
chica,295,female equivalent of chico: girl,Noun
mayor,296,big; large,Adjective
sabía,297,I knew,Verb
chicos,298,small,Adjective
hermano,299,brother,Noun
esas,300,those,Determiner
primer,301,first,Adjective
país,302,country,Noun
vaya,303,expresses surprise,interjection
agua,304,water,Noun
misma,305,self,Adjective
veo,306,I see,Verb
haces,307,bundle,Noun
camino,308,way; route,Noun
persona,309,person,Noun
iba,310,I went,Verb
realidad,311,reality,Noun
fin,312,end,Noun
importante,313,important; that cares; that matters,Adjective
primero,314,first,Adjective
digo,315,I mean,interjection
horas,316,hour,Noun
semana,317,week,Noun
puerta,318,door,Noun
somos,319,we are,Verb
pensé,320,I thought,Verb
bajo,321,under; below,Preposition
muerte,322,death,Noun
problemas,323,issue; problem; challenge,Noun
punto,324,point,Noun
ah,325,,
pasó,326,he passed; she passed; it passed,Verb
quizá,327,maybe; perhaps,Adverb
buenas,328,hi; hello,interjection
supuesto,329,alleged; supposed; self-styled,Adjective
cuatro,330,four,Number
da,331,you give,Verb
mano,332,hand,Noun
niños,333,,
volver,334,to return,Verb
además,335,further; moreover; furthermore; in addition,Adverb
señora,336,lady,Noun
cariño,337,fondness; affection,Noun
ayuda,338,aid; help,Noun
ojos,339,eye,Noun
cinco,340,five,Number
pasar,341,to pass,Verb
general,342,overall,Adjective
pronto,343,soon; quickly,Adverb
debo,344,I owe,Verb
minutos,345,minute,Noun
sino,346,but rather; but instead,Conjunction
gobierno,347,government,Noun
manos,348,hand,Noun
presidente,349,president,Noun
muerto,350,dead,Adjective
muchos,351,much; a lot of,Determiner
chico,352,small,Adjective
guerra,353,war; warfare,Noun
hice,354,I did,Verb
incluso,355,enclosed; included,Adjective
medio,356,half,Adjective
cuál,357,which; what,Pronoun
hablando,358,talking,Verb
adiós,359,goodbye; farewell,interjection
siquiera,360,at least; at the least,Adverb
genial,361,pleasant,Adjective
fueron,362,they went,Verb
ello,363,id,Noun
rápido,364,fast; rapid; quick,Adjective
equipo,365,team,Noun
dejar,366,to leave,Verb
significa,367,you signify,Verb
jefe,368,head; chief; president; leader of a business,Noun
millones,369,million,Noun
suerte,370,luck; fortune,Noun
otras,371,other; another,Determiner
ayer,372,yesterday,Adverb
cuerpo,373,body,Noun
llegar,374,to arrive,Verb
mujeres,375,woman,Noun
posible,376,possible,Adjective
según,377,according to,Preposition
nuestros,378,our,Determiner
quizás,379,maybe; perhaps,Adverb
tierra,380,land; ground,Noun
único,381,only; sole; single,Adjective
hija,382,daughter; female equivalent of hijo,Noun
ninguna,383,no; none,Determiner
final,384,end,Noun
cara,385,face,Noun
niño,386,boy; child,Noun
supongo,387,I suppose,Verb
juntos,388,together,Adjective
algunas,389,some,Determiner
entiendo,390,I understand,Verb
número,391,number,Noun
ningún,392,no; none,Determiner
deja,393,rest,Noun
ves,394,v,Noun
tío,395,uncle,Noun
cerca,396,near; nigh; close; around,Adverb
corazón,397,heart,Noun
miedo,398,fear,Noun
buenos,399,good,Adjective
eran,400,they were,Verb
haya,401,there be,Verb
hubiera,402,I had,Verb
feliz,403,happy; merry,Adjective
unas,404,some,Article
espero,405,I hope,Verb
igual,406,same; equal,Adjective
viene,407,he comes; she comes; it comes,Verb
meses,408,month,Noun
sigue,409,you follow,Verb
dar,410,to give,Verb
podía,411,I was able to,Verb
última,412,last; final,Adjective
difícil,413,hard; tough; difficult; challenging,Adjective
os,414,you all; yourselves,Pronoun
venir,415,to come,Verb
vi,416,I saw,Verb
viejo,417,old,Adjective
bastante,418,enough; quite; rather,Adverb
tomar,419,to take,Verb
gustaría,420,I would taste,Verb
cuánto,421,how much; how many,Pronoun
encontrar,422,to meet,Verb
adelante,423,forward,Adverb
justo,424,just; right,Adverb
sentido,425,heartfelt; deeply felt,Adjective
esposa,426,wife,Noun
segundo,427,second,Adjective
grande,428,big; large,Adjective
allá,429,over there; there,Adverb
clase,430,lecture,Noun
cual,431,as; like; in the manner of,Adverb
ante,432,before; in front of,Preposition
juego,433,play,Noun
tenido,434,had,Verb
pensar,435,to think,Verb
pueda,436,I am able to,Verb
hey,437,hey!,interjection
doctor,438,physician,Noun
grupo,439,group,Noun
cuidado,440,watch out!,interjection
suficiente,441,enough; sufficient,Adjective
sangre,442,blood,Noun
pequeño,443,small; little,Adjective
dijiste,444,you said,Verb
trata,445,trade; trafficking; slave trade,Noun
haré,446,I will do,Verb
último,447,last; final,Adjective
frente,448,brow; forehead,Noun
grandes,449,big; large,Adjective
venga,450,come on; come here,interjection
llama,451,flame,Noun
noches,452,night,Noun
toma,453,taking; capture; conquest; takeover,Noun
necesita,454,you need,Verb
debes,455,you owe,Verb
arriba,456,over; above,Adverb
vuelta,457,turn,Noun
coche,458,car; automobile,Noun
tampoco,459,neither; not either,Adverb
trabajar,460,to work,Verb
cuándo,461,when,Adverb
fuerte,462,strong,Adjective
seguridad,463,safety; security,Noun
mas,464,but,Conjunction
entrar,465,to enter,Verb
vivir,466,to live,Verb
escucha,467,listening,Noun
déjame,468,I leave,Verb
pueblo,469,town; village,Noun
hijos,470,son,Noun
joven,471,young; youthful,Adjective
cuanto,472,as much; however much; whatever quantity,Pronoun
hago,473,I do,Verb
escuela,474,school,Noun
tras,475,after; behind,Preposition
cree,476,he creates; she creates; it creates,Verb
cambio,477,shift; change,Noun
luz,478,light,Noun
oportunidad,479,timeliness,Noun
fui,480,I went,Verb
sistema,481,system,Noun
embargo,482,distraint,Noun
teléfono,483,telephone,Noun
dices,484,you say,Verb
seis,485,six,Number
alto,486,tall,Adjective
habla,487,speech,Noun
fiesta,488,party,Noun
loco,489,mad; nuts; crazy; insane,Adjective
atrás,490,behind,Adverb
debemos,491,we owe,Verb
pregunta,492,question,Noun
hacen,493,they do,Verb
seguir,494,to follow,Verb
quieren,495,they want,Verb
dio,496,he gave; she gave; it gave,Verb
paso,497,dried,Adjective
falta,498,lack; shortage,Noun
fácil,499,easy; facile; simple,Adjective
ido,500,nuts; cuckoo; bonkers,Adjective
padres,501,father,Adjective
vino,502,wine,Noun
hiciste,503,you did,Verb
estaban,504,they were,Verb
situación,505,picture; scenario; situation,Noun
abajo,506,down; downwards,Adverb
única,507,only; sole; single,Adjective
siendo,508,being,Verb
modo,509,way; manner,Noun
información,510,information,Noun
dólares,511,dollar,Noun
esté,512,I am,Verb
hermana,513,sister; female equivalent of hermano,Noun
tuvo,514,he had; she had; it had,Verb
dado,515,a die or dice,Noun
música,516,music,Noun
paz,517,peace,Noun
culpa,518,fault,Noun
queda,519,curfew,Noun
real,520,royal; regal,Adjective
auto,521,car; automobile,Noun
palabra,522,word,Noun
deberías,523,you would owe,Verb
sola,524,one; sole; only; single,Adjective
derecho,525,straight,Adjective
lista,526,list; roll,Noun
partido,527,broken,Adjective
orden,528,order,Noun
exactamente,529,exactly,Adverb
nacional,530,national; nationwide,Adjective
listo,531,smart; clever,Adjective
comida,532,food,Noun
necesitamos,533,we needed,Verb
habría,534,there would be,Verb
libro,535,book,Noun
capitán,536,captain,Noun
diciendo,537,saying,Verb
comer,538,to eat,Verb
sabemos,539,we know,Verb
lejos,540,far,Adverb
pasando,541,passing,Verb
morir,542,to die,Verb
haga,543,I do,Verb
puesto,544,job; position; employment,Noun
calle,545,street,Noun
dicen,546,they say,Verb
estabas,547,you were,Verb
par,548,even,Adjective
política,549,politics,Noun
malo,550,bad,Adjective
habitación,551,room,Noun
probablemente,552,likely; probably,Adverb
estuvo,553,he was; she was; it was,Verb
éste,554,this one,Pronoun
plan,555,scheme,Noun
especial,556,special,Adjective
palabras,557,word,Noun
pequeña,558,small; little,Adjective
ok,559,,
creer,560,to believe,Verb
relación,561,relation,Noun
chicas,562,small,Adjective
ley,563,law,Noun
bebé,564,baby,Noun
pensando,565,thinking,Verb
conozco,566,I know,Verb
simplemente,567,simply,Adverb
acerca,568,he brings close; she brings close; it brings close,Verb
diez,569,ten,Number
esperar,570,to wait,Verb
través,571,,
tuve,572,I had,Verb
centro,573,center,Noun
largo,574,long,Adjective
buscando,575,seeking,Verb
cama,576,bed,Noun
nuestras,577,our,Determiner
recuerdo,578,memory,Noun
rey,579,king,Noun
españa,580,,
voz,581,voice,Noun
demás,582,other; remaining,Adjective
sra.,583,,
saben,584,they know,Verb
mil,585,one thousand,Number
lleva,586,you take,Verb
tenga,587,I have,Verb
necesitas,588,you need,Verb
conseguir,589,to achieve,Verb
amo,590,master,Noun
propia,591,own,Adjective
propio,592,own,Adjective
sitio,593,site; place,Noun
resto,594,rest; remainder,Noun
oficina,595,office,Noun
libre,596,free,Adjective
segura,597,safe; secure,Adjective
peor,598,comparative degree of malo: worse,Adjective
estará,599,he will be; she will be; it will be,Verb
poner,600,to put,Verb
fuerza,601,force,Noun
marido,602,husband,Noun
arma,603,arm; weapon,Noun
puta,604,slut; whore; prostitute,Noun
oído,605,hearing,Noun
llevar,606,to take,Verb
podrías,607,you would be able to,Verb
ejemplo,608,example,Noun
mucha,609,much; a lot of,Determiner
control,610,or running of a business,Noun
esperando,611,hoping,Verb
atención,612,attention,Noun
don,613,gift; present,Noun
fuego,614,fire,Noun
llamado,615,call,Noun
madrid,616,,
viaje,617,voyage,Noun
dormir,618,to sleep,Verb
cuarto,619,fourth,Adjective
dr.,620,,
siguiente,621,following,Adjective
matar,622,to kill,Verb
habían,623,they had,Verb
hagas,624,you do,Verb
ambos,625,both,Adjective
habrá,626,there will be,Verb
perdido,627,lost,Adjective
prueba,628,proof; evidence,Noun
futuro,629,future,Adjective
campo,630,country; countryside,Noun
deben,631,they owe,Verb
hospital,632,,
di,633,you say,Verb
ellas,634,they; them,Pronoun
vivo,635,alive; living,Adjective
piensa,636,you think,Verb
semanas,637,week,Noun
edad,638,age,Noun
ayudar,639,to help,Verb
venido,640,come,Verb
murió,641,he died; she died; it died,Verb
película,642,film,Noun
san,643,holy; godly,Adjective
maldita,644,cursed,Adjective
estados,645,land; country,Noun
niña,646,girl; female equivalent of niño,Noun
vista,647,sight; vision; eyesight,Noun
junto,648,together,Adjective
correcto,649,right; correct,Adjective
llamar,650,to summon,Verb
basta,651,stop!; enough!,interjection
john,652,,
aire,653,air,Noun
encima,654,on top,Adverb
cielo,655,sky,Noun
iré,656,I will go,Verb
buscar,657,to seek,Verb
programa,658,program; programme,Noun
personal,659,staff; personnel,Noun
café,660,brown,Adjective
detrás,661,behind; at the rear,Adverb
público,662,public,Adjective
minuto,663,minute,Noun
director,664,conductor,Noun
llegó,665,he arrived; she arrived; it arrived,Verb
demonios,666,the hell; on earth,Adverb
pienso,667,animal feed,Noun
verte,668,to see,Verb
acaba,669,you finish,Verb
boca,670,mouth; oral cavity,Noun
diga,671,way to say hello on the telephone,interjection
anoche,672,last night,Adverb
vuelve,673,you return,Verb
dirección,674,direction,Noun
llamada,675,call,Noun
ud.,676,,
servicio,677,service,Noun
ésta,678,this one,Pronoun
idiota,679,idiotic,Adjective
jugar,680,to play,Verb
mala,681,bad,Noun
social,682,,
médico,683,doctor,Noun
mes,684,month,Noun
obra,685,work,Noun
asunto,686,issue; matter; business,Noun
perder,687,to lose,Verb
dejó,688,he left; she left; it left,Verb
armas,689,arm; weapon,Noun
duro,690,hard,Adjective
querido,691,sweetheart,Noun
preguntas,692,question,Noun
queremos,693,we want,Verb
perdón,694,sorry; pardon me,interjection
pie,695,foot,Noun
mayoría,696,majority,Noun
unidos,697,united,Adjective
segunda,698,second,Adjective
empezar,699,to start,Verb
mía,700,mine; of mine,Determiner
digas,701,you say,Verb
hacemos,702,we do,Verb
perro,703,dog,Noun
señorita,704,young woman,Noun
ropa,705,robes; garment; clothes; clothing,Noun
hacía,706,I did,Verb
papel,707,paper,Noun
sueño,708,sleep; slumber,Noun
oficial,709,official,Adjective
extraño,710,odd; weird; strange; unusual,Adjective
negro,711,black,Noun
jamás,712,never; ever,Adverb
hará,713,he will do; she will do; it will do,Verb
afuera,714,out; outside,Adverb
sol,715,sun,Noun
media,716,half,Noun
diablos,717,hell; heck; damn it,interjection
necesario,718,necessary; requisite,Adjective
noticias,719,notice,Noun
increíble,720,incredible; unbelievable,Adjective
josé,721,,
principio,722,principle,Noun
respuesta,723,reply; answer; response,Noun
llegado,724,arrived; received; delivered,Adjective
universidad,725,college,Noun
maldito,726,cursed,Adjective
juan,727,,
vemos,728,we see,Verb
haría,729,I would do,Verb
compañía,730,company,Noun
cambiar,731,to change,Verb
dolor,732,pain; ache; tenderness; aching soreness,Noun
mesa,733,table,Noun
mensaje,734,message,Noun
nivel,735,tier; level; height,Noun
pudo,736,he was able to; she was able to; it was able to,Verb
s,737,,
decisión,738,decision,Noun
línea,739,line,Noun
diferente,740,different,Adjective
aquel,741,that; that one over there,Determiner
libertad,742,liberty; freedom,Noun
alrededor,743,surroundings,Noun
vio,744,he saw; she saw; it saw,Verb
mitad,745,half,Noun
i,746,you go,Verb
espacio,747,space,Noun
respecto,748,regard; respect; relation; connection,Noun
pena,749,punishment,Noun
trabajando,750,working,Verb
agente,751,agent,Noun
sexo,752,sex,Noun
sociedad,753,society; social order,Noun
salud,754,health,Noun
investigación,755,investigation,Noun
suena,756,you sound,Verb
proceso,757,process,Noun
aqui,758,,
encontrado,759,found,Adjective
tratando,760,treating,Verb
usar,761,to use,Verb
trato,762,treatment,Noun
querida,763,sweetheart,Noun
siete,764,seven,Number
blanco,765,white,Adjective
supone,766,he supposes; she supposes; it supposes,Verb
raro,767,rare,Adjective
consejo,768,advice; counsel; piece of advice,Noun
diré,769,I will say,Verb
zona,770,zone; area; district,Noun
jack,771,,
últimos,772,last; final,Adjective
error,773,,
mejores,774,better,Adjective
hubo,775,there was; there were,Verb
perfecto,776,perfect,Adjective
tema,777,plot; theme,Noun
reunión,778,meeting; session; appointment,Noun
piensas,779,you think,Verb
york,780,,
sucede,781,you happen,Verb
podríamos,782,we would be able to,Verb
carta,783,letter,Noun
secreto,784,secret,Adjective
siente,785,he seats; she seats; it seats,Verb
gusto,786,taste,Noun
decía,787,I said,Verb
ganar,788,to gain,Verb
base,789,basis,Noun
odio,790,hate; hatred; loathing,Noun
decirle,791,to say,Verb
ocurre,792,you happen,Verb
sean,793,they are,Verb
maría,794,magpie,Noun
suelo,795,dirt; soil; earth; ground,Noun
hotel,796,,
silencio,797,silence,Noun
daño,798,damage,Noun
amiga,799,friend,Noun
pobre,800,poor,Adjective
partir,801,to divide,Verb
asesino,802,murderous; homicidal,Adjective
entiendes,803,you understand,Verb
encuentra,804,you meet,Verb
quieras,805,you want,Verb
fondo,806,bottom,Noun
pensaba,807,I thought,Verb
existe,808,you exist,Verb
srta.,809,,
darle,810,to give,Verb
dan,811,they give,Verb
baño,812,bath,Noun
carrera,813,race,Noun
conoces,814,you know,Verb
acción,815,act; deed; action,Noun
duda,816,doubt,Noun
vuelto,817,change,Noun
partes,818,genitalia,Noun
interior,819,inner,Adjective
tendrá,820,he will have; she will have; it will have,Verb
imposible,821,impossible,Adjective
pagar,822,to pay,Verb
mente,823,mind; intellect,Noun
divertido,824,funny; amusing; entertaining,Adjective
sala,825,room,Noun
acabo,826,synonym of acabamiento,Noun
negocio,827,business; enterprise,Noun
apenas,828,barely; scarcely,Adverb
ocho,829,eight,Number
próxima,830,near,Adjective
ejército,831,army,Noun
mar,832,sea,Noun
estaré,833,I will be,Verb
cita,834,date,Noun
pelo,835,hair,Noun
abogado,836,lawyer; counsel; solicitor,Noun
diferentes,837,different,Adjective
conoce,838,you know,Verb
recuerda,839,you remember,Verb
asesinato,840,assassination,Noun
recuerdas,841,you remember,Verb
vive,842,he applauds; she applauds; it applauds,Verb
ay,843,ah!; alas!,interjection
energía,844,energy,Noun
banco,845,bank,Noun
arte,846,art,Noun
empresa,847,company,Noun
foto,848,photo; photograph,Noun
normal,849,fine; regular; standard,Adjective
seas,850,you are,Verb
casos,851,case,Noun
novia,852,girlfriend,Noun
totalmente,853,totally,Adverb
países,854,country,Noun
izquierda,855,left,Noun
conocer,856,to know,Verb
proyecto,857,plan; project,Noun
estaría,858,I would be,Verb
cámara,859,room,Noun
causa,860,cause,Noun
estábamos,861,we were,Verb
cállate,862,shut up!,interjection
capaz,863,able; capable,Adjective
pesar,864,to weigh,Verb
iglesia,865,church,Noun
parecía,866,I seemed,Verb
pruebas,867,proof; evidence,Noun
derecha,868,right,Noun
siglo,869,century,Noun
mantener,870,to keep,Verb
ministro,871,minister,Noun
uh,872,,
sentir,873,to feel,Verb
salvo,874,safe,Adjective
baja,875,loss; casualty,Noun
quienes,876,who,Pronoun
dejado,877,lax; sloppy,Adjective
hicieron,878,they did,Verb
caja,879,box; case,Noun
profesor,880,professor,Noun
estuve,881,I was,Verb
cargo,882,charge; burden,Noun
opinión,883,opinion,Noun
club,884,,
verlo,885,to see,Verb
decirte,886,to say,Verb
encontré,887,I met,Verb
desarrollo,888,development,Noun
haz,889,bundle,Noun
aquella,890,that; that one over there,Determiner
accidente,891,accident,Noun
quiera,892,he desires; she desires; it desires,Verb
carlos,893,,
terminado,894,finished,Adjective
mercado,895,market,Noun
próximo,896,near,Adjective
total,897,complete; outright,Adjective
sal,898,salt; table salt,Noun
varios,899,various; several,Determiner
pase,900,pass; permit,Noun
cualquiera,901,anyone; whoever; whomever,Pronoun
david,902,,
oro,903,gold,Noun
encuentro,904,meeting; encounter,Noun
valor,905,value,Noun
cena,906,supper; dinner,Noun
deseo,907,wish; desire,Noun
funciona,908,you work,Verb
comprar,909,to buy,Verb
posición,910,position,Noun
estudio,911,study,Noun
movimiento,912,movement,Noun
finalmente,913,finally; in the end,Adverb
nuevos,914,new,Adjective
salió,915,he went out; she went out; it went out,Verb
hambre,916,hunger,Noun
completamente,917,completely,Adverb
encanta,918,you charm,Verb
formas,919,form; shape; figure,Noun
norte,920,north; northern,Adjective
aun,921,even; still,Adverb
adónde,922,whither; whereto; to where,Adverb
lamento,923,lament,Noun
experiencia,924,experience,Noun
debido,925,owed,Adjective
loca,926,a madwoman; female equivalent of loco,Noun
tuyo,927,yours,Pronoun
m,928,myself,Pronoun
llega,929,you arrive,Verb
vosotros,930,you all,Pronoun
alta,931,certificate of discharge,Noun
fuiste,932,you went,Verb
tipos,933,kind; type; sort; manner,Adjective
contacto,934,contact,Noun
alma,935,soul,Noun
tranquilo,936,calm; quiet; peaceful; tranquil,Adjective
dijeron,937,they said,Verb
color,938,hue; colour,Noun
justicia,939,justice,Noun
placer,940,to like,Verb
disculpe,941,excuse me; pardon me,interjection
mató,942,he killed; she killed; it killed,Verb
radio,943,radius,Noun
busca,944,search,Noun
muertos,945,dead,Adjective
pone,946,he puts; she puts; it puts,Verb
imagen,947,image,Noun
especie,948,species,Noun
pudiera,949,I was able to,Verb
ex,950,ex-; former,Adjective
llamo,951,I summon,Verb
puso,952,he put; she put; it put,Verb
entra,953,you enter,Verb
montón,954,heap; pile,Noun
cárcel,955,prison,Noun
tienda,956,tent,Noun
corte,957,cut,Noun
carne,958,flesh,Noun
éxito,959,success,Noun
conocido,960,known,Adjective
muchacho,961,boy,Noun
viste,962,you saw,Verb
peligro,963,peril; danger,Noun
principal,964,main; most important,Adjective
delante,965,before; in front of,Adverb
interesante,966,interesting,Adjective
sale,967,ok,interjection
pude,968,I was able to,Verb
común,969,common; ordinary,Adjective
hablas,970,speech,Noun
creí,971,I believed,Verb
barco,972,boat,Noun
sientes,973,you feel,Verb
pies,974,foot,Noun
tenías,975,you had,Verb
bonito,976,cute; pretty,Adjective
traje,977,suit,Noun
sur,978,south,Noun
ataque,979,attack,Noun
entendido,980,expert,Adjective
quisiera,981,I desired,Verb
michael,982,,
podrían,983,they would be able to,Verb
maestro,984,master,Noun
jóvenes,985,young; youthful,Adjective
