lemma,rank,pos,translation,sentence,source_method,score,tokens
dijo,140,v,said (decir),Ella dijo que iba a hacer eso.,markov_ml,1.4967,ella dijo que iba a hacer eso
estar,141,v,to be,Voy a estar de acuerdo contigo.,markov_ml,1.6669,voy a estar de acuerdo contigo
entre,142,prep,between,Estoy entre el bien del mal tiempo.,markov_ml,0.5750,estoy entre el bien del mal tiempo
noche,143,n,after dark; (late) at night; nocturnally,Es un noche en un día.,markov_ml,-0.1841,es un noche en un día
trabajo,144,n,work; job,Tengo un trabajo de medio tiempo.,markov_ml,1.2922,tengo un trabajo de medio tiempo
ir,145,v,to go,Tengo que ir a ninguna parte.,markov_ml,1.4524,tengo que ir a ninguna parte
después,146,adv,later; afterwards; afterward; post,Ella está después de todo el día.,markov_ml,0.6932,ella está después de todo el día
mis,147,n,my (pl.),Tengo mis libros a la semana.,markov_ml,-2.2597,tengo mis libros a la semana
sea,148,v,be (subjunctive of ser),Sea lo que quieres decir con eso.,markov_ml,0.7102,sea lo que quieres decir con eso
acuerdo,149,n,agreement,El acuerdo está a punto de salir.,markov_ml,0.0511,el acuerdo está a punto de salir
otro,150,determiner,another; other,Tengo otro libro es muy bueno.,markov_ml,-1.7101,tengo otro libro es muy bueno
parece,151,v,seems (parecer),No parece que va a estar aquí.,markov_ml,1.4372,no parece que va a estar aquí
donde,152,pron,because,Ella es donde no hay ninguna razón.,markov_ml,0.2156,ella es donde no hay ninguna razón
ellos,153,pron,they (masc.),Ellos están aquí desde hace mucho tiempo.,markov_ml,-0.0039,ellos están aquí desde hace mucho tiempo
estamos,154,v,we are (estar),Nosotros estamos a punto de salir.,markov_ml,1.2451,nosotros estamos a punto de salir
mundo,155,n,world; earth,El mundo está de acuerdo contigo.,markov_ml,1.1838,el mundo está de acuerdo contigo
gente,156,n,people,Es un gente en el mundo.,markov_ml,-0.3094,es un gente en el mundo
nosotros,157,pron,we,Nosotros estamos aquí para hablar contigo.,markov_ml,-0.0932,nosotros estamos aquí para hablar contigo
padre,158,n,Father,El padre de mi casa está cerca.,markov_ml,1.3404,el padre de mi casa está cerca
estado,159,prop,country; land,He estado aquí desde hace mucho tiempo.,markov_ml,1.2714,he estado aquí desde hace mucho tiempo
nadie,160,pron,no one,Nadie es importante para los niños.,markov_ml,-0.4482,nadie es importante para los niños
tal,161,pron,such,Ella es tal vez sea mejor.,markov_ml,-0.2647,ella es tal vez sea mejor
les,162,pron,them; you (formal pl.),Ella les dice una cosa así.,markov_ml,-0.2310,ella les dice una cosa así
parte,163,n,part,Es un parte de la ciudad.,markov_ml,0.2207,es un parte de la ciudad
sido,164,v,been (ser),Ha sido un día o dos días.,markov_ml,0.9857,ha sido un día o dos días
momento,165,n,moment; instant,Es un momento de la vida.,markov_ml,0.3458,es un momento de la vida
podría,166,v,could; might (poder),No podría haber sido por tu ayuda.,markov_ml,1.0260,no podría haber sido por tu ayuda
menos,167,adv,less; fewer,Menos mal que no hay nada.,markov_ml,0.6227,menos mal que no hay nada
mira,168,v,target,No mira a ver si me siento.,markov_ml,-0.7767,no mira a ver si me siento
quiere,169,v,wants (querer),Ella quiere un poco de agua.,markov_ml,1.1940,ella quiere un poco de agua
fuera,170,adv,outside,Ella está fuera de la ciudad.,markov_ml,1.1896,ella está fuera de la ciudad
gran,171,adj,big; large,Él es gran parte de la ciudad.,markov_ml,0.2090,él es gran parte de la ciudad
lugar,172,n,place,Es un lugar de ir a ver.,markov_ml,0.3056,es un lugar de ir a ver
hablar,173,v,to talk,Puedo hablar contigo en ese momento.,markov_ml,0.9746,puedo hablar contigo en ese momento
tener,174,v,to have,Voy a tener un poco de tiempo.,markov_ml,1.4979,voy a tener un poco de tiempo
tenía,175,v,had (tener),No tenía ni idea de quién.,markov_ml,1.7613,no tenía ni idea de quién
tres,176,num,three,Tengo tres libros de mi padre.,markov_ml,-2.2294,tengo tres libros de mi padre
nuevo,177,adj,new,No es nuevo a mi amigo.,markov_ml,-0.2423,no es nuevo a mi amigo
pasa,178,v,raisin,Ella pasa el día de hoy.,markov_ml,0.8670,ella pasa el día de hoy
vas,179,v,you go (ir),No vas a hacer las cosas.,markov_ml,1.6219,no vas a hacer las cosas
cada,180,determiner,each,Tengo cada casa por la mañana.,markov_ml,-1.5168,tengo cada casa por la mañana
claro,181,adj,clear; easily understood,No es claro que no hay nada.,markov_ml,-0.1800,no es claro que no hay nada
dinero,182,n,money,El dinero no puede haber dicho algo.,markov_ml,1.2761,el dinero no puede haber dicho algo
madre,183,n,mother,Es un madre de mi padre.,markov_ml,-0.1585,es un madre de mi padre
mañana,184,n,tomorrow,La mañana me voy a hacer eso.,markov_ml,0.4368,la mañana me voy a hacer eso
tipo,186,n,dolled up; smartened up; dressed for a special occasion,Es un tipo de cosas que hacer.,markov_ml,1.3730,es un tipo de cosas que hacer
hoy,187,adv,today,Hoy no tengo tiempo para hacer eso.,markov_ml,1.1716,hoy no tengo tiempo para hacer eso
días,188,n,days,Tengo unos días antes de salir.,markov_ml,0.0845,tengo unos días antes de salir
luego,189,adv,therefore,Ella está luego de una forma.,markov_ml,-0.3096,ella está luego de una forma
allí,190,adv,there (over there),Allí no hay nada que ver.,markov_ml,0.8096,allí no hay nada que ver
mujer,191,n,woman,Es un mujer tiene dos años.,markov_ml,-0.3179,es un mujer tiene dos años
nuestro,192,determiner,ours,Nuestro libro es muy importante para mí.,markov_ml,-3.1430,nuestro libro es muy importante para mí
tanto,193,adv,so much,Tanto que me voy a hacer eso.,markov_ml,0.3922,tanto que me voy a hacer eso
cosa,194,n,thing,Es una cosa que quiero hacer esto.,markov_ml,1.0123,es una cosa que quiero hacer esto
sabe,195,v,knows (saber),No sabe cuál es el mejor.,markov_ml,1.3466,no sabe cuál es el mejor
todas,196,determiner,all; everyone (fem.),Todas las personas son buenas.,markov_ml,-1.3841,todas las personas son buenas
haciendo,197,v,to do,Estoy haciendo todo lo que has hecho.,markov_ml,1.1137,estoy haciendo todo lo que has hecho
hijo,198,n,son,Tengo un hijo de mi padre.,markov_ml,1.2836,tengo un hijo de mi padre
dice,199,v,says (decir),Ella dice que es hora de volver.,markov_ml,1.2512,ella dice que es hora de volver
seguro,200,adj,secure,No es seguro que no hay nada.,markov_ml,0.6326,no es seguro que no hay nada
podemos,201,v,a Spanish left wing political party,No podemos tener un poco de dinero.,markov_ml,0.9437,no podemos tener un poco de dinero
debe,202,v,to owe,Debe de ser un poco de agua.,markov_ml,-0.3424,debe de ser un poco de agua
espera,203,v,wait,Espera un poco más de un año.,markov_ml,-0.3672,espera un poco más de un año
vale,204,v,a voucher,Vale más que un poco de agua.,markov_ml,-1.0369,vale más que un poco de agua
será,205,v,to be,No será el primero en llegar.,markov_ml,1.1032,no será el primero en llegar
estas,206,determiner,these (fem.),Tengo estas casas.,markov_ml,-5.8658,tengo estas casas
toda,207,determiner,all; every (fem.),Tengo toda casa en la vida.,markov_ml,-1.8640,tengo toda casa en la vida
haber,208,v,have,Quiero haber hecho lo que ha hecho.,markov_ml,0.1813,quiero haber hecho lo que ha hecho
tus,209,determiner,initialism of Tren Urbano; the metro system used in San Juan; Puerto Rico,Tus libros son para los niños.,markov_ml,-3.3767,tus libros son para los niños
amigo,210,n,friend,Es un amigo de mi padre.,markov_ml,1.1299,es un amigo de mi padre
nuestra,211,determiner,ours,Tengo nuestra casa está cerca de aquí.,markov_ml,-0.1235,tengo nuestra casa está cerca de aquí
buena,212,adj,inheritance,Ella es buena para la gente.,markov_ml,1.0614,ella es buena para la gente
aún,213,adv,still; yet,Aún no he visto en algún lugar.,markov_ml,1.4658,aún no he visto en algún lugar
quien,214,pron,who,Ella es quien no tiene ningún amigo.,markov_ml,0.3776,ella es quien no tiene ningún amigo
estos,215,determiner,these,Estos libros son para los niños.,markov_ml,-1.5481,estos libros son para los niños
nombre,216,n,name,Es un nombre de todos los días.,markov_ml,1.2693,es un nombre de todos los días
tienen,217,v,to have,No tienen ni idea de quién.,markov_ml,1.4228,no tienen ni idea de quién
veces,218,n,by; times,Tengo unas veces me siento muy bien.,markov_ml,-0.4582,tengo unas veces me siento muy bien
mamá,219,n,mum; mom,Es un mamá es la primera vez.,markov_ml,-0.0992,es un mamá es la primera vez
mal,220,adv,bad; evil,Ella está mal de los otros.,markov_ml,0.2907,ella está mal de los otros
buen,221,adj,good,No es buen fin de semana pasado.,markov_ml,0.4070,no es buen fin de semana pasado
durante,222,prep,during; in; over,Estoy durante el fin de semana pasado.,markov_ml,0.6149,estoy durante el fin de semana pasado
papá,223,n,dad,Tengo un papá en la casa.,markov_ml,-0.6593,tengo un papá en la casa
quería,224,v,to desire; to want; to want to,Ella quería que él había estado.,markov_ml,1.5062,ella quería que él había estado
dije,225,v,pleasant; nice; likable,No dije que no me gusta mucho.,markov_ml,0.6793,no dije que no me gusta mucho
unos,226,determiner,about; approximately,Tengo unos libros en mi vida.,markov_ml,-2.9534,tengo unos libros en mi vida
pasado,227,n,past,El pasado fin de semana pasado.,markov_ml,0.1282,el pasado fin de semana pasado
forma,228,n,shape,Es una forma de hablar con él.,markov_ml,1.5863,es una forma de hablar con él
gusta,229,v,taste,No gusta a todo el mundo.,markov_ml,0.2439,no gusta a todo el mundo
hizo,230,v,to do,Ella hizo todo lo que ha hecho.,markov_ml,1.4208,ella hizo todo lo que ha hecho
caso,231,n,case,Es un caso de tener que ir.,markov_ml,0.6998,es un caso de tener que ir
contra,232,prep,against; versus,Estoy contra el presidente de la mano.,markov_ml,-0.3641,estoy contra el presidente de la mano
tarde,233,adv,late,Ella está tarde por la mañana.,markov_ml,0.3167,ella está tarde por la mañana
necesito,234,v,to need,No necesito un poco de agua.,markov_ml,1.4529,no necesito un poco de agua
oye,235,v,hey! listen!,Oye de la vida es una buena.,markov_ml,-0.8488,oye de la vida es una buena
alguna,236,determiner,some; any,Tengo alguna casa está cerca de aquí.,markov_ml,-1.3739,tengo alguna casa está cerca de aquí
hemos,237,v,we have (haber),Hemos estado aquí desde hace mucho tiempo.,markov_ml,0.9795,hemos estado aquí desde hace mucho tiempo
cuenta,238,n,count; tally,Tengo una cuenta de lo que pasó.,markov_ml,0.7274,tengo una cuenta de lo que pasó
visto,239,v,seen,He visto en mi casa está cerca.,markov_ml,0.8527,he visto en mi casa está cerca
conmigo,240,adv,with me,Ella conmigo está a punto de salir.,markov_ml,-0.5154,ella conmigo está a punto de salir
mientras,241,conj,while; whilst; as,Ella está bien mientras tiene tiempo.,markov_ml,-2.6025,ella está bien mientras tiene tiempo
otros,242,determiner,others,Tengo otros libros en mi vida.,markov_ml,-3.3065,tengo otros libros en mi vida
realmente,243,adv,really; actually; genuinely,Realmente no tengo ni idea de quién.,markov_ml,1.1353,realmente no tengo ni idea de quién
hora,244,n,hour,Es una hora antes de salir.,markov_ml,0.4427,es una hora antes de salir
problema,245,n,problem; issue; challenge,El problema es que no sé.,markov_ml,0.6259,el problema es que no sé
crees,246,v,to believe,Tú crees que es una buena idea.,markov_ml,0.1480,tú crees que es una buena idea
año,247,n,year,El año que viene de una vez.,markov_ml,0.5798,el año que viene de una vez
razón,248,n,reason,El razón está a punto de salir.,markov_ml,-0.6911,el razón está a punto de salir
primera,249,adj,first gear,Él es primera vez que he visto.,markov_ml,-0.1598,él es primera vez que he visto
cierto,250,adj,a certain; a specific,No es cierto que los hombres.,markov_ml,0.7156,no es cierto que los hombres
saber,251,v,to know; to understand,Quiero saber qué ha pasado mucho tiempo.,markov_ml,1.3528,quiero saber qué ha pasado mucho tiempo
