rank,sentence
203,Espera esto es una cita.
204,Vale no puedes hacer algo.
205,"Ya verás, todo será más fácil."
206,Es difícil hablar de estas cosas en la iglesia.
207,Noche de bodas toda mi seducción.
208,Qué clase de idiota debe de haber sido.
209,Conque estás demasiado ocupado para tus amigos.
210,Dónde está tu mejor amigo.
211,Me pregunto cómo será nuestra habitación.
212,Ella es buena pero tiene un problema.
213,Aún esperamos a tu padre.
214,Ahora tengo a alguien con quien hablar.
215,Entonces estos tres ryo son un adelanto.
216,Quiere usted saber mi nombre.
217,Supongo que ellos tienen poder suficiente.
218,Veces tuvo relaciones con él.
219,Mi mamá no tiene tiempo.
220,Por que me siento mal.
221,Creo que es vieja escuela no en el buen sentido.
222,Durante muchos años hemos sido amigos.
223,No se trata de mamá y papá.
224,Crees que quería herir a oscar.
225,Cuantas veces te lo dije.
226,Hace unos años llamé a este modelo económico.
227,Qué ha pasado con el otro que te di.
228,Es su forma de ver.
229,Es raro no me gusta.
230,Cogieron al cabrón que hizo esto.
231,Cómo si yo le habría hecho caso.
232,No tengo nada en contra de ellas.
233,Se me hace tarde señora.
234,Me necesitas más de lo que yo te necesito.
235,Oye amigo qué me va a pasar.
236,Tiene que haber alguna forma hablarás con él.
237,Hoy hemos salido tarde.
238,Qué no se dieron cuenta.
239,Me eres familiar me parece haberte visto en alguna parte.
240,No quiere hablar conmigo y no sé por qué.
241,Mientras tanto en la casa grande.
242,Por qué te interesa si veo a otros hombres.
243,Entonces qué te pasó realmente.
244,Era hora de que nosotros.
245,El problema es que no lo hice.
246,Por qué te crees que me voy a casar contigo.
247,Su mujer murió en un accidente el año pasado.
248,Tienes razón sobre la familia.
249,Acabo de los resultados de la primera encuesta.
250,Creo que ya has dicho suficiente ya no es cierto.
251,No hemos tenido tiempo para saber lo que este pequeño niño vio.
252,Ya te lo he dicho si es necesario.
253,Creo que quiere hacerlo otra vez.
254,No lo puedo ver mierda.
255,Pues no nos hemos visto antes.
256,Tienes alguna idea para mí.
257,Tu dinero por el mío.
258,E n v.
259,No podría aunque lo intente.
260,La reunión de la familia.
261,Yo le mandé hacia aquí.
262,Es lo que tiene el amor.
263,Una gran oportunidad se ha hecho posible en esos años.
264,Y después pueden venir a nuestra boda.
265,Bueno no importa lo que haga.
266,No todavía no lo hemos encontrado.
267,Después de lo que les hice a esas personas.
268,Me lo llevo a la policía.
269,Casi ni lo ha mirado.
270,Tengo algo muy importante que discutir contigo.
271,Sólo hice lo que cualquier persona haría en esta situación.
272,La gente no nos gusta demasiado.
273,"Ven un momento, por favor."
274,No sé si hablabas en serio.
275,A algún lugar que sólo.
276,Ve a la cabina de putin.
277,Ésta es su nueva vida.
278,No no él ha sido genial pero eh.
279,Bueno estoy a su lado señor.
280,Lo querría de esa manera.
281,Sigue con sus dolores de cabeza.
282,No os gustan los hombres.
283,Es una historia sobre el bien y el mal.
284,Volver dentro de una semana.
285,Sería mejor hablarlo mañana.
286,Ni salir de la ciudad.
287,Un hombre no debería hacer esto.
288,Mira j d corren tiempos complicados y más complicados que se van a poner.
289,Usted viene de la ciudad.
290,Ustedes no tienen nada dentro.
291,Señoras hay muchas cosas que me voy por ahí.
292,Un arcángel más el poder de dios no puede superar a la hermana de dios.
293,Mataron a algunos de los hermanos.
294,Estamos hablando de mis amigos.
295,Quién quiere una chica así.
296,Sabes ser mayor nunca supe cómo debería ser.
297,Claro que nadie sabía que veníamos.
298,Quiero a los chicos ahí.
299,Está mi hermano con usted.
300,Esas llaves no son mías.
301,Mantenernos en el primer lugar.
302,Información general sobre el país.
303,Cada vez que ella se vaya temprano sabrás que es por él.
304,Pueden darme un poco de agua.
305,Me gustaría contárselo yo misma.
306,No veo en qué le molestaría.
307,Vas listo si lo haces y si no lo haces vas listo.
308,Sólo hay un camino para usted.
309,El jefe de cirugía en persona.
310,Iba al parque estatal de todos modos.
311,En realidad no lo dijo.
312,No por todo el fin de semana.
313,Qué tan importante es para mí.
314,Primero escucha el final de la historia.
315,No quería contártelo pero te lo digo.
316,He estado trabajando durante horas.
317,No lo hacía veces por semana.
318,Tal vez haya otra puerta.
319,Los hombres con una misión siempre somos algo fanáticos.
320,Pensé que nunca te vería.
321,Es en el nivel más bajo.
322,En el punto de la muerte.
323,Esa chica tiene algunos problemas serios.
324,Estoy en ese tipo de punto en mi vida.
325,Ah pues no lo sé.
326,Qué pasó con las viejas.
327,Ahora quizá podrías dejarnos solos.
328,Así que usted quiere las buenas noticias o las malas noticias.
329,Por supuesto me temo que tendrá que esperar.
330,En mi casa mañana a las cuatro de la tarde.
331,A mccall le da igual.
332,No hay nada mejor a mano.
333,Qué tienes para los niños.
334,Yo tengo que volver ahora.
335,Es muy fácil además a ti te encanta.
336,Dónde está la niña señora.
337,Mira cariño no es nada.
338,Gracias por la ayuda mamá.
339,Qué les pasó a tus ojos.
340,La víctima murió en menos de cinco minutos.
341,No voy a pasar aquí la noche.
342,En general motors empleaba a trabajadores.
343,Creo que es demasiado pronto para presentar una obra.
344,Así que haré lo que debo hacer.
345,Voy a salir unos minutos.
346,No el jefe sino el marido de la jefa.
347,El gobierno de la comunidad.
348,Tienes el juego en tus manos.
349,Es un riesgo para el presidente.
350,El sr pryor está muerto.
351,Este lugar ha estado abandonado durante muchos años.
352,Entonces cuál es el plan chico.
353,La paz con la guerra.
354,Al final hice lo correcto.
355,Incluso si es sobre la demanda.
356,Él es mi medio hermano.
357,Cuál es el problema de todas formas.
358,Dijo que no tenía idea de qué estaba hablando.
359,Ya no puedo más adiós.
360,Ni su esposa siquiera sabe.
361,Bueno eso sería genial papá.
362,Al final fueron todos juntos.
363,Hay algo más pero tengo que pensar en ello un poco más.
364,Sólo tienes que moverte rápido.
365,Tu equipo no puede entrar por aquí.
366,No puedo dejar a mi madre y mi hermana solas con él.
367,Significa que han hablado o que no han hablado.
368,Él no es tu jefe.
369,Tal vez millones de dólares.
370,Así que no he tenido suerte.
371,Tenía otras cosas en mi cabeza en ese momento.
372,Por qué no lo vi ayer.
373,Quieres ver otra vez el cuerpo.
374,Tu padre está al llegar.
375,Yo no las uso pero muchas mujeres.
376,Es posible que no te guste.
377,No muy bien según parece.
378,Muchos de nuestros casos lo parecen.
379,Un año ya quizás más.
380,Se refiere volver a la tierra.
381,Bueno entonces bill debes ser el único porqué todos vendemos algo.
382,Eres mi hija por qué.
383,No te encontré por ninguna parte.
384,Estaré con él hasta el final.
385,En la cara no jefe.
386,Creo que estabas diciendo que no al niño que una vez fuiste.
387,Supongo que no cómo estás.
388,Duermen juntos todas las noches.
389,Algunas cosas así no sé.
390,Entiendo más de lo que tú.
391,Número lo hace muy bien.
392,No soy de ningún tipo.
393,No me deja opcion embajadora.
394,Jeremy está mejor sin ti no lo ves.
395,No se parece para nada a ti tío.
396,Qué tiene cerca de la boca.
397,Es tu corazón de nuevo.
398,Es que me dan miedo.
399,Buenos días como están hoy.
400,De pequeños eran inseparables.
401,Puede que no haya sitio.
402,Si hubiera una forma de hacerlo con un poco más de dignidad algo de brillo y sustancia.
403,Deberías estar feliz de que esté aquí.
404,Con unas camisetas azul oscuro.
405,Espero que encuentre a su hijo.
406,Supongo que me pareció exactamente igual.
407,Ya ve que me viene perfecta.
408,Todos los meses pasamos por esto.
409,Morn sigue ahí al frente del bar.
410,Van a dar un premio.
411,Me dijeron que podía acompañarlo.
412,Perdón por la última vez.
413,Es difícil decirlo tú qué piensas.
414,No os encanta esa mierda.
415,Quiero saber si vas a venir.
416,Lo vi en el albert hall.
417,Debemos salir de aquí viejo.
418,Déjalo ya se siente bastante mal.
419,Por que venir aquí a tomar el té y los snacks.
420,Bien qué te gustaría saber.
421,Cuánto tiempo más cree que va a ser.
422,Vamos a concentrarnos en encontrar a scylla vale.
423,Siempre hay algo que sigue adelante.
424,Usted sabe no me parece justo.
425,De acuerdo tiene sentido supongo.
426,Mi esposa también estará de acuerdo.
427,El segundo truco más viejo del manual.
428,No es la pistola grande.
429,Mi mi arma está por allá.
430,Te dije que tenía clase.
431,Bueno parece bastante estable lo cual es bueno.
432,Todas las personas son iguales ante la ley y en consecuencia.
433,Entonces es el momento del juego.
434,He tenido una mañana horrible.
435,Tenía mucho en lo que pensar.
436,Ya no creo que pueda confiar en ti.
437,Hey cómo se supone que voy a saber.
438,Entonces no eres mi doctor.
439,Tu grupo es una mierda.
440,La he cuidado como a un bebé.
441,Quieres decir que no sabes si yo sería suficiente para ti.
442,Hay coincidencia en la sangre.
443,El chico es tan pequeño bueno.
444,Dijiste que querías verla verdad.
445,Sabes de qué se trata viejo.
446,Hasta haré que se limpie las gafas.
447,Es nuestro último recurso señor.
448,En serio por qué sigues apareciendo frente a mí.
449,Mira soy uno de tus admiradores más grandes.
450,Bueno hay una mujer que puede que venga.
451,Cómo se llama el lugar a donde vamos.
452,La mayoría de las noches.
453,El capitán hawdon se toma su tiempo.
454,Se necesita un guía en el reino unido.
455,No le debes decir a nadie que te puse en el camino.
456,No deberías estar arriba con ella.
457,Ahora estoy de vuelta al camino.
458,Dónde está el maldito coche.
459,No y tampoco lo quiero ver.
460,Pues tenemos que trabajar rápido.
461,La mala no sabemos hasta cuándo.
462,Eres la persona más fuerte que he conocido.
463,Agente de seguridad del estado.
464,Mas si conseguimos un montón de niños.
465,El apoyo tiene que entrar ahí.
466,Es una forma de vivir para siempre.
467,Ahora mi corazón no me escucha.
468,Déjame ver esta a mí.
469,La gente de este pueblo.
470,Te quedas por los hijos.
471,Luego el médico un hombre joven.
472,Cuanto a uno de estos cada tres días.
473,Hago un mejor baile esta vez.
474,Hoy no fue a la escuela.
475,Lo que quiero hacer tras esta noche.
476,Cree que no fue intencional.
477,No yo no cambio nada.
478,Una luz contra la guerra.
479,Tiene la oportunidad de empezar de nuevo.
480,Ayer fui andando al trabajo.
481,Se encuentra a años luz del sistema solar.
482,Sin embargo uno de ellos tiene un precio.
483,No sé nada de ningún teléfono.
484,Que sucede en dilwale piensas algo dices otra cosa es una gran escena mira eso.
485,Carol debe más de seis cifras.
486,Por eso tenía que estar tan alto.
487,Se habla mucho de ti.
488,Es el que estaba en la fiesta.
489,No no me volví loco.
490,Me fui por la puerta de atrás.
491,Escucha debemos ir a verlo.
492,El me hizo la misma pregunta.
493,Pero dos no hacen un patrón.
494,Por favor no puedo seguir con esto.
495,Vamos realmente te quieren escuchar.
496,No te dio alguna referencia.
497,Está bien un paso a la vez.
498,Lo único que me falta es dinero.
499,No es fácil tener años.
500,Ya se había ido cuando llegué.
501,Tal vez debería llamar a mis padres.
502,No vino con un hombre.
503,No la verdad tú lo hiciste.
504,"Cuando llegué, ya estaban dentro."
505,Entiende ahora la situación en la que se encuentra.
506,No te oigo ahí abajo.
507,La única mujer de la isla.
508,Sigue siendo igual de simpático.
509,Por favor no de este modo por qué.
510,Tenemos una parte de la información.
511,Te doy cinco dólares por ellas.
512,Y ahora asegúrese de que nuestro cliente esté bien porque no podemos permitirnos llegar tarde.
513,Sabes lo que has hecho a mi hermana.
514,No tuvo contacto con victoria.
515,Nos has dado lo que habíamos olvidado.
516,Bueno en realidad no me gusta esa música.
517,Por que no puedes dejarlo en paz.
518,No es tu culpa papá.
519,Lo único que me queda por hacer es contarle a la policía.
520,Debe ser una cita real.
521,Necesitaremos un auto también cierto.
522,Creo que la palabra es gracias.
523,No deberías también cambiar un poco tu voz.
524,No puedo decir que no me sentí sola sin ti.
525,Estudió derecho en nueva york.
526,Sólo una lista de nombres.
527,Consejo de la unión euro europeo partido.
528,Cómo va con esa orden judicial.
529,Qué es lo que debería hacer exactamente.
530,Fui miembro de frente nacional.
531,Sabe y creo que estoy listo para salir.
532,Quieres que te haga la comida.
533,No necesitamos hablar sobre esto ahora mismo.
534,Habría podido ser un hombre notable.
535,Cuál será su próximo libro.
536,En realidad yo soy el capitán.
537,Entonces hice que tu mente sutilmente tachara opciones diciendo.
538,No vas a comer primero.
539,Ya sabemos cómo va esto.
540,Tienes que estar lejos de la gente.
541,Quiero saber qué está pasando acá.
542,No queremos morir por culpa suya.
543,Bueno quizás este fenómeno te haga hablar.
544,Vuelve a tu puesto chico.
545,Están en la calle.
546,Crees que no sé que dicen.
547,Toda esa mierda que les estabas diciendo.
548,No tengo tiempo par eso.
549,No estoy interesado en política sr cohn.
550,No puede ser el malo.
551,Lo vi en su habitación.
552,Probablemente está en mi casa.
553,La comida estuvo buenísima.
554,Éste es el arma del crimen.
555,El director debe tener un plan.
556,Un poco especial pero bueno.
557,No puedes decir esas palabras.
558,Será por una pequeña temporada.
559,Así que solo vive tu vida ok.
560,Estoy empezando a creer que tenía razón.
561,Mi relación con mi padre.
562,Tienes que matar a las chicas malas.
563,Funciones de la ley especial.
564,El bebé está a punto de nacer.
565,Yo estoy pensando en él.
566,Le digo que no le conozco.
567,Vamos a simplemente a comer.
568,Sabes acerca de los espíritus.
569,Puedo hacerlo en diez minutos.
570,Tanto como sería de esperar.
571,Nada a través del juego.
572,Tuve que irme antes.
573,Tú no eres el centro del universo.
574,El vuelo fue largo peter.
575,Lo que nos da la razón para seguir buscando.
576,Yo soy muy bueno en la cama.
577,Nuestras familias llevan el mismo tiempo aquí.
578,Le he dicho que es un recuerdo.
579,Por eso lo llaman el rey.
580,La comunidad autónoma de cantabria españa.
581,Creo que es la voz de mi madre.
582,Por qué no la repartió con los demás.
583,La sra. López ya ha llegado.
584,Viene y va ya saben.
585,Las mil y una noches.
586,Así no se lleva la comunidad.
587,No me importa quién los tenga siempre que pueda conseguirlos.
588,Bueno si necesitas algo más mi puerta siempre está abierta.
589,Voy a volver a conseguir más hombres.
590,Es una cosa que amo de él.
591,Mucha gente crea su propia empresa.
592,Una niña tras mi propio corazón.
593,Bueno estamos en estado de sitio.
594,Igual que el resto de ellos.
595,No dónde está la oficina.
596,El hecho es que esto te deja libre.
597,Estoy segura que hiciste todo lo que pudiste.
598,Serías el peor marido del mundo.
599,Mañana estará todo listo.
600,Poner de nuevo hacia arriba.
601,Lo harán por la fuerza si es necesario.
602,No os llevéis a mi marido.
603,Vamos sin el arma por favor.
604,No soy tu puta madre.
605,No nunca oído hablar de ello.
606,Me puede dar un café para llevar.
607,¿Podrías cerrar la ventana?
608,Por ejemplo solo todo esto y todo esto.
609,Hay mucha gente por aquí estás.
610,Hay una bomba en el cuarto de control.
611,Lo estaba esperando en la puerta.
612,Qué estaba haciendo para llamar su atención.
613,Don está de acuerdo conmigo.
614,El fuego que todo el día.
615,No me has llamado esta mañana.
616,La persona humana madrid doncel.
617,La idea de este viaje.
618,Te vas a quedar a dormir.
619,Qué habéis hecho en mi cuarto.
620,El dr. Martín me atendió ayer.
621,La sección se sustituye por el texto siguiente.
622,Va a matar como una semana.
623,Ya habían salido cuando llamaste.
624,No hagas ruido al entrar.
625,Así que ambos salimos ganando.
626,Seguro que habrá más gente.
627,He perdido a toda una mujer.
628,Bueno entonces haz la prueba.
629,Me necesitan para el futuro.
630,Ya no les interesa trabajar en el campo.
631,Ellos deben estar por llegar en cualquier momento.
632,Es como cuando estaba en el hospital.
633,Se la di porque falcone lo habría hecho.
634,Ellas quieren que las observen.
635,Yo tengo la presunción de que está vivo.
636,Usted piensa porque me gusta la forma.
637,Me debe semanas de paga.
638,Es como la edad media.
639,He venido para ayudar a mejorar las cosas.
640,He venido aquí esta noche.
641,Mi mamá murió cuando yo era muy chiquita.
642,Vamos a ver el resto de la película.
643,El día de la masacre de san julián.
644,Vamos chris lucha maldita sea.
645,Situación en los estados miembros.
646,La niña de la plata.
647,No podría ser peor desde su punto de vista.
648,No había nada junto al auto de pete.
649,No pero estás en lo correcto.
650,Voy a llamar a la unidad de la marina.
651,No te basta nuestra palabra.
652,La muerte de john ford.
653,La hija del aire.
654,El ministerio del interior se nos echará encima.
655,Se va al cielo supongo.
656,Bien iré a lavarme las manos.
657,Algunos vamos a buscar algo de pizza para comer.
658,Voy a preparar un programa de estudios.
659,He oído que tienen un apartado personal.
660,El café de la estación.
661,El cerebro detrás del cerebro.
662,En tercer lugar este interés público era real.
663,La enfermera vendrá en un minuto.
664,El hombre es un gran director.
665,Llegó esto para ti cariño.
666,No tenemos un lugar entonces cómo demonios haremos eso.
667,Pienso que pudo haber sido esto.
668,Ella no quiere verte mejor.
669,Qué pasa si se acaba la comida.
670,Espera eso ha estado en tu boca.
671,Diga señor dónde estoy exactamente.
672,Me vino a la mente anoche.
673,Vuelve a trabajar para mí.
674,Tengo la dirección de la puerta.
675,Yo no hice ninguna llamada a emily trudeau.
676,No es ud robert axle.
677,Servicio de información y policía militar.
678,Ésta es mi oportunidad de comenzar de cero.
679,Dios no venía por las chicas idiota.
680,Nunca van a jugar juntos.
681,Sabía que era una mala idea dejarte entrar allí.
682,Espero no haber arruinado tu vida social.
683,Hay algún médico por favor.
684,De dónde sacarás al mes.
685,Usted no conocía mi obra.
686,Tu asunto no es conmigo.
687,No puedo perder también a mi hermano.
688,Es algo que nuestra madre dejó para nosotros.
689,En la plaza de armas.
690,No cree que eso es un poco duro.
691,Estoy encantada querido conde de haberlo conocido.
692,No me preguntas por qué he vuelto.
693,Alguien que los dos queremos.
694,Perdón por no decirte nada.
695,Mira ahí está el pie.
696,La mayoría de la gente no sabe que tienen.
697,Por los estados unidos de américa y la confederación.
698,Cruz de hierro de segunda clase.
699,Claro vamos a empezar otra vez.
700,Entonces no es culpa mía.
701,No digas lo que es no lo digas.
702,Luego hacemos la compra.
703,Cuál es el problema con el perro.
704,La señorita no ha salido.
705,No puedo dejar que mi marido vaya con la ropa sucia.
706,Antes hacía mucho deporte.
707,Cada uno tiene su papel.
708,En la calle la llaman el sueño.
709,Así que sea lo que sea no coincide con la historia oficial.
710,Qué extraño que lo encontraste.
711,Negro justo lo que estaba pensando.
712,Tu no lo vas a entender jamás.
713,No sé qué hará pero tiene que hacer algo.
714,Es sólo que todo esto pasaba afuera.
715,No sé si es el campo o el sol.
716,De media hora como mucho.
717,Qué diablos es lo que quiere.
718,No es necesario que se le digas lo buena que eres.
719,Se lo que dicen las noticias.
720,Quiero decir que él es increíble.
721,Va a coger a josé a tiempo.
722,Usted sabía desde el principio.
723,No ya sé la respuesta.
724,Creo que ha llegado el momento de hablar con su padre.
725,Oye ahora estoy en la universidad.
726,Ella es un maldito monstruo.
727,Juan navarro reverter ministro de hacienda.
728,Ok así que eh nos vemos.
729,Yo no haría eso.
730,Él realmente es una buena compañía.
731,No podemos cambiar lo que sabemos.
732,Por eso le da usted dolor.
733,Qué es un centro de mesa.
734,Por favor deje su mensaje.
735,Es reconocido a nivel internacional.
736,La ofendió todo lo que pudo.
737,S no otra receso de navidad la canción de navidad.
738,Creo que es la decisión justa.
739,Tenemos a alguien en la línea.
740,El mundo es un lugar muy diferente lejos de aquí.
741,Murieron en aquel campo.
742,Qué significa para usted la libertad de expresión.
743,Por los parques de alrededor.
744,Así que nadie me vio.
745,Era la otra mitad del número.
746,I no le puedo decir que.
747,El espacio es algo bueno.
748,Por qué nunca hacemos nada al respecto.
749,Así no merece la pena.
750,Llevamos años trabajando en ello.
751,Tengo que ver a mi agente.
752,No hubo sexo de ningún tipo.
753,Asi es como es la sociedad.
754,No es un problema de salud.
755,La investigación es un fracaso.
756,Bueno ahora mis noticias suena menos bueno.
757,El proceso de paz está otra vez en marcha.
758,No tiene permitido estar aqui.
759,No has encontrado trabajo desde que volviste.
760,Por qué lo estaba tratando.
761,Señora puedo usar su teléfono.
762,El trato de que hablamos.
763,No es un concurso de belleza querida.
764,Los niños menores de siete años.
765,Tiro al blanco en el poblado indio.
766,Se supone que es hermoso.
767,Es raro que no esté por aquí.
768,Reglamento ce no del consejo.
769,Entonces no te diré nada.
770,Es la zona de la muerte.
771,No él es el mejor amigo de jack.
772,Aquí tenemos los últimos mensajes interceptados.
773,No se me permite un error.
774,Le mandaremos los mejores abogados.
775,Al final hubo suerte.
776,Sabes que me ve perfecto.
777,No un programa sobre el tema.
778,Vamos a tener una reunión.
779,Es lo único que piensas.
780,En el estado de nueva york.
781,Crees que no sé lo que sucede.
782,No sé si podríamos vernos.
783,Por tener una buena carta.
784,Así que voy a mantenerlo en secreto.
785,Se siente como si voy a morir.
786,Me doy cuenta de que no te gusto.
787,El cartel de papel decía.
788,Sé lo que él va a ganar.
789,Es una base de datos.
790,No podría soportar el odio.
791,Hay que decirle a su padre.
792,Sólo ocurre cuando la máquina está encendida.
793,Y uh y fue escrito el litigios y dijo dijo sean se no se ve bien.
794,María haz lo que te dice el médico.
795,Por qué estas en el suelo.
796,Qué te crees que estás en un hotel.
797,Es el juego del silencio.
798,No le hicimos daño a nadie.
799,Ahora no tengo mejor amiga.
800,Estaba en tal estado pobre chica.
801,A partir de ahora me quedaré contigo.
802,No creo que sea el asesino.
