rank,lemma,word,old_sentence,failure_reason
58,fue,fue,Por eso molly se fue.,retrieved_raw
59,tengo,tengo,Bueno qué se supone que tengo que hacer.,retrieved_raw
60,era,era,Mi pa no era un hombre endeble.,retrieved_raw
62,tiene,tiene,Tienes razón esta vez jamie tiene que quedarse en casa.,retrieved
64,tú,tú,Por lo que he oído tú también.,retrieved
65,cómo,cómo,Cómo que se lo merecía.,retrieved_raw
66,vez,vez,Tal vez el monstruo es real.,retrieved
67,estás,estás,Estás hecho para ser un boxeador.,retrieved_raw
70,son,son,No no son malas en absoluto.,retrieved_raw
71,hacer,hacer,No sé lo que vamos a hacer con todo esto pero toma.,retrieved
72,he,he,Quizá porque me he acostado con ella.,retrieved
73,porque,porque,No podía porque no me arrepiento.,retrieved
74,todos,todos,Todos estaban a punto de llorar.,retrieved
77,gracias,gracias,Gracias a dios que no estás allí.,retrieved
78,puede,puede,A veces puede ser bastante.,retrieved
79,dos,dos,Hace dos días que ese no funciona.,retrieved_raw
80,sin,sin,No se quedará sin pagar por esto.,retrieved
81,soy,soy,Soy ambos virus y angel.,retrieved_raw
83,ese,ese,Él es el hijo de ese bastardo.,retrieved
84,estaba,estaba,Quién estaba en el rammer jammer.,retrieved
85,también,también,También dije que no era suficiente.,retrieved
87,tan,tan,Es porque has descubierto que las cosas no me van tan bien.,retrieved_raw
90,tienes,tienes,Es todo lo que tienes para decir no lo sé.,unlinked_finite_verbs
92,usted,usted,No no es por usted.,retrieved
93,esa,esa,Dame algo de esa bolsa.,retrieved
94,voy,voy,Solo me voy a despedir.,retrieved_raw
95,sabes,sabes,No tu sabes que eso es imposible.,retrieved
96,eres,eres,Eso solo prueba que eres mas rápido.,retrieved_raw
97,verdad,verdad,Eres la única verdad que tengo.,retrieved
98,hasta,hasta,No hasta que uno de ustedes muera.,retrieved
99,solo,solo,Solo haz que se enamore de ti otra vez.,retrieved_raw
101,años,años,Era un niño de años.,retrieved
102,hace,hace,Gente a la que me hace feliz conocer.,retrieved
103,va,va,Cómo va a ocurrir esto.,retrieved_raw
104,hola,hola,Hola otro más para usted.,retrieved_raw
106,quién,quién,Quieres decirnos quién irá a la fiesta.,retrieved_raw
107,mejor,mejor,Crees que me lo pasé mejor.,retrieved_raw
110,mí,mí,A mí no me grites.,retrieved_raw
111,dónde,dónde,Dónde está la reina catalina.,retrieved_raw
112,ni,ni,Ni siquiera sabe lo que quiero que haga.,retrieved
113,están,están,Sabes que nos están atacando.,retrieved
115,señor,señor,Soy más fuerte que el señor de florencia.,retrieved
117,oh,oh,Oh dios te acostaste con él.,retrieved_raw
118,siempre,siempre,Siempre te he amado de acuerdo.,retrieved
119,ver,ver,Tienes que venir conmigo a ver la grabación.,retrieved_raw
120,uno,uno,Usted no es uno de ellos y ellos no quieren que usted.,retrieved_raw
121,quieres,quieres,Por qué no quieres hablar de ello.,retrieved
124,dios,dios,Dios mío qué qué voy a hacer.,retrieved
125,has,has,Has escrito una novela cojonuda.,retrieved
127,día,día,No estarás aquí todo el día.,retrieved
128,desde,desde,Sé lo que parece así que les digo desde ahora.,retrieved
129,tenemos,tenemos,Tenemos la cámara de afuera.,retrieved_raw
130,poco,poco,Qué tal un poco de intimidad.,retrieved_raw
132,ti,ti,Empezó a verte a ti.,retrieved_raw
134,mismo,mismo,Se que sientes lo mismo.,retrieved_raw
135,han,han,Mire usted y los de su clase han expoliado nuestros valles.,retrieved
136,hecho,hecho,Me has hecho parecer débil.,retrieved_raw
138,puedes,puedes,Puedes conseguir una huella de una foto.,retrieved_raw
139,ahí,ahí,En realidad no no vamos a empezar por ahí.,retrieved_raw
140,dijo,dijo,Le dijo a tu madre que estabas muerto.,retrieved
142,entre,entre,Le dejarán nuevo entre los dos.,retrieved
145,ir,ir,Nunca debes ir allí de nuevo.,retrieved_raw
146,después,después,En el año después.,retrieved
147,mis,mis,No entiendes mis ideas ni el arte.,retrieved_raw
151,parece,parece,Me parece que la policía está de camino.,retrieved_raw
152,donde,donde,Aquí es donde me trajo.,retrieved_raw
153,ellos,ellos,Así que hay cuatro de ellos.,retrieved
154,estamos,estamos,Algunos no estamos de broma.,retrieved_raw
156,gente,gente,Sabes cómo hacer sentir bien a la gente.,retrieved
157,nosotros,nosotros,Nosotros no nos quedamos en el auto.,retrieved
159,estado,estado,Organismos de inteligencia del estado.,retrieved_raw
161,tal,tal,Tal vez os lleve conmigo.,retrieved_raw
162,les,les,Sé que no les caigo bien.,retrieved
163,parte,parte,Qué haces en esta parte de la casa.,retrieved
164,sido,sido,Tamer abdo amin colgó el video que ha sido visto veces en facebook con el siguiente comentario.,retrieved_raw
166,podría,podría,Srta idgie podría abrir la puerta.,retrieved
168,mira,mira,Mira por qué no volvemos dentro.,retrieved_raw
169,quiere,quiere,Si quiere ayudar a su hija va a tener que ser paciente.,retrieved_raw
170,fuera,fuera,Se prohíbe pescar fuera de los períodos hábiles para la pesca.,retrieved_raw
171,gran,gran,Yo soy un gran admirador de los trenes.,retrieved_raw
172,lugar,lugar,En segundo lugar que no ha dicho.,retrieved_raw
174,tener,tener,Una cosa buena de tener la peor habitación del campus.,retrieved_raw
175,tenía,tenía,Su compañero tenía el dinero.,retrieved_raw
176,tres,tres,Hay otras tres que no puede ver.,retrieved_raw
177,nuevo,nuevo,Usted debe ser nuevo aqu.,retrieved_raw
178,pasa,pasa,Supongo que eso no pasa.,retrieved_raw
179,vas,vas,Cómo puedo saber que vas a regresar la pluma a este.,dangling_function_word
180,cada,cada,Así que buenas noches a todos y cada uno.,retrieved
181,claro,claro,Claro pero cómo sabe a dónde ir.,retrieved_raw
184,mañana,mañana,Esta mañana fue a la casa de la profesora.,retrieved_raw
186,tipo,tipo,No ese tipo tú no quieres saber.,retrieved
187,hoy,hoy,No tenemos que morir aquí hoy.,retrieved
188,días,días,No eres tú la que hablaba con ella todos los días.,retrieved
189,luego,luego,Luego de que se los llevó tashandra.,retrieved_raw
190,allí,allí,Hasta yo sé que tienes que ir allí.,retrieved
191,mujer,mujer,Es que soy una mujer.,retrieved_raw
192,nuestro,nuestro,Sólo estoy tratando de vender nuestro software.,retrieved
193,tanto,tanto,No entiendo por qué a ella le gustan tanto.,retrieved_raw
196,todas,todas,Han llegado de todas partes.,retrieved
197,haciendo,haciendo,Ha estado haciendo eso por casi ocho horas.,retrieved_raw
198,hijo,hijo,Tengo la palabra de mi hijo.,retrieved
199,dice,dice,Mi otro lado del cerebro dice.,retrieved
200,seguro,seguro,Estás seguro que es lo que ella dijo realmente.,retrieved_raw
201,podemos,podemos,Parece que podemos estar ante un asesino en serie.,retrieved_raw
202,debe,debe,Debe haber algo al fondo de todo esto.,retrieved_raw
203,espera,espera,Espera esto es una cita.,retrieved_raw
204,vale,vale,Vale no puedes hacer algo.,retrieved_raw
206,estas,estas,Es difícil hablar de estas cosas en la iglesia.,retrieved
207,toda,toda,Noche de bodas toda mi seducción.,retrieved
208,haber,haber,Qué clase de idiota debe de haber sido.,retrieved
209,tus,tus,Conque estás demasiado ocupado para tus amigos.,retrieved
211,nuestra,nuestra,Me pregunto cómo será nuestra habitación.,retrieved
212,buena,buena,Ella es buena pero tiene un problema.,retrieved_raw
214,quien,quien,Ahora tengo a alguien con quien hablar.,retrieved_raw
215,estos,estos,Entonces estos tres ryo son un adelanto.,retrieved
217,tienen,tienen,Supongo que ellos tienen poder suficiente.,retrieved_raw
218,veces,veces,Veces tuvo relaciones con él.,retrieved
221,buen,buen,Creo que es vieja escuela no en el buen sentido.,retrieved_raw
222,durante,durante,Durante muchos años hemos sido amigos.,retrieved
223,papá,papá,No se trata de mamá y papá.,retrieved
224,quería,quería,Crees que quería herir a oscar.,retrieved
225,dije,dije,Cuantas veces te lo dije.,retrieved
226,unos,unos,Hace unos años llamé a este modelo económico.,retrieved
227,pasado,pasado,Qué ha pasado con el otro que te di.,retrieved_raw
229,gusta,gusta,Es raro no me gusta.,retrieved_raw
230,hizo,hizo,Cogieron al cabrón que hizo esto.,retrieved
233,tarde,tarde,Se me hace tarde señora.,retrieved_raw
234,necesito,necesito,Me necesitas más de lo que yo te necesito.,retrieved_raw
235,oye,oye,Oye amigo qué me va a pasar.,retrieved_raw
236,alguna,alguna,Tiene que haber alguna forma hablarás con él.,retrieved
238,cuenta,cuenta,Qué no se dieron cuenta.,retrieved
239,visto,visto,Me eres familiar me parece haberte visto en alguna parte.,retrieved_raw
240,conmigo,conmigo,No quiere hablar conmigo y no sé por qué.,retrieved_raw
241,mientras,mientras,Mientras tanto en la casa grande.,retrieved
242,otros,otros,Por qué te interesa si veo a otros hombres.,retrieved
246,crees,crees,Por qué te crees que me voy a casar contigo.,retrieved_raw
247,año,año,Su mujer murió en un accidente el año pasado.,retrieved
249,primera,primera,Acabo de los resultados de la primera encuesta.,retrieved_raw
250,cierto,cierto,Creo que ya has dicho suficiente ya no es cierto.,retrieved_raw
251,saber,saber,No hemos tenido tiempo para saber lo que este pequeño niño vio.,retrieved
252,dicho,dicho,Ya te lo he dicho si es necesario.,retrieved
253,hacerlo,hacerlo,Creo que quiere hacerlo otra vez.,retrieved_raw
255,pues,pues,Pues no nos hemos visto antes.,retrieved
257,mío,mío,Tu dinero por el mío.,retrieved_raw
258,e,e,E n v.,retrieved
259,aunque,aunque,No podría aunque lo intente.,retrieved
260,familia,familia,La reunión de la familia.,retrieved
261,hacia,hacia,Yo le mandé hacia aquí.,retrieved
263,esos,esos,Una gran oportunidad se ha hecho posible en esos años.,retrieved
264,pueden,pueden,Y después pueden venir a nuestra boda.,retrieved_raw
265,importa,importa,Bueno no importa lo que haga.,retrieved_raw
266,todavía,todavía,No todavía no lo hemos encontrado.,retrieved
267,personas,personas,Después de lo que les hice a esas personas.,retrieved
268,policía,policía,Me lo llevo a la policía.,retrieved_raw
270,contigo,contigo,Tengo algo muy importante que discutir contigo.,retrieved_raw
271,cualquier,cualquier,Sólo hice lo que cualquier persona haría en esta situación.,retrieved_raw
272,demasiado,demasiado,La gente no nos gusta demasiado.,retrieved_raw
274,serio,serio,No sé si hablabas en serio.,retrieved_raw
275,algún,algún,A algún lugar que sólo.,retrieved
276,ve,ve,Ve a la cabina de putin.,retrieved_raw
277,nueva,nueva,Ésta es su nueva vida.,retrieved_raw
278,eh,eh,No no él ha sido genial pero eh.,retrieved_raw
281,cabeza,cabeza,Sigue con sus dolores de cabeza.,retrieved
282,hombres,hombres,No os gustan los hombres.,retrieved
283,historia,historia,Es una historia sobre el bien y el mal.,retrieved
284,dentro,dentro,Volver dentro de una semana.,retrieved_raw
286,salir,salir,Ni salir de la ciudad.,retrieved
287,debería,debería,Un hombre no debería hacer esto.,retrieved_raw
288,van,van,Mira j d corren tiempos complicados y más complicados que se van a poner.,retrieved_raw
289,ciudad,ciudad,Usted viene de la ciudad.,retrieved
291,muchas,muchas,Señoras hay muchas cosas que me voy por ahí.,retrieved
292,poder,poder,Un arcángel más el poder de dios no puede superar a la hermana de dios.,retrieved_raw
293,algunos,algunos,Mataron a algunos de los hermanos.,retrieved
295,chica,chica,Quién quiere una chica así.,retrieved
296,mayor,mayor,Sabes ser mayor nunca supe cómo debería ser.,retrieved_raw
297,sabía,sabía,Claro que nadie sabía que veníamos.,retrieved
300,esas,esas,Esas llaves no son mías.,retrieved
301,primer,primer,Mantenernos en el primer lugar.,retrieved_raw
302,país,país,Información general sobre el país.,retrieved
303,vaya,vaya,Cada vez que ella se vaya temprano sabrás que es por él.,retrieved_raw
304,agua,agua,Pueden darme un poco de agua.,retrieved
305,misma,misma,Me gustaría contárselo yo misma.,retrieved_raw
306,veo,veo,No veo en qué le molestaría.,retrieved_raw
307,haces,haces,Vas listo si lo haces y si no lo haces vas listo.,unlinked_finite_verbs
309,persona,persona,El jefe de cirugía en persona.,retrieved
310,iba,iba,Iba al parque estatal de todos modos.,retrieved_raw
312,fin,fin,No por todo el fin de semana.,retrieved
313,importante,importante,Qué tan importante es para mí.,retrieved_raw
314,primero,primero,Primero escucha el final de la historia.,retrieved_raw
315,digo,digo,No quería contártelo pero te lo digo.,retrieved
316,horas,horas,He estado trabajando durante horas.,retrieved
319,somos,somos,Los hombres con una misión siempre somos algo fanáticos.,retrieved_raw
320,pensé,pensé,Pensé que nunca te vería.,retrieved_raw
321,bajo,bajo,Es en el nivel más bajo.,retrieved
322,muerte,muerte,En el punto de la muerte.,retrieved
323,problemas,problemas,Esa chica tiene algunos problemas serios.,retrieved
324,punto,punto,Estoy en ese tipo de punto en mi vida.,retrieved
325,ah,ah,Ah pues no lo sé.,retrieved_raw
326,pasó,pasó,Qué pasó con las viejas.,retrieved
327,quizá,quizá,Ahora quizá podrías dejarnos solos.,retrieved_raw
328,buenas,buenas,Así que usted quiere las buenas noticias o las malas noticias.,retrieved_raw
329,supuesto,supuesto,Por supuesto me temo que tendrá que esperar.,retrieved_raw
330,cuatro,cuatro,En mi casa mañana a las cuatro de la tarde.,retrieved_raw
331,da,da,A mccall le da igual.,retrieved_raw
335,además,además,Es muy fácil además a ti te encanta.,retrieved_raw
336,señora,señora,Dónde está la niña señora.,retrieved
338,ayuda,ayuda,Gracias por la ayuda mamá.,retrieved
340,cinco,cinco,La víctima murió en menos de cinco minutos.,retrieved_raw
342,general,general,En general motors empleaba a trabajadores.,retrieved_raw
343,pronto,pronto,Creo que es demasiado pronto para presentar una obra.,retrieved_raw
344,debo,debo,Así que haré lo que debo hacer.,retrieved_raw
346,sino,sino,No el jefe sino el marido de la jefa.,retrieved
347,gobierno,gobierno,El gobierno de la comunidad.,retrieved
348,manos,manos,Tienes el juego en tus manos.,retrieved
349,presidente,presidente,Es un riesgo para el presidente.,retrieved
350,muerto,muerto,El sr pryor está muerto.,retrieved_raw
351,muchos,muchos,Este lugar ha estado abandonado durante muchos años.,retrieved
352,chico,chico,Entonces cuál es el plan chico.,retrieved
353,guerra,guerra,La paz con la guerra.,retrieved
355,incluso,incluso,Incluso si es sobre la demanda.,retrieved_raw
357,cuál,cuál,Cuál es el problema de todas formas.,retrieved_raw
358,hablando,hablando,Dijo que no tenía idea de qué estaba hablando.,retrieved
360,siquiera,siquiera,Ni su esposa siquiera sabe.,retrieved_raw
361,genial,genial,Bueno eso sería genial papá.,retrieved_raw
363,ello,ello,Hay algo más pero tengo que pensar en ello un poco más.,retrieved
364,rápido,rápido,Sólo tienes que moverte rápido.,retrieved_raw
365,equipo,equipo,Tu equipo no puede entrar por aquí.,retrieved
366,dejar,dejar,No puedo dejar a mi madre y mi hermana solas con él.,retrieved
367,significa,significa,Significa que han hablado o que no han hablado.,retrieved_raw
369,millones,millones,Tal vez millones de dólares.,retrieved
371,otras,otras,Tenía otras cosas en mi cabeza en ese momento.,retrieved
375,mujeres,mujeres,Yo no las uso pero muchas mujeres.,retrieved_raw
376,posible,posible,Es posible que no te guste.,retrieved_raw
377,según,según,No muy bien según parece.,retrieved
379,quizás,quizás,Un año ya quizás más.,retrieved_raw
380,tierra,tierra,Se refiere volver a la tierra.,retrieved
381,único,único,Bueno entonces bill debes ser el único porqué todos vendemos algo.,retrieved_raw
383,ninguna,ninguna,No te encontré por ninguna parte.,retrieved
385,cara,cara,En la cara no jefe.,retrieved
386,niño,niño,Creo que estabas diciendo que no al niño que una vez fuiste.,retrieved
387,supongo,supongo,Supongo que no cómo estás.,retrieved_raw
388,juntos,juntos,Duermen juntos todas las noches.,retrieved_raw
389,algunas,algunas,Algunas cosas así no sé.,retrieved
393,deja,deja,No me deja opcion embajadora.,retrieved_raw
394,ves,ves,Jeremy está mejor sin ti no lo ves.,retrieved_raw
395,tío,tío,No se parece para nada a ti tío.,retrieved
396,cerca,cerca,Qué tiene cerca de la boca.,retrieved_raw
398,miedo,miedo,Es que me dan miedo.,retrieved
399,buenos,buenos,Buenos días como están hoy.,retrieved_raw
402,hubiera,hubiera,Si hubiera una forma de hacerlo con un poco más de dignidad algo de brillo y sustancia.,orphaned_subordinate_clause
403,feliz,feliz,Deberías estar feliz de que esté aquí.,retrieved_raw
404,unas,unas,Con unas camisetas azul oscuro.,retrieved
405,espero,espero,Espero que encuentre a su hijo.,retrieved_raw
406,igual,igual,Supongo que me pareció exactamente igual.,retrieved_raw
407,viene,viene,Ya ve que me viene perfecta.,retrieved
408,meses,meses,Todos los meses pasamos por esto.,retrieved
409,sigue,sigue,Morn sigue ahí al frente del bar.,retrieved_raw
410,dar,dar,Van a dar un premio.,retrieved_raw
411,podía,podía,Me dijeron que podía acompañarlo.,retrieved
412,última,última,Perdón por la última vez.,retrieved_raw
413,difícil,difícil,Es difícil decirlo tú qué piensas.,retrieved_raw
414,os,os,No os encanta esa mierda.,retrieved_raw
416,vi,vi,Lo vi en el albert hall.,retrieved_raw
418,bastante,bastante,Déjalo ya se siente bastante mal.,retrieved_raw
419,tomar,tomar,Por que venir aquí a tomar el té y los snacks.,retrieved
420,gustaría,gustaría,Bien qué te gustaría saber.,retrieved_raw
421,cuánto,cuánto,Cuánto tiempo más cree que va a ser.,retrieved_raw
422,encontrar,encontrar,Vamos a concentrarnos en encontrar a scylla vale.,retrieved
423,adelante,adelante,Siempre hay algo que sigue adelante.,retrieved_raw
424,justo,justo,Usted sabe no me parece justo.,retrieved_raw
425,sentido,sentido,De acuerdo tiene sentido supongo.,retrieved_raw
427,segundo,segundo,El segundo truco más viejo del manual.,retrieved_raw
428,grande,grande,No es la pistola grande.,retrieved_raw
429,allá,allá,Mi mi arma está por allá.,retrieved_raw
431,cual,cual,Bueno parece bastante estable lo cual es bueno.,retrieved_raw
432,ante,ante,Todas las personas son iguales ante la ley y en consecuencia.,retrieved
436,pueda,pueda,Ya no creo que pueda confiar en ti.,retrieved
437,hey,hey,Hey cómo se supone que voy a saber.,retrieved_raw
440,cuidado,cuidado,La he cuidado como a un bebé.,retrieved_raw
441,suficiente,suficiente,Quieres decir que no sabes si yo sería suficiente para ti.,retrieved_raw
442,sangre,sangre,Hay coincidencia en la sangre.,retrieved
443,pequeño,pequeño,El chico es tan pequeño bueno.,retrieved_raw
445,trata,trata,Sabes de qué se trata viejo.,retrieved_raw
446,haré,haré,Hasta haré que se limpie las gafas.,retrieved_raw
447,último,último,Es nuestro último recurso señor.,retrieved_raw
448,frente,frente,En serio por qué sigues apareciendo frente a mí.,retrieved
449,grandes,grandes,Mira soy uno de tus admiradores más grandes.,retrieved_raw
450,venga,venga,Bueno hay una mujer que puede que venga.,retrieved
451,llama,llama,Cómo se llama el lugar a donde vamos.,retrieved_raw
452,noches,noches,La mayoría de las noches.,retrieved
453,toma,toma,El capitán hawdon se toma su tiempo.,retrieved_raw
454,necesita,necesita,Se necesita un guía en el reino unido.,retrieved_raw
455,debes,debes,No le debes decir a nadie que te puse en el camino.,retrieved_raw
456,arriba,arriba,No deberías estar arriba con ella.,retrieved_raw
458,coche,coche,Dónde está el maldito coche.,retrieved
459,tampoco,tampoco,No y tampoco lo quiero ver.,retrieved_raw
461,cuándo,cuándo,La mala no sabemos hasta cuándo.,retrieved_raw
462,fuerte,fuerte,Eres la persona más fuerte que he conocido.,retrieved_raw
463,seguridad,seguridad,Agente de seguridad del estado.,retrieved
464,mas,mas,Mas si conseguimos un montón de niños.,retrieved_raw
465,entrar,entrar,El apoyo tiene que entrar ahí.,retrieved
467,escucha,escucha,Ahora mi corazón no me escucha.,retrieved_raw
468,déjame,déjame,Déjame ver esta a mí.,retrieved_raw
469,pueblo,pueblo,La gente de este pueblo.,retrieved
470,hijos,hijos,Te quedas por los hijos.,retrieved
471,joven,joven,Luego el médico un hombre joven.,retrieved_raw
472,cuanto,cuanto,Cuanto a uno de estos cada tres días.,retrieved_raw
473,hago,hago,Hago un mejor baile esta vez.,retrieved_raw
476,cree,cree,Cree que no fue intencional.,retrieved
477,cambio,cambio,No yo no cambio nada.,retrieved
478,luz,luz,Una luz contra la guerra.,retrieved
479,oportunidad,oportunidad,Tiene la oportunidad de empezar de nuevo.,retrieved
481,sistema,sistema,Se encuentra a años luz del sistema solar.,retrieved
482,embargo,embargo,Sin embargo uno de ellos tiene un precio.,retrieved
484,dices,dices,Que sucede en dilwale piensas algo dices otra cosa es una gran escena mira eso.,retrieved_raw
485,seis,seis,Carol debe más de seis cifras.,retrieved_raw
486,alto,alto,Por eso tenía que estar tan alto.,retrieved_raw
487,habla,habla,Se habla mucho de ti.,retrieved_raw
489,loco,loco,No no me volví loco.,retrieved
490,atrás,atrás,Me fui por la puerta de atrás.,retrieved_raw
491,debemos,debemos,Escucha debemos ir a verlo.,retrieved
493,hacen,hacen,Pero dos no hacen un patrón.,retrieved_raw
494,seguir,seguir,Por favor no puedo seguir con esto.,retrieved
495,quieren,quieren,Vamos realmente te quieren escuchar.,unlinked_finite_verbs
496,dio,dio,No te dio alguna referencia.,retrieved_raw
499,fácil,fácil,No es fácil tener años.,retrieved_raw
501,padres,padres,Tal vez debería llamar a mis padres.,retrieved
502,vino,vino,No vino con un hombre.,retrieved_raw
503,hiciste,hiciste,No la verdad tú lo hiciste.,retrieved
505,situación,situación,Entiende ahora la situación en la que se encuentra.,retrieved
506,abajo,abajo,No te oigo ahí abajo.,retrieved_raw
507,única,única,La única mujer de la isla.,retrieved_raw
509,modo,modo,Por favor no de este modo por qué.,retrieved
511,dólares,dólares,Te doy cinco dólares por ellas.,retrieved_raw
512,esté,esté,Y ahora asegúrese de que nuestro cliente esté bien porque no podemos permitirnos llegar tarde.,retrieved_raw
513,hermana,hermana,Sabes lo que has hecho a mi hermana.,retrieved
514,tuvo,tuvo,No tuvo contacto con victoria.,retrieved_raw
515,dado,dado,Nos has dado lo que habíamos olvidado.,retrieved_raw
516,música,música,Bueno en realidad no me gusta esa música.,retrieved
519,queda,queda,Lo único que me queda por hacer es contarle a la policía.,retrieved_raw
520,real,real,Debe ser una cita real.,retrieved_raw
521,auto,auto,Necesitaremos un auto también cierto.,retrieved_raw
523,deberías,deberías,No deberías también cambiar un poco tu voz.,retrieved_raw
524,sola,sola,No puedo decir que no me sentí sola sin ti.,retrieved_raw
525,derecho,derecho,Estudió derecho en nueva york.,retrieved
526,lista,lista,Sólo una lista de nombres.,retrieved
527,partido,partido,Consejo de la unión euro europeo partido.,retrieved_raw
528,orden,orden,Cómo va con esa orden judicial.,retrieved_raw
530,nacional,nacional,Fui miembro de frente nacional.,retrieved_raw
531,listo,listo,Sabe y creo que estoy listo para salir.,retrieved_raw
534,habría,habría,Habría podido ser un hombre notable.,retrieved
535,libro,libro,Cuál será su próximo libro.,retrieved
536,capitán,capitán,En realidad yo soy el capitán.,retrieved
537,diciendo,diciendo,Entonces hice que tu mente sutilmente tachara opciones diciendo.,retrieved
540,lejos,lejos,Tienes que estar lejos de la gente.,retrieved_raw
541,pasando,pasando,Quiero saber qué está pasando acá.,retrieved
542,morir,morir,No queremos morir por culpa suya.,retrieved
543,haga,haga,Bueno quizás este fenómeno te haga hablar.,retrieved
544,puesto,puesto,Vuelve a tu puesto chico.,retrieved_raw
547,estabas,estabas,Toda esa mierda que les estabas diciendo.,retrieved
549,política,política,No estoy interesado en política sr cohn.,retrieved
554,éste,éste,Éste es el arma del crimen.,retrieved_raw
555,plan,plan,El director debe tener un plan.,retrieved_raw
556,especial,especial,Un poco especial pero bueno.,retrieved_raw
558,pequeña,pequeña,Será por una pequeña temporada.,retrieved_raw
559,ok,ok,Así que solo vive tu vida ok.,retrieved_raw
560,creer,creer,Estoy empezando a creer que tenía razón.,retrieved
561,relación,relación,Mi relación con mi padre.,retrieved
562,chicas,chicas,Tienes que matar a las chicas malas.,retrieved
563,ley,ley,Funciones de la ley especial.,retrieved
564,bebé,bebé,El bebé está a punto de nacer.,retrieved
567,simplemente,simplemente,Vamos a simplemente a comer.,retrieved
568,acerca,acerca,Sabes acerca de los espíritus.,retrieved_raw
569,diez,diez,Puedo hacerlo en diez minutos.,retrieved_raw
571,través,través,Nada a través del juego.,retrieved
573,centro,centro,Tú no eres el centro del universo.,retrieved
574,largo,largo,El vuelo fue largo peter.,retrieved_raw
575,buscando,buscando,Lo que nos da la razón para seguir buscando.,retrieved
577,nuestras,nuestras,Nuestras familias llevan el mismo tiempo aquí.,retrieved
579,rey,rey,Por eso lo llaman el rey.,retrieved
580,españa,españa,La comunidad autónoma de cantabria españa.,retrieved
581,voz,voz,Creo que es la voz de mi madre.,retrieved
582,demás,demás,Por qué no la repartió con los demás.,retrieved_raw
584,saben,saben,Viene y va ya saben.,unlinked_finite_verbs
585,mil,mil,Las mil y una noches.,retrieved_raw
586,lleva,lleva,Así no se lleva la comunidad.,retrieved_raw
587,tenga,tenga,No me importa quién los tenga siempre que pueda conseguirlos.,retrieved_raw
588,necesitas,necesitas,Bueno si necesitas algo más mi puerta siempre está abierta.,retrieved_raw
591,propia,propia,Mucha gente crea su propia empresa.,retrieved_raw
592,propio,propio,Una niña tras mi propio corazón.,retrieved_raw
594,resto,resto,Igual que el resto de ellos.,retrieved
596,libre,libre,El hecho es que esto te deja libre.,retrieved_raw
597,segura,segura,Estoy segura que hiciste todo lo que pudiste.,retrieved_raw
598,peor,peor,Serías el peor marido del mundo.,retrieved_raw
600,poner,poner,Poner de nuevo hacia arriba.,retrieved
601,fuerza,fuerza,Lo harán por la fuerza si es necesario.,retrieved
602,marido,marido,No os llevéis a mi marido.,retrieved_raw
605,oído,oído,No nunca oído hablar de ello.,retrieved_raw
