lemma,rank,pos,sentence,tokens,combined,reranker,lm_logp
vez,66,n,Una vez más personas que no sé.,una vez más personas que no sé,0.5486,0.5486,-30.2656
estás,67,v,No estás de acuerdo con la cabeza.,no estás de acuerdo con la cabeza,0.9967,0.9967,-29.0716
sólo,68,adv,Sólo tienes que ir a la policía.,sólo tienes que ir a la policía,0.1689,0.1689,-27.4844
ella,69,pron,Ella está aquí para hablar con él.,ella está aquí para hablar con él,-0.1203,-0.1203,-33.7035
son,70,v,Ellos son de una vez por semana.,ellos son de una vez por semana,1.3336,1.3336,-28.6092
hacer,71,v,Voy a hacer las cosas que hacer.,voy a hacer las cosas que hacer,1.4087,1.4087,-26.1642
he,72,v,He visto en algún lugar.,he visto en algún lugar,-0.3426,-0.3426,-22.1421
porque,73,conj,No puedo porque estoy ocupado ahora.,no puedo porque estoy ocupado ahora,-2.4618,-2.4618,-39.4035
todos,74,determiner,Todos los libros son buenos amigos.,todos los libros son buenos amigos,-1.3009,-1.3009,-30.3310
puedo,75,v,No puedo estar de acuerdo con él.,no puedo estar de acuerdo con él,1.9801,1.9801,-24.5560
quiero,76,v,Yo quiero un poco más de tiempo.,yo quiero un poco más de tiempo,1.3346,1.3346,-28.5898
gracias,77,n,Muchas gracias por todo el día.,muchas gracias por todo el día,0.3050,0.3050,-23.1440
puede,78,v,Ella puede hablar un poco de tiempo.,ella puede hablar un poco de tiempo,1.2651,1.2651,-27.5951
dos,79,num,Tengo dos libros de mi padre.,tengo dos libros de mi padre,-2.2045,-2.2045,-35.0638
sin,80,prep,Estoy sin la ayuda de un amigo.,estoy sin la ayuda de un amigo,0.5071,0.5071,-32.0687
soy,81,v,Yo soy el único que puede ser.,yo soy el único que puede ser,1.6959,1.6959,-25.1205
sobre,82,prep,Estoy sobre la muerte de su padre.,estoy sobre la muerte de su padre,0.5062,0.5062,-34.0917
ese,83,determiner,Ese libro es muy importante para mí.,ese libro es muy importante para mí,-0.0388,-0.0388,-29.4227
estaba,84,v,Ella estaba a punto de salir.,ella estaba a punto de salir,1.9252,1.9252,-23.5557
también,85,adv,También me gusta la forma de hablar.,también me gusta la forma de hablar,1.2593,1.2593,-28.2318
tiempo,86,n,No tengo tiempo para hacer las cosas.,no tengo tiempo para hacer las cosas,1.6984,1.6984,-24.6200
tan,87,adv,Ella está tan pronto como sea posible.,ella está tan pronto como sea posible,1.3964,1.3964,-29.0059
entonces,88,adv,Entonces me di cuenta de eso.,entonces me di cuenta de eso,0.8554,0.8554,-26.1884
creo,89,v,Yo creo que voy a hacer eso.,yo creo que voy a hacer eso,1.6064,1.6064,-27.6967
tienes,90,v,No tienes nada que ver con esto.,no tienes nada que ver con esto,1.3777,1.3777,-24.8253
casa,91,n,La casa de mi casa está cerca.,la casa de mi casa está cerca,1.3400,1.3400,-27.3996
usted,92,pron,Usted está aquí para hablar con él.,usted está aquí para hablar con él,-0.4815,-0.4815,-36.0279
esa,93,determiner,Tengo esa casa es demasiado tarde.,tengo esa casa es demasiado tarde,-1.1505,-1.1505,-39.1291
voy,94,v,No voy a llegar tarde a casa.,no voy a llegar tarde a casa,1.2372,1.2372,-28.8538
sabes,95,v,Tú sabes que es hora de volver.,tú sabes que es hora de volver,1.2339,1.2339,-29.0532
eres,96,v,Tú eres el único que puede ser.,tú eres el único que puede ser,1.7355,1.7355,-24.8657
verdad,97,n,Es verdad que no hay nada.,es verdad que no hay nada,0.6265,0.6265,-27.5586
hasta,98,prep,Estoy hasta el fin de semana pasado.,estoy hasta el fin de semana pasado,1.6472,1.6472,-26.9571
solo,99,adj,Él es solo un poco de agua.,él es solo un poco de agua,1.3509,1.3509,-27.1770
nunca,100,adv,Nunca he visto en algún lugar.,nunca he visto en algún lugar,1.4873,1.4873,-23.0389
años,101,n,Los años y todavía no he visto.,los años y todavía no he visto,0.3212,0.3212,-33.3806
hace,102,v,No hace falta que te he dicho.,no hace falta que te he dicho,0.9650,0.9650,-25.4445
va,103,v,Ella va a estar de acuerdo contigo.,ella va a estar de acuerdo contigo,1.6629,1.6629,-27.4229
hola,104,interj,Hola a la casa de mi padre.,hola a la casa de mi padre,-1.6897,-1.6897,-35.5731
mucho,105,determiner,Tengo mucho libro por la mañana.,tengo mucho libro por la mañana,-1.2013,-1.2013,-37.8624
quién,106,pron,No sé quién hacer eso por mí.,no sé quién hacer eso por mí,-0.2239,-0.2239,-35.9671
mejor,107,adj,Él es mejor no decir nada.,él es mejor no decir nada,1.3361,1.3361,-25.4762
vida,108,n,La vida es un tipo de cosas.,la vida es un tipo de cosas,0.9416,0.9416,-25.9682
decir,109,v,Tengo que decir la verdad puede ser.,tengo que decir la verdad puede ser,0.9055,0.9055,-28.8541
mí,110,pron,A mí me gusta hacer eso.,a mí me gusta hacer eso,1.4176,1.4176,-26.1864
dónde,111,adv,Dónde está la madre de mi padre.,dónde está la madre de mi padre,0.4238,0.4238,-30.8347
ni,112,conj,No tengo ni idea de quién.,no tengo ni idea de quién,2.0100,2.0100,-20.9854
están,113,v,No están de acuerdo con la cabeza.,no están de acuerdo con la cabeza,1.0277,1.0277,-28.8721
favor,114,n,Es un favor y el otro día.,es un favor y el otro día,-0.1375,-0.1375,-34.6320
señor,115,n,Es un señor y la señora.,es un señor y la señora,0.1207,0.1207,-34.1649
hombre,116,n,Es un hombre con quien hablar.,es un hombre con quien hablar,1.3686,1.3686,-24.1127
oh,117,interj,Oh no es un poco de agua.,oh no es un poco de agua,0.1088,0.1088,-34.7165
siempre,118,adv,Ella siempre está de acuerdo contigo.,ella siempre está de acuerdo contigo,0.9943,0.9943,-26.3780
ver,119,v,Quiero ver a un lado para otro.,quiero ver a un lado para otro,1.1977,1.1977,-27.1654
uno,120,num,Uno de ellos.,uno de ellos,-3.1554,-3.1554,-19.5372
quieres,121,v,No quieres que te vas a hacer.,no quieres que te vas a hacer,0.5815,0.5815,-27.9857
siento,122,v,Siento como si no fuera por mí.,siento como si no fuera por mí,0.6712,0.6712,-28.8582
había,123,v,Había una vez cada dos días después.,había una vez cada dos días después,1.0067,1.0067,-27.1129
dios,124,prop,Dios es el único que tienes razón.,dios es el único que tienes razón,0.2702,0.2702,-29.5550
has,125,v,Has hecho por mí y mi madre.,has hecho por mí y mi madre,0.1978,0.1978,-29.4244
antes,126,adv,Ella está antes de llegar a tiempo.,ella está antes de llegar a tiempo,0.5823,0.5823,-33.0474
día,127,n,Es un día o dos días después.,es un día o dos días después,1.1831,1.1831,-27.4930
desde,128,prep,Estoy desde hace mucho que hacer eso.,estoy desde hace mucho que hacer eso,-0.3103,-0.3103,-35.0240
tenemos,129,v,No tenemos nada que ver con esto.,no tenemos nada que ver con esto,1.3198,1.3198,-25.1977
poco,130,adv,Poco a mi padre me ha dicho.,poco a mi padre me ha dicho,-0.0243,-0.0243,-32.8758
cosas,131,n,Las cosas no se puede hacer nada.,las cosas no se puede hacer nada,1.3579,1.3579,-28.6812
ti,132,pron,A ti te gusta hacer eso.,a ti te gusta hacer eso,1.0472,1.0472,-28.4652
otra,133,determiner,Tengo otra casa por la tarde.,tengo otra casa por la tarde,-1.4818,-1.4818,-40.8796
mismo,134,adj,Él es mismo lo que ha hecho.,él es mismo lo que ha hecho,-0.1652,-0.1652,-36.8954
han,135,v,Han pasado cinco años.,han pasado cinco años,-0.4425,-0.4425,-20.5302
hecho,136,n,He hecho todo lo que has hecho.,he hecho todo lo que has hecho,1.1523,1.1523,-27.2901
alguien,137,pron,Ella es alguien que no hay nada.,ella es alguien que no hay nada,-0.2414,-0.2414,-34.1416
puedes,138,v,No puedes estar tan seguro.,no puedes estar tan seguro,-0.1552,-0.1552,-23.0528
ahí,139,adv,Ahí hay un poco más de tiempo.,ahí hay un poco más de tiempo,0.5734,0.5734,-29.8243
dijo,140,v,Ella dijo que iba a hacer eso.,ella dijo que iba a hacer eso,1.4967,1.4967,-28.4026
estar,141,v,Voy a estar de acuerdo contigo.,voy a estar de acuerdo contigo,1.6669,1.6669,-24.6532
entre,142,prep,Estoy entre el bien del mal tiempo.,estoy entre el bien del mal tiempo,0.5750,0.5750,-31.5334
noche,143,n,Es un noche en un día.,es un noche en un día,-0.1841,-0.1841,-35.4180
trabajo,144,n,Tengo un trabajo de medio tiempo.,tengo un trabajo de medio tiempo,1.2922,1.2922,-25.1786
ir,145,v,Tengo que ir a ninguna parte.,tengo que ir a ninguna parte,1.4524,1.4524,-23.9398
después,146,adv,Ella está después de todo el día.,ella está después de todo el día,0.6932,0.6932,-32.0680
mis,147,n,Tengo mis libros a la semana.,tengo mis libros a la semana,-2.2597,-2.2597,-35.4940
sea,148,v,Sea lo que quieres decir con eso.,sea lo que quieres decir con eso,0.7102,0.7102,-29.8413
acuerdo,149,n,El acuerdo está a punto de salir.,el acuerdo está a punto de salir,0.0511,0.0511,-36.0116
otro,150,determiner,Tengo otro libro es muy bueno.,tengo otro libro es muy bueno,-1.7101,-1.7101,-42.0764
parece,151,v,No parece que va a estar aquí.,no parece que va a estar aquí,1.4372,1.4372,-28.0406
donde,152,pron,Ella es donde no hay ninguna razón.,ella es donde no hay ninguna razón,0.2156,0.2156,-36.6463
ellos,153,pron,Ellos están aquí desde hace mucho tiempo.,ellos están aquí desde hace mucho tiempo,-0.0039,-0.0039,-34.9231
estamos,154,v,Nosotros estamos a punto de salir.,nosotros estamos a punto de salir,1.2451,1.2451,-27.7397
mundo,155,n,El mundo está de acuerdo contigo.,el mundo está de acuerdo contigo,1.1838,1.1838,-25.4755
gente,156,n,Es un gente en el mundo.,es un gente en el mundo,-0.3094,-0.3094,-34.5305
nosotros,157,pron,Nosotros estamos aquí para hablar contigo.,nosotros estamos aquí para hablar contigo,-0.0932,-0.0932,-32.7975
padre,158,n,El padre de mi casa está cerca.,el padre de mi casa está cerca,1.3404,1.3404,-27.1007
estado,159,prop,He estado aquí desde hace mucho tiempo.,he estado aquí desde hace mucho tiempo,1.2714,1.2714,-27.2966
nadie,160,pron,Nadie es importante para los niños.,nadie es importante para los niños,-0.4482,-0.4482,-32.5716
tal,161,pron,Ella es tal vez sea mejor.,ella es tal vez sea mejor,-0.2647,-0.2647,-35.6098
les,162,pron,Ella les dice una cosa así.,ella les dice una cosa así,-0.2310,-0.2310,-36.0497
parte,163,n,Es un parte de la ciudad.,es un parte de la ciudad,0.2207,0.2207,-32.4842
sido,164,v,Ha sido un día o dos días.,ha sido un día o dos días,0.9857,0.9857,-28.0498
momento,165,n,Es un momento de la vida.,es un momento de la vida,0.3458,0.3458,-29.6940
podría,166,v,No podría haber sido por tu ayuda.,no podría haber sido por tu ayuda,1.0260,1.0260,-29.9290
menos,167,adv,Menos mal que no hay nada.,menos mal que no hay nada,0.6227,0.6227,-27.0153
mira,168,v,No mira a ver si me siento.,no mira a ver si me siento,-0.7767,-0.7767,-37.4165
quiere,169,v,Ella quiere un poco de agua.,ella quiere un poco de agua,1.1940,1.1940,-27.0290
fuera,170,adv,Ella está fuera de la ciudad.,ella está fuera de la ciudad,1.1896,1.1896,-27.0510
gran,171,adj,Él es gran parte de la ciudad.,él es gran parte de la ciudad,0.2090,0.2090,-36.2207
lugar,172,n,Es un lugar de ir a ver.,es un lugar de ir a ver,0.3056,0.3056,-30.5582
hablar,173,v,Puedo hablar contigo en ese momento.,puedo hablar contigo en ese momento,0.9746,0.9746,-27.6935
tener,174,v,Voy a tener un poco de tiempo.,voy a tener un poco de tiempo,1.4979,1.4979,-26.0989
tenía,175,v,No tenía ni idea de quién.,no tenía ni idea de quién,1.7613,1.7613,-22.5152
tres,176,num,Tengo tres libros de mi padre.,tengo tres libros de mi padre,-2.2294,-2.2294,-35.5383
nuevo,177,adj,No es nuevo a mi amigo.,no es nuevo a mi amigo,-0.2423,-0.2423,-34.0474
pasa,178,v,Ella pasa el día de hoy.,ella pasa el día de hoy,0.8670,0.8670,-30.0656
vas,179,v,No vas a hacer las cosas.,no vas a hacer las cosas,1.6219,1.6219,-24.9297
cada,180,determiner,Tengo cada casa por la mañana.,tengo cada casa por la mañana,-1.5168,-1.5168,-41.4457
claro,181,adj,No es claro que no hay nada.,no es claro que no hay nada,-0.1800,-0.1800,-33.9698
dinero,182,n,El dinero no puede haber dicho algo.,el dinero no puede haber dicho algo,1.2761,1.2761,-27.3226
madre,183,n,Es un madre de mi padre.,es un madre de mi padre,-0.1585,-0.1585,-35.8132
mañana,184,n,La mañana me voy a hacer eso.,la mañana me voy a hacer eso,0.4368,0.4368,-33.3273
tipo,186,n,Es un tipo de cosas que hacer.,es un tipo de cosas que hacer,1.3730,1.3730,-24.8275
hoy,187,adv,Hoy no tengo tiempo para hacer eso.,hoy no tengo tiempo para hacer eso,1.1716,1.1716,-26.2264
días,188,n,Tengo unos días antes de salir.,tengo unos días antes de salir,0.0845,0.0845,-31.8016
luego,189,adv,Ella está luego de una forma.,ella está luego de una forma,-0.3096,-0.3096,-35.5207
allí,190,adv,Allí no hay nada que ver.,allí no hay nada que ver,0.8096,0.8096,-24.4872
mujer,191,n,Es un mujer tiene dos años.,es un mujer tiene dos años,-0.3179,-0.3179,-34.4026
nuestro,192,determiner,Nuestro libro es muy importante para mí.,nuestro libro es muy importante para mí,-3.1430,-3.1430,-39.9187
tanto,193,adv,Tanto que me voy a hacer eso.,tanto que me voy a hacer eso,0.3922,0.3922,-33.9649
cosa,194,n,Es una cosa que quiero hacer esto.,es una cosa que quiero hacer esto,1.0123,1.0123,-29.4476
sabe,195,v,No sabe cuál es el mejor.,no sabe cuál es el mejor,1.3466,1.3466,-25.7082
todas,196,determiner,Todas las personas son buenas.,todas las personas son buenas,-1.3841,-1.3841,-28.4580
haciendo,197,v,Estoy haciendo todo lo que has hecho.,estoy haciendo todo lo que has hecho,1.1137,1.1137,-27.9569
hijo,198,n,Tengo un hijo de mi padre.,tengo un hijo de mi padre,1.2836,1.2836,-26.4895
dice,199,v,Ella dice que es hora de volver.,ella dice que es hora de volver,1.2512,1.2512,-28.9421
seguro,200,adj,No es seguro que no hay nada.,no es seguro que no hay nada,0.6326,0.6326,-29.0583
podemos,201,v,No podemos tener un poco de dinero.,no podemos tener un poco de dinero,0.9437,0.9437,-29.8682
debe,202,v,Debe de ser un poco de agua.,debe de ser un poco de agua,-0.3424,-0.3424,-27.2927
espera,203,v,Espera un poco más de un año.,espera un poco más de un año,-0.3672,-0.3672,-28.3512
vale,204,v,Vale más que un poco de agua.,vale más que un poco de agua,-1.0369,-1.0369,-29.9411
será,205,v,No será el primero en llegar.,no será el primero en llegar,1.1032,1.1032,-28.1210
estas,206,determiner,Tengo estas casas.,tengo estas casas,-5.8658,-5.8658,-31.2830
toda,207,determiner,Tengo toda casa en la vida.,tengo toda casa en la vida,-1.8640,-1.8640,-42.8300
haber,208,v,Quiero haber hecho lo que ha hecho.,quiero haber hecho lo que ha hecho,0.1813,0.1813,-36.3523
tus,209,determiner,Tus libros son para los niños.,tus libros son para los niños,-3.3767,-3.3767,-37.8214
amigo,210,n,Es un amigo de mi padre.,es un amigo de mi padre,1.1299,1.1299,-26.2364
nuestra,211,determiner,Tengo nuestra casa está cerca de aquí.,tengo nuestra casa está cerca de aquí,-0.1235,-0.1235,-36.6704
buena,212,adj,Ella es buena para la gente.,ella es buena para la gente,1.0614,1.0614,-27.9097
aún,213,adv,Aún no he visto en algún lugar.,aún no he visto en algún lugar,1.4658,1.4658,-25.7574
quien,214,pron,Ella es quien no tiene ningún amigo.,ella es quien no tiene ningún amigo,0.3776,0.3776,-34.1146
estos,215,determiner,Estos libros son para los niños.,estos libros son para los niños,-1.5481,-1.5481,-26.5721
nombre,216,n,Es un nombre de todos los días.,es un nombre de todos los días,1.2693,1.2693,-27.1143
tienen,217,v,No tienen ni idea de quién.,no tienen ni idea de quién,1.4228,1.4228,-24.5976
veces,218,n,Tengo unas veces me siento muy bien.,tengo unas veces me siento muy bien,-0.4582,-0.4582,-38.0633
mamá,219,n,Es un mamá es la primera vez.,es un mamá es la primera vez,-0.0992,-0.0992,-35.4135
mal,220,adv,Ella está mal de los otros.,ella está mal de los otros,0.2907,0.2907,-32.2563
buen,221,adj,No es buen fin de semana pasado.,no es buen fin de semana pasado,0.4070,0.4070,-34.1916
durante,222,prep,Estoy durante el fin de semana pasado.,estoy durante el fin de semana pasado,0.6149,0.6149,-33.2656
papá,223,n,Tengo un papá en la casa.,tengo un papá en la casa,-0.6593,-0.6593,-37.2066
quería,224,v,Ella quería que él había estado.,ella quería que él había estado,1.5062,1.5062,-26.0477
dije,225,v,No dije que no me gusta mucho.,no dije que no me gusta mucho,0.6793,0.6793,-27.3566
unos,226,determiner,Tengo unos libros en mi vida.,tengo unos libros en mi vida,-2.9534,-2.9534,-37.1787
pasado,227,n,El pasado fin de semana pasado.,el pasado fin de semana pasado,0.1282,0.1282,-25.9324
forma,228,n,Es una forma de hablar con él.,es una forma de hablar con él,1.5863,1.5863,-26.9367
gusta,229,v,No gusta a todo el mundo.,no gusta a todo el mundo,0.2439,0.2439,-33.4068
hizo,230,v,Ella hizo todo lo que ha hecho.,ella hizo todo lo que ha hecho,1.4208,1.4208,-26.3305
caso,231,n,Es un caso de tener que ir.,es un caso de tener que ir,0.6998,0.6998,-30.6812
contra,232,prep,Estoy contra el presidente de la mano.,estoy contra el presidente de la mano,-0.3641,-0.3641,-37.7970
tarde,233,adv,Ella está tarde por la mañana.,ella está tarde por la mañana,0.3167,0.3167,-32.9031
necesito,234,v,No necesito un poco de agua.,no necesito un poco de agua,1.4529,1.4529,-24.9450
oye,235,v,Oye de la vida es una buena.,oye de la vida es una buena,-0.8488,-0.8488,-37.3458
alguna,236,determiner,Tengo alguna casa está cerca de aquí.,tengo alguna casa está cerca de aquí,-1.3739,-1.3739,-43.5904
hemos,237,v,Hemos estado aquí desde hace mucho tiempo.,hemos estado aquí desde hace mucho tiempo,0.9795,0.9795,-28.0547
cuenta,238,n,Tengo una cuenta de lo que pasó.,tengo una cuenta de lo que pasó,0.7274,0.7274,-27.4045
visto,239,v,He visto en mi casa está cerca.,he visto en mi casa está cerca,0.8527,0.8527,-28.5664
conmigo,240,adv,Ella conmigo está a punto de salir.,ella conmigo está a punto de salir,-0.5154,-0.5154,-37.0001
mientras,241,conj,Ella está bien mientras tiene tiempo.,ella está bien mientras tiene tiempo,-2.6025,-2.6025,-46.1494
otros,242,determiner,Tengo otros libros en mi vida.,tengo otros libros en mi vida,-3.3065,-3.3065,-41.9620
realmente,243,adv,Realmente no tengo ni idea de quién.,realmente no tengo ni idea de quién,1.1353,1.1353,-26.6729
hora,244,n,Es una hora antes de salir.,es una hora antes de salir,0.4427,0.4427,-30.6435
problema,245,n,El problema es que no sé.,el problema es que no sé,0.6259,0.6259,-25.4343
crees,246,v,Tú crees que es una buena idea.,tú crees que es una buena idea,0.1480,0.1480,-37.0817
año,247,n,El año que viene de una vez.,el año que viene de una vez,0.5798,0.5798,-28.0865
razón,248,n,El razón está a punto de salir.,el razón está a punto de salir,-0.6911,-0.6911,-37.4871
primera,249,adj,Él es primera vez que he visto.,él es primera vez que he visto,-0.1598,-0.1598,-37.3906
cierto,250,adj,No es cierto que los hombres.,no es cierto que los hombres,0.7156,0.7156,-26.2137
saber,251,v,Quiero saber qué ha pasado mucho tiempo.,quiero saber qué ha pasado mucho tiempo,1.3528,1.3528,-25.6938
dicho,252,v,Ha dicho que no hay nada.,ha dicho que no hay nada,1.0891,1.0891,-26.4598
hacerlo,253,v,Hacerlo por mí y mi hermano mayor.,hacerlo por mí y mi hermano mayor,-1.3100,-1.3100,-36.6717
mierda,254,n,Es una mierda y el otro día.,es una mierda y el otro día,-0.1563,-0.1563,-34.4503
idea,256,n,La idea de lo que ha hecho.,la idea de lo que ha hecho,0.8666,0.8666,-26.2411
mío,257,determiner,Tengo mío libro es de mi padre.,tengo mío libro es de mi padre,-2.1334,-2.1334,-46.9541
e,258,conj,Es bueno e es difícil hablar.,es bueno e es difícil hablar,-1.7166,-1.7166,-40.6415
aunque,259,conj,Ella está bien aunque tiene tiempo.,ella está bien aunque tiene tiempo,-2.7785,-2.7785,-47.2320
familia,260,n,Tengo una familia de la misma.,tengo una familia de la misma,0.5075,0.5075,-29.9743
hacia,261,prep,Estoy hacia la puerta antes de salir.,estoy hacia la puerta antes de salir,-0.0721,-0.0721,-36.6701
amor,262,n,El amor es solo un niño.,el amor es solo un niño,1.0360,1.0360,-25.4077
esos,263,determiner,Esos libros son de la historia.,esos libros son de la historia,-2.2352,-2.2352,-31.1203
pueden,264,v,No pueden ser una buena idea.,no pueden ser una buena idea,1.0643,1.0643,-26.6561
importa,265,v,No importa lo que ha pasado mucho.,no importa lo que ha pasado mucho,1.2572,1.2572,-27.3652
todavía,266,adv,Todavía no he visto en algún lugar.,todavía no he visto en algún lugar,1.5347,1.5347,-25.1824
personas,267,n,Las personas que no me gusta mucho.,las personas que no me gusta mucho,0.8193,0.8193,-26.5455
policía,268,n,La policía está en la ciudad.,la policía está en la ciudad,-0.2939,-0.2939,-30.0906
casi,269,adv,Casi no hay nada que ver contigo.,casi no hay nada que ver contigo,0.9010,0.9010,-26.8249
