lemma,rank,pos,translation,sentence,source_method,score,rejection_reasons
nos,56,pron,us; ourselves,Nos está bien.,markov_chain,-15.805506,
sus,57,determiner,his; her; its; their; your (formal) (pl.),Sus amigos es un poco.,markov_chain,-23.999981,
fue,58,v,was (ser/ir),,markov_chain,-29.825622,complex_verb_form_for_beginner
tengo,59,v,I have (tener),Yo tengo tiempo.,markov_chain,-15.801743,
era,60,v,was (ser); era,,markov_chain,-32.374788,complex_verb_form_for_beginner
nada,61,pron,nothing; zero; zilch; not...anything,Nada de eso no es la gente.,markov_chain,-30.419580,
tiene,62,v,has (tener),Ella tiene razón.,markov_chain,-16.774177,
sé,63,v,I know (saber),Yo sé qué.,markov_chain,-16.630877,
tú,64,pron,you,Tú estás aquí.,markov_chain,-15.540417,
cómo,65,adv,how?,Cómo ella está bien.,markov_chai. n,-20.761303,
vez,66,n,time; instance,Tengo un vez.,markov_chain,-21.284990,
estás,67,v,you are (estar),Tú estás aquí.,markov_chain,-15.540417,
sólo,68,adv,sole,Ella sólo estoy aquí.,markov_chain,-20.342759,
ella,69,pron,she; her,Ella está bien.,markov_chain,-14.452022,
son,70,v,are (ser),Ellos son muy bien.,markov_chain,-17.964038,
hacer,71,v,to do,,markov_chain,-13.948809,too_many_verbs_for_beginner
he,72,v,I have (haber),,markov_chain,-20.890071,no_verb
porque,73,conj,because,Ella va porque el mundo.,markov_chain,-28.123258,
todos,74,determiner,all; everyone,Todos estamos aquí.,markov_chain,-16.132897,
puedo,75,v,I can (poder),Yo puedo más.,markov_chain,-19.733358,
quiero,76,v,I want (querer),Yo quiero más.,markov_chain,-18.644412,
gracias,77,n,thanks,Muchas gracias por qué estás bien.,markov_chain,-23.954810,
puede,78,v,can; may (poder),Ella puede alguien.,markov_chain,-20.460675,
dos,79,num,dung; excrement,Dos son los años.,markov_chain,-21.253126,
sin,80,prep,without,,markov_chain,-45.291600,support_vocab_too_advanced
soy,81,v,I am (ser),Yo soy un poco.,markov_chain,-15.727066,
sobre,82,prep,over; above; on; upon; atop,,markov_chain,-31.795536,support_vocab_too_advanced
ese,83,determiner,that,Ese hombre está bien.,markov_chain,-19.149484,
estaba,84,v,was (estar),,markov_chain,-16.270618,no_verb; complex_verb_form_for_beginner
también,85,adv,also; too; as well,Ella también está bien.,markov_chain,-19.780775,
tiempo,86,n,time,Tengo tiempo juntos.,markov_chain,-17.364220,
tan,87,adv,so; as,Esto es tan bueno.,markov_chain,-19.507111,
entonces,88,adv,then; next; thereupon; at that time; at that point,Entonces ella está bien.,markov_chain,-18.587622,
creo,89,v,I believe; I think (creer),Yo creo en el hombre.,markov_chain,-21.758136,
tienes,90,v,you have (tener),Tú tienes razón.,markov_chain,-16.430578,
casa,91,n,house,Tengo una casa.,markov_chain,-15.300945,
usted,92,pron,second person formal,Usted está bien.,markov_chain,-14.816595,
esa,93,determiner,that (fem.),Esa casa está bien.,markov_chain,-20.606612,
voy,94,v,I go (ir),Yo voy a casa.,markov_chain,-15.658194,
sabes,95,v,you know?,Tú sabes qué.,markov_chain,-17.077401,
eres,96,v,to be,Tú eres muy bien.,markov_chain,-15.912815,
verdad,97,n,truth,Tengo una verdad.,markov_chain,-17.828572,
hasta,98,prep,until,,markov_chain,-20.961614,support_vocab_too_advanced; avg_support_vocab_too_advanced
solo,99,adj,sole,Esto es solo.,markov_chain,-16.499382,
nunca,100,adv,never,Ella nunca está bien.,markov_chain,-21.279393,
