lemma,rank,pos,family,rank_block,translation,canonical_lemma,source_method,template_id,quality_tier,failure_reason,policy_exclusion_reason
nena,1547,n,n,1001_2000,female equivalent of nene: baby girl,nena,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ojalá,1552,adv,adv,1001_2000,hopefully,ojalá,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
vacaciones,1553,n,n,1001_2000,holiday,vacación,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
llegue,1556,v,v,1001_2000,stab,llegar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
viejos,1563,n,n,1001_2000,old,viejo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hubiese,1564,v,v,1001_2000,have,haber,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cambios,1566,n,n,1001_2000,change; shift,cambio,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
material,1572,n,n,1001_2000,material,material,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hayas,1575,v,v,1001_2000,have,hayas,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
existen,1577,v,v,1001_2000,to exist,existir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
llevas,1579,v,v,1001_2000,to take; to take out,llevar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
propios,1586,adj,adj,1001_2000,tip,propio,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
t,1587,n,n,1001_2000,letter,t,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
animal,1592,n,n,1001_2000,animal,animal,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ambiente,1595,n,n,1001_2000,atmosphere,ambiente,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tomando,1604,v,v,1001_2000,to take,tomar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
aparece,1609,v,v,1001_2000,to appear; to turn up; to pop up; to come up,aparecer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
inmediato,1610,adj,adj,1001_2000,immediate,inmediato,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
bob,1614,,residual,1001_2000,bob; bob haircut,bob,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
fuimos,1615,v,v,1001_2000,to be,fuimos,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
traído,1620,v,v,1001_2000,used; worn,traer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
perdona,1624,v,v,1001_2000,to pardon; excuse; forgive,perdonar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
alex,1634,none,residual,1001_2000,alex,alex,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
quedarse,1639,v,v,1001_2000,stay,quedarse,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
quedarme,1640,v,v,1001_2000,to be (as a result of something); to end up,quedarme,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
etc,1641,none,residual,1001_2000,etc,etc,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
siguen,1646,v,v,1001_2000,to follow,seguir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
perros,1647,n,n,1001_2000,doggy or doggish,perro,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ia,1649,n,n,1001_2000,initialism of inteligencia artificial (AI (artificial intelligence)),ia,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
haberlo,1653,v,v,1001_2000,have,haberlo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
puedan,1655,v,v,1001_2000,to be able to; can,poder,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
policías,1660,n,n,1001_2000,Civility; polity; public order; police; fineness; neatness; urbanity,policía,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
n,1664,letter,letter,1001_2000,letter,n,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,policy_excluded_single_letter
ambas,1665,adj,adj,1001_2000,acronym of Área Metropolitana de Buenos Aires,ambos,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
trabajadores,1666,n,n,1001_2000,hard-working,trabajador,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
despierta,1669,v,v,1001_2000,awake,despertar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
fuentes,1674,n,n,1001_2000,surname,fuente,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
lunes,1681,n,n,1001_2000,Monday,lunes,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sentado,1684,adj,adj,1001_2000,seated,sentado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
llamaré,1687,v,v,1001_2000,to summon; to call,llamar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
abierta,1690,adj,adj,1001_2000,open; unlocked,abierto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cuyo,1694,determiner,determiner,1001_2000,whose,cuyo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
salga,1699,v,v,1001_2000,a kind of levy on salt in the Kingdom of Aragon,salir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
restaurante,1705,n,n,1001_2000,restaurant,restaurante,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
comienza,1707,v,v,1001_2000,to begin; to commence,comenzar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
agentes,1718,n,n,1001_2000,agent,agente,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
serás,1721,v,v,1001_2000,to be,serás,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
usando,1723,v,v,1001_2000,to use,usar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
clara,1724,adj,adj,1001_2000,the white,claro,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pantalones,1729,n,n,1001_2000,pants; trousers,pantalones,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dejaré,1730,v,v,1001_2000,to leave,dejar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
