lemma,rank,pos,family,rank_block,translation,canonical_lemma,source_method,template_id,quality_tier,failure_reason,policy_exclusion_reason
apropiado,4481,adj,adj,4001_5000,appropriate; suitable,apropiado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
relacionado,4483,adj,adj,4001_5000,related,relacionado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
atreves,4485,v,v,4001_5000,to embolden,atreves,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pelotas,4486,n,n,4001_5000,balls; testicles,pelota,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
estadounidenses,4489,adj,adj,4001_5000,American,estadounidense,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
funcionan,4491,v,v,4001_5000,to work; to function,funcionar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
matemáticas,4502,n,n,4001_5000,mathematics,matemáticas,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
conté,4503,v,v,4001_5000,to count,contar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dejarla,4506,v,v,4001_5000,to leave,dejarla,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
super,4507,,residual,4001_5000,very; mega,super,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
despejado,4508,adj,adj,4001_5000,clear; all-clear,despejado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
oficinas,4509,n,n,4001_5000,office,oficina,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
títulos,4515,n,n,4001_5000,title,título,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
man,4517,n,n,4001_5000,man; guy; dude,man,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
llevarla,4521,v,v,4001_5000,to take; to take out,llevarla,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
organizado,4522,adj,adj,4001_5000,organized,organizado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sacaste,4524,v,v,4001_5000,to put out; to get out,sacaste,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ríos,4528,n,n,4001_5000,surname,río,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dispuestos,4529,adj,adj,4001_5000,willing; ready; game; down,dispuesto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
muertes,4537,n,n,4001_5000,death,muerte,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
entré,4540,v,v,4001_5000,between,entrar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
quedarnos,4542,v,v,4001_5000,to be (as a result of something); to end up,quedarnos,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dedicado,4543,adj,adj,4001_5000,dedicated,dedicado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
bajos,4544,adj,adj,4001_5000,bass,bajo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
conocerlo,4550,v,v,4001_5000,to know (a person or a place); to be familiar with; to be acquainted with,conocerlo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
importaba,4551,v,v,4001_5000,to matter; to be important [+a (someone)],importar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cole,4553,,residual,4001_5000,school,cole,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
margaret,4558,none,residual,4001_5000,margaret,margaret,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
empecemos,4563,v,v,4001_5000,to harm; maim,empezar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
orquesta,4567,n,n,4001_5000,orchestra,orquesta,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
intentamos,4568,v,v,4001_5000,to try; to attempt,intentar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ponerle,4570,v,v,4001_5000,to have sex,ponerle,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
próximas,4573,adj,adj,4001_5000,near,próximo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
enfadada,4576,adj,adj,4001_5000,angry; irate,enfadado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
habrán,4578,v,v,4001_5000,have,haber,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
grita,4580,n,n,4001_5000,shouting match,grita,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
aérea,4581,adj,adj,4001_5000,aerial,aéreo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
clinton,4582,none,residual,4001_5000,clinton,clinton,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ee.uu.,4591,none,residual,4001_5000,u.s.,ee.uu.,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
establecido,4602,adj,adj,4001_5000,established,establecido,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
vera,4609,,residual,4001_5000,side; face,vera,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
querrás,4612,v,v,4001_5000,to desire; to want; to want to,querrás,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
continua,4614,adj,adj,4001_5000,continual; constant,continuo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hayamos,4615,v,v,4001_5000,have,haber,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
textos,4617,n,n,4001_5000,text,texto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
williams,4623,none,residual,4001_5000,given name,williams,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
váyanse,4624,v,v,4001_5000,to go,váyanse,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
jersey,4625,,residual,4001_5000,sweater; pullover,jersey,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
duros,4629,adj,adj,4001_5000,hard,duro,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dijimos,4634,v,v,4001_5000,to say; to tell,decir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
internos,4636,adj,adj,4001_5000,internal,interno,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
matará,4641,v,v,4001_5000,to kill; slay,matar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
opiniones,4645,n,n,4001_5000,opinion,opinión,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
evitarlo,4646,v,v,4001_5000,to avoid; to bypass; to evade; to circumvent; to dodge; to shun; to eschew,evitarlo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
activa,4647,adj,adj,4001_5000,active,activo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
enojada,4653,adj,adj,4001_5000,angry; mad,enojado,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
viera,4656,v,v,4001_5000,to see; to spot,ver,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
haberla,4657,v,v,4001_5000,have,haberla,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
estructuras,4674,n,n,4001_5000,structure,estructura,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hacerla,4675,v,v,4001_5000,to do,hacerla,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
habia,4676,v,v,4001_5000,makes pluperfect to verbs as part of the auxiliary verb haber,habia,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
váyase,4680,v,v,4001_5000,joke,váyase,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cómoda,4683,adj,adj,4001_5000,chest of drawers,cómodo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
perdidos,4684,v,v,4001_5000,lost,perdidos,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
camarada,4688,n,n,4001_5000,comrade,camarada,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
señoritas,4689,n,n,4001_5000,young woman,señoritas,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
parto,4690,n,n,4001_5000,Parthian,parto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tomaste,4692,v,v,4001_5000,to take,tomaste,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
unidas,4693,adj,adj,4001_5000,united,unido,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
habrías,4696,v,v,4001_5000,have,habrías,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dirigido,4697,adj,adj,4001_5000,directed,dirigido,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
consideración,4701,n,n,4001_5000,consideration,consideración,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
poli,4702,n,n,4001_5000,polyamorous,poli,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
buscarlo,4703,v,v,4001_5000,to seek; search for; look for; try to find; to scour,buscarlo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sociedades,4706,n,n,4001_5000,society; social order,sociedad,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
culturales,4707,adj,adj,4001_5000,culture,cultural,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
volvieron,4709,v,v,4001_5000,to return; to revert; to get back,volver,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
femenina,4713,adj,adj,4001_5000,feminine,femenino,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
maria,4714,none,residual,4001_5000,maria,maria,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
bandas,4717,n,n,4001_5000,band,banda,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
construido,4719,adj,adj,4001_5000,constructed,construido,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
francamente,4721,adv,adv,4001_5000,frankly,francamente,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
empiece,4725,v,v,4001_5000,start,empezar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
alemana,4729,adj,adj,4001_5000,female equivalent of alemán,alemán,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
traes,4732,v,v,4001_5000,to bring; to fetch,traer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
